x,y,theta
0.22079436949139244,0.6095023574838184,1.3308421902773429
0.22132003387854987,0.6084650319093167,1.3732759020269079
0.23338016377696527,0.6171229494540533,1.3536627896041642
0.24611601111295628,0.6304364847264466,1.3845307659601112
0.2682980208955935,0.6384150615894901,1.4072431661156743
0.2706257162011968,0.6830474656340274,1.0296833436116906
0.33908732245737844,0.7918715337925107,0.810647487403731
0.45821095804012923,0.9725790012316654,1.104376749751009
0.5352868429300764,0.9975807635668451,2.089036933420733
0.29311714526006544,0.9976311980838334,1.7016510399924627
-0.1165234764633901,0.9579679127550728,2.963944014386234
-2.170044935448306,0.6947869602757679,-2.2059776502684056
-4.909912301020095,0.026407790760588124,-2.4760100744849876
-12.34160224603911,0.9979706466356203,2.76068123214013
-25.535348968404193,0.6536112804172663,-1.6053492251427193
-41.86370633409927,0.9982520912842556,1.3684938602910623
-84.37626573730903,0.9869851912805571,2.5399304245311773
-109.65008382493151,0.9496645112184502,-2.8274406828952205
-109.64372335334379,0.9481263073835211,-2.802235416077452
-109.64415275802297,0.9410300628843058,-2.835833290237479
-109.64505312490817,0.9493310376065074,-2.794267595040387
-109.66396761186364,0.9197811222563897,-2.727775801496679
-109.74285257062249,0.90315348072009,-2.7824124435834703
-109.79401099681051,0.8609161651764587,-2.8194218038242065
-109.92279993477578,0.7710340716843455,-2.536100125253458
-110.10820694365378,0.6275588156533064,3.110356301523205
-110.59228330450615,0.5814418113423199,2.7448036673280605
-111.24699799416234,0.9907562223822063,2.0153321984510395
-111.19731115051104,0.009760728006892698,-2.0516592555543225
-115.07848060603841,0.08912568186874653,-2.5588835420703755
-121.43847487237512,0.9073114383393597,-2.381032589937318
-134.90853843103721,0.007845167860066442,-2.91418331142457
-159.80423076175364,0.03707354504389973,2.834169693407036
-202.16909170099356,0.5647389123721409,-2.3795048794050784
-214.96460232454731,0.341432279115584,-3.0833990843197636
-214.9649654229072,0.33564968863360867,-3.039913431483488
-214.97298293532324,0.3325633388424709,3.1278506407715545
-214.98634317699475,0.3325195842492831,2.985640338299511
-214.99758390349106,0.3504307318836138,3.141285093626367
-215.04925453931037,0.35129570621922646,-3.047579492370621
-215.12660774776484,0.3488775800027402,-2.642328842644174
-215.19452229881287,0.3223228005235185,-2.9507348246163034
-215.28354723755942,0.2973228801566482,-2.5529894716917467
-215.60271123182537,0.0016446333543224923,-2.2747029161593955
-215.66208374800715,0.6771392469474651,0.8229633890933608
-216.40294509341427,0.9993896996536406,2.6842464191674855
-219.97219211400366,0.01880776979845788,-2.739385727607448
-225.54392137126143,0.8422620580405619,-2.1403189015044015
-232.72413174918916,0.10872161889391337,2.9272827329711717
-243.11467437518928,0.6077517622642243,-0.7664467258234424
-291.4108199669996,0.5169368730629978,3.031682149390085
-315.70171375992635,0.9987261039561897,0.9744592449151774
-315.7045738310375,0.9994818076109311,0.9463617903033432
-315.69320368429555,0.9994818076109311,0.9278392034576335
-315.69470782830723,0.9989059837631026,0.9227003332585202
-315.6769835542575,0.9999844426848945,1.0498491461338446
-315.6531329636432,0.999684491111752,0.8190898773568835
-315.5585940217069,0.9798185618186891,0.5199272897265521
-315.35796178693,0.988717293250439,0.24849700136675468
