# time variance
1.000000000000000021e-03 2.999531803165763263e-05
2.000000000000000042e-03 8.017912830534434173e-05
3.000000000000000062e-03 1.504083742736356710e-04
4.000000000000000083e-03 2.417620141168283867e-04
6.000000000000000125e-03 4.833474791257578052e-04
7.000000000000000146e-03 6.340452024426924569e-04
8.000000000000000167e-03 8.036163061735221349e-04
1.200000000000000025e-02 1.686015485784612966e-03
1.400000000000000029e-02 2.244846765888329314e-03
1.499999999999999944e-02 2.554454159711287003e-03
1.600000000000000033e-02 2.881406456368822058e-03
2.400000000000000050e-02 6.198412183965689402e-03
2.800000000000000058e-02 8.313858541910501207e-03
2.999999999999999889e-02 9.480084238208719843e-03
3.099999999999999978e-02 1.009114559033119467e-02
3.200000000000000067e-02 1.067839714424561812e-02
4.800000000000000100e-02 2.299340394010091285e-02
5.600000000000000117e-02 3.065214414172738600e-02
5.999999999999999778e-02 3.482502454788630186e-02
6.199999999999999956e-02 3.698782407106194353e-02
6.300000000000000044e-02 3.808935045574891182e-02
6.400000000000000133e-02 3.908531412478202793e-02
9.600000000000000200e-02 7.955718589922934625e-02
1.120000000000000023e-01 1.020258443305934182e-01
1.199999999999999956e-01 1.134240170902000855e-01
1.239999999999999991e-01 1.191042535472237873e-01
1.260000000000000009e-01 1.219432093142507334e-01
1.270000000000000018e-01 1.233508867047169166e-01
1.280000000000000027e-01 1.244194952818785116e-01
1.920000000000000040e-01 1.993879630589037721e-01
2.240000000000000047e-01 2.203742957312286865e-01
2.399999999999999911e-01 2.261017271313072730e-01
2.479999999999999982e-01 2.279067454571234164e-01
2.520000000000000018e-01 2.285114030218742265e-01
2.540000000000000036e-01 2.288084081054242436e-01
2.550000000000000044e-01 2.288947111922788880e-01
2.560000000000000053e-01 2.262151814568160724e-01
3.840000000000000080e-01 2.021205495121276563e-01
4.480000000000000093e-01 2.140227233257279149e-01
4.799999999999999822e-01 2.316642576896592587e-01
4.959999999999999964e-01 2.427650378156451794e-01
5.040000000000000036e-01 2.487617689070376059e-01
5.080000000000000071e-01 2.518311500088152854e-01
5.100000000000000089e-01 2.533687926235295151e-01
5.110000000000000098e-01 2.541500579585482811e-01
5.120000000000000107e-01 2.540892866952928486e-01
7.680000000000000160e-01 3.660827233301606753e-01
8.960000000000000187e-01 4.055304542887858688e-01
9.599999999999999645e-01 4.386037306937353719e-01
9.919999999999999929e-01 4.551829927900659101e-01
1.008000000000000007e+00 4.630046862591186141e-01
1.016000000000000014e+00 4.668324816675735178e-01
1.020000000000000018e+00 4.687135784129381477e-01
1.022000000000000020e+00 4.696215434161974400e-01
1.023000000000000131e+00 4.700658813396998426e-01
1.024000000000000021e+00 4.678634269819870184e-01
1.536000000000000032e+00 6.553519452924838617e-01
1.792000000000000037e+00 7.499785384686639134e-01
1.919999999999999929e+00 8.010645377635512432e-01
1.983999999999999986e+00 8.236952120722236259e-01
2.016000000000000014e+00 8.349001587514734979e-01
2.032000000000000028e+00 8.404485218253583412e-01
2.040000000000000036e+00 8.433294764708136881e-01
2.044000000000000039e+00 8.447196289195986196e-01
2.046000000000000263e+00 8.454401564464575358e-01
2.047000000000000153e+00 8.458084039252895536e-01
2.048000000000000043e+00 8.559327093356969840e-01
3.072000000000000064e+00 1.235206285491415201e+00
3.584000000000000075e+00 1.427681067307318585e+00
3.839999999999999858e+00 1.523891535381409312e+00
3.967999999999999972e+00 1.573577785457672462e+00
4.032000000000000028e+00 1.598050213526022389e+00
4.064000000000000057e+00 1.609470539870812900e+00
4.080000000000000071e+00 1.615071794931651539e+00
4.088000000000000078e+00 1.618034275330614946e+00
4.092000000000000526e+00 1.619407155251565200e+00
4.094000000000000306e+00 1.620141582810902037e+00
4.094999999999999751e+00 1.620493981569410380e+00
4.096000000000000085e+00 1.624153915956782157e+00
6.144000000000000128e+00 2.397693802774426786e+00
7.168000000000000149e+00 2.767739208919635985e+00
7.679999999999999716e+00 2.964944142150784501e+00
7.935999999999999943e+00 3.061476961556536480e+00
8.064000000000000057e+00 3.111530679779093589e+00
8.128000000000000114e+00 3.134498641074060288e+00
8.160000000000000142e+00 3.145544183835340846e+00
8.176000000000000156e+00 3.151017184575039209e+00
8.184000000000001052e+00 3.154148784949370565e+00
8.188000000000000611e+00 3.155490621439184906e+00
8.189999999999999503e+00 3.156211843160576791e+00
8.191000000000000725e+00 3.156592009021892409e+00
8.192000000000000171e+00 3.154536752859939952e+00
1.228800000000000026e+01 4.698223242570293223e+00
1.433600000000000030e+01 5.471682813899178655e+00
1.446499999999999986e+01 5.573302011407349710e+00
1.446600000000000108e+01 5.573711431672336403e+00
1.446799999999999997e+01 5.574341363151233963e+00
1.447199999999999953e+01 5.575959101823400488e+00
1.448000000000000043e+01 5.578718979807263167e+00
1.449600000000000044e+01 5.584241951680951388e+00
1.452800000000000047e+01 5.593711685646894693e+00
1.459200000000000053e+01 5.614646496126397324e+00
1.472000000000000064e+01 5.662906267633388779e+00
1.497600000000000087e+01 5.752116881856181863e+00
1.535999999999999943e+01 5.841404537811740738e+00
1.548799999999999955e+01 5.950063065566155274e+00
1.587199999999999989e+01 6.037414559841636219e+00
1.612800000000000011e+01 6.136262531557349575e+00
1.625600000000000023e+01 6.184493894209936116e+00
1.632000000000000028e+01 6.206385135591062863e+00
1.635200000000000031e+01 6.216740461515655625e+00
1.636800000000000210e+01 6.221586782557096740e+00
1.637600000000000122e+01 6.224406560690113110e+00
1.637999999999999901e+01 6.225649140411860571e+00
1.638200000000000145e+01 6.226399106885310175e+00
1.638299999999999912e+01 6.226769027171940252e+00
1.638400000000000034e+01 6.275723136786382383e+00
1.651200000000000045e+01 6.346368431759856321e+00
1.855999999999999872e+01 7.109005120021720359e+00
2.265599999999999881e+01 8.643439700063936471e+00
2.457600000000000051e+01 9.349812209459742007e+00
2.867200000000000060e+01 1.090099661184922297e+01
3.071999999999999886e+01 1.165630730974407925e+01
3.084799999999999898e+01 1.169224394856428262e+01
3.174399999999999977e+01 1.202096493968929281e+01
3.225600000000000023e+01 1.221860283081696252e+01
3.251200000000000045e+01 1.231757078477494360e+01
3.264000000000000057e+01 1.236372566040699894e+01
3.270400000000000063e+01 1.238401579215314996e+01
3.273600000000000421e+01 1.239303776722954353e+01
3.275200000000000244e+01 1.239745161273094709e+01
3.275999999999999801e+01 1.239995913989332621e+01
3.276400000000000290e+01 1.240134807352114876e+01
3.276599999999999824e+01 1.240215102336151176e+01
3.276700000000000301e+01 1.240254255511717929e+01
3.276800000000000068e+01 1.240924087311577750e+01
4.723199999999999932e+01 1.784827197641789098e+01
4.723300000000000409e+01 1.790127508944715373e+01
4.723400000000000176e+01 1.790159405397571390e+01
4.723600000000000421e+01 1.790225752990590991e+01
4.724000000000000199e+01 1.790392801889174734e+01
4.724799999999999756e+01 1.790601526413956890e+01
4.726400000000000290e+01 1.791117300201949547e+01
4.729599999999999937e+01 1.791891985213442240e+01
4.735999999999999943e+01 1.793876977860782063e+01
4.748799999999999955e+01 1.798739027776900912e+01
