# time variance
1.000000000000000021e-03 2.228396511838119225e-05
2.000000000000000042e-03 4.940241452237337531e-05
3.000000000000000062e-03 8.116476901009344897e-05
4.000000000000000083e-03 1.198776667185723365e-04
6.000000000000000125e-03 2.086641401766344396e-04
7.000000000000000146e-03 2.600045384139755534e-04
8.000000000000000167e-03 3.165188871577809477e-04
1.200000000000000025e-02 5.922954843278143517e-04
1.400000000000000029e-02 7.577252749312432447e-04
1.499999999999999944e-02 8.472828691710805778e-04
1.600000000000000033e-02 9.461773824994520110e-04
2.400000000000000050e-02 1.879414342276827365e-03
2.800000000000000058e-02 2.458040757406310724e-03
2.999999999999999889e-02 2.771692322813124401e-03
3.099999999999999978e-02 2.934899335721461409e-03
3.200000000000000067e-02 3.107284851176892512e-03
4.800000000000000100e-02 6.429395195127079500e-03
5.600000000000000117e-02 8.493466738935081389e-03
5.999999999999999778e-02 9.620855280400046269e-03
6.199999999999999956e-02 1.020402319973428944e-02
6.300000000000000044e-02 1.049978789240945537e-02
6.400000000000000133e-02 1.076059485777040511e-02
9.600000000000000200e-02 2.233655703918407606e-02
1.120000000000000023e-01 2.931194810319998068e-02
1.199999999999999956e-01 3.304092448255020048e-02
1.239999999999999991e-01 3.495940925118921211e-02
1.260000000000000009e-01 3.591503242653129591e-02
1.270000000000000018e-01 3.639570325024090586e-02
1.280000000000000027e-01 3.609210690670192068e-02
1.920000000000000040e-01 6.971068181325246194e-02
2.240000000000000047e-01 8.730652643956425540e-02
2.399999999999999911e-01 9.592831295352818866e-02
2.479999999999999982e-01 1.001666340040861941e-01
2.520000000000000018e-01 1.022563526005379891e-01
2.540000000000000036e-01 1.032669184662175499e-01
2.550000000000000044e-01 1.037680581478531983e-01
2.560000000000000053e-01 1.020532713142403292e-01
3.840000000000000080e-01 1.532786294001631799e-01
4.480000000000000093e-01 1.701405167360357240e-01
4.799999999999999822e-01 1.774449180872763043e-01
4.959999999999999964e-01 1.809290943583628519e-01
5.040000000000000036e-01 1.826255258174689644e-01
5.080000000000000071e-01 1.834597116246408366e-01
5.100000000000000089e-01 1.838643726967511549e-01
5.110000000000000098e-01 1.840584068103224002e-01
5.120000000000000107e-01 1.788276850719617006e-01
7.680000000000000160e-01 2.361595284694036345e-01
8.960000000000000187e-01 2.766038536209845522e-01
9.599999999999999645e-01 2.978291488583864055e-01
9.919999999999999929e-01 3.085136965514480578e-01
1.008000000000000007e+00 3.139037020345469831e-01
1.016000000000000014e+00 3.165510432280385089e-01
1.020000000000000018e+00 3.178858335873093743e-01
1.022000000000000020e+00 3.185124795356008010e-01
