# time MSD
1.000000000000000021e-03 3.003024517834724141e-05
2.000000000000000042e-03 7.984663139728937268e-05
3.000000000000000062e-03 1.499804053870278716e-04
4.000000000000000083e-03 2.419281213632070327e-04
6.000000000000000125e-03 4.835763866785629142e-04
7.000000000000000146e-03 6.348275737551637397e-04
8.000000000000000167e-03 8.033319420495349614e-04
1.200000000000000025e-02 1.690738233587033837e-03
1.400000000000000029e-02 2.251625413366209905e-03
1.499999999999999944e-02 2.564279576530806640e-03
1.600000000000000033e-02 2.897211126399286667e-03
2.400000000000000050e-02 6.270086951144389180e-03
2.800000000000000058e-02 8.447498097965912625e-03
2.999999999999999889e-02 9.647074480376540903e-03
3.099999999999999978e-02 1.028147299674331792e-02
3.200000000000000067e-02 1.094755424959794297e-02
4.800000000000000100e-02 2.411883705775981837e-02
5.600000000000000117e-02 3.261346870100932660e-02
5.999999999999999778e-02 3.736028423177306657e-02
6.199999999999999956e-02 3.983097155578904647e-02
6.300000000000000044e-02 4.110463052529596956e-02
6.400000000000000133e-02 4.245646435994495510e-02
9.600000000000000200e-02 9.434320248908292794e-02
1.120000000000000023e-01 1.278707458371566019e-01
1.199999999999999956e-01 1.465119467403662723e-01
1.239999999999999991e-01 1.563449094256984806e-01
1.260000000000000009e-01 1.613325016031664783e-01
1.270000000000000018e-01 1.638747315374760039e-01
1.280000000000000027e-01 1.661054784245457883e-01
1.920000000000000040e-01 3.704818213811948424e-01
2.240000000000000047e-01 5.024502004727999793e-01
2.399999999999999911e-01 5.757807251817397276e-01
2.479999999999999982e-01 6.142425813901755127e-01
2.520000000000000018e-01 6.340098638237116058e-01
2.540000000000000036e-01 6.439216741919722153e-01
2.550000000000000044e-01 6.489364310570217009e-01
2.560000000000000053e-01 6.518120599979578822e-01
3.840000000000000080e-01 1.449306800561133368e+00
4.480000000000000093e-01 1.961893522747119922e+00
4.799999999999999822e-01 2.245857035918727540e+00
4.959999999999999964e-01 2.394597957887054207e+00
5.040000000000000036e-01 2.470584339464769297e+00
5.080000000000000071e-01 2.509156532060314859e+00
5.100000000000000089e-01 2.528395474196253989e+00
5.110000000000000098e-01 2.538091699075398111e+00
5.120000000000000107e-01 2.528889679029333593e+00
7.680000000000000160e-01 5.561934706829700481e+00
8.960000000000000187e-01 7.480989631622443348e+00
9.599999999999999645e-01 8.537247721280511570e+00
9.919999999999999929e-01 9.088772276894982127e+00
1.008000000000000007e+00 9.370067902878179922e+00
1.016000000000000014e+00 9.511987115939682269e+00
1.020000000000000018e+00 9.583658170424351752e+00
1.022000000000000020e+00 9.619298820881070355e+00
1.023000000000000131e+00 9.637221550227163647e+00
1.024000000000000021e+00 9.561356756781327348e+00
1.536000000000000032e+00 2.047573183934088448e+01
1.792000000000000037e+00 2.725080566922734704e+01
1.919999999999999929e+00 3.095124283206133953e+01
1.983999999999999986e+00 3.287936336349832800e+01
2.016000000000000014e+00 3.386272850375488730e+01
2.032000000000000028e+00 3.435862061912587251e+01
2.040000000000000036e+00 3.460752553008408938e+01
2.044000000000000039e+00 3.473282773319597538e+01
2.046000000000000263e+00 3.479509233065046203e+01
2.047000000000000153e+00 3.482636406545336882e+01
2.048000000000000043e+00 3.476610696398341815e+01
3.072000000000000064e+00 7.265962227761697534e+01
3.584000000000000075e+00 9.628329891477901015e+01
3.839999999999999858e+00 1.093151783499676526e+02
3.967999999999999972e+00 1.161368563676804939e+02
4.032000000000000028e+00 1.196240602396099035e+02
4.064000000000000057e+00 1.213873395196357023e+02
4.080000000000000071e+00 1.222726358399094977e+02
4.088000000000000078e+00 1.227159820909219690e+02
4.092000000000000526e+00 1.229389918859947812e+02
4.094000000000000306e+00 1.230497042824998175e+02
4.094999999999999751e+00 1.231052647910549638e+02
4.096000000000000085e+00 1.231947443331986136e+02
6.144000000000000128e+00 2.609808119163974425e+02
7.168000000000000149e+00 3.484604806746784220e+02
7.679999999999999716e+00 3.970440323329609669e+02
7.935999999999999943e+00 4.226138610837717806e+02
8.064000000000000057e+00 4.357205568403352345e+02
8.128000000000000114e+00 4.423514193327478097e+02
8.160000000000000142e+00 4.456881743083753236e+02
8.176000000000000156e+00 4.473589357187848350e+02
8.184000000000001052e+00 4.481951211285207251e+02
8.188000000000000611e+00 4.486153376259037486e+02
8.189999999999999503e+00 4.488239742394373479e+02
8.191000000000000725e+00 4.489286525069532559e+02
8.192000000000000171e+00 4.476001866598571723e+02
1.228800000000000026e+01 9.720433910504643791e+02
1.433600000000000030e+01 1.308641036816570931e+03
1.446499999999999986e+01 1.329279136503784457e+03
1.446600000000000108e+01 1.329456891772510744e+03
1.446799999999999997e+01 1.329811393268518486e+03
1.447199999999999953e+01 1.330525068793706168e+03
1.448000000000000043e+01 1.331948061874804580e+03
1.449600000000000044e+01 1.334796809621406283e+03
1.452800000000000047e+01 1.340514385397163096e+03
1.459200000000000053e+01 1.351973114804001398e+03
1.472000000000000064e+01 1.375021571180396222e+03
1.497600000000000087e+01 1.421641225952811283e+03
1.535999999999999943e+01 1.495216142418162690e+03
1.548799999999999955e+01 1.517034414147519783e+03
1.587199999999999989e+01 1.593566901109448281e+03
1.612800000000000011e+01 1.644108437340255705e+03
1.625600000000000023e+01 1.669730110982816086e+03
1.632000000000000028e+01 1.682624207541357237e+03
