# time variance
1.000000000000000021e-03 3.013755150955914450e-05
2.000000000000000042e-03 8.068552825612665793e-05
3.000000000000000062e-03 1.514722296728198954e-04
4.000000000000000083e-03 2.432971983775909233e-04
6.000000000000000125e-03 4.873506146897101576e-04
7.000000000000000146e-03 6.392840056733732840e-04
8.000000000000000167e-03 8.125980712851761005e-04
1.200000000000000025e-02 1.706104837136851113e-03
1.400000000000000029e-02 2.275416644754889826e-03
1.499999999999999944e-02 2.589125840682355607e-03
1.600000000000000033e-02 2.925251811753271612e-03
2.400000000000000050e-02 6.331569955028783052e-03
2.800000000000000058e-02 8.515179585753783476e-03
2.999999999999999889e-02 9.729927189306018104e-03
3.099999999999999978e-02 1.036283121480691127e-02
3.200000000000000067e-02 1.101577078643599210e-02
4.800000000000000100e-02 2.418617352619055819e-02
5.600000000000000117e-02 3.263341621750100868e-02
5.999999999999999778e-02 3.731334162426631906e-02
6.199999999999999956e-02 3.977109064672539052e-02
6.300000000000000044e-02 4.102073930150514081e-02
6.400000000000000133e-02 4.234031673046814021e-02
9.600000000000000200e-02 9.270127405231358420e-02
1.120000000000000023e-01 1.245293859095033956e-01
1.199999999999999956e-01 1.420010919071432454e-01
1.239999999999999991e-01 1.511050730116985374e-01
1.260000000000000009e-01 1.557521008797059514e-01
1.270000000000000018e-01 1.580877009147903800e-01
1.280000000000000027e-01 1.601535514540350369e-01
1.920000000000000040e-01 3.394398336556778695e-01
2.240000000000000047e-01 4.462882011431604790e-01
2.399999999999999911e-01 5.030294811864350901e-01
2.479999999999999982e-01 5.321087733309755041e-01
2.520000000000000018e-01 5.467716088678915565e-01
2.540000000000000036e-01 5.541535520610121335e-01
2.550000000000000044e-01 5.578451578981176162e-01
2.560000000000000053e-01 5.621563104347191420e-01
3.840000000000000080e-01 1.062968280131719956e+00
4.480000000000000093e-01 1.313249256156714839e+00
4.799999999999999822e-01 1.433638676342198215e+00
4.959999999999999964e-01 1.492513554707922241e+00
5.040000000000000036e-01 1.521635346758745122e+00
5.080000000000000071e-01 1.536011038212185209e+00
5.100000000000000089e-01 1.543202301748374694e+00
5.110000000000000098e-01 1.546829248198942519e+00
5.120000000000000107e-01 1.550778277665231020e+00
7.680000000000000160e-01 2.341570197799298647e+00
8.960000000000000187e-01 2.672218680685779724e+00
9.599999999999999645e-01 2.833925097386321923e+00
9.919999999999999929e-01 2.914273582977584098e+00
1.008000000000000007e+00 2.954859082017280869e+00
1.016000000000000014e+00 2.975263249309032076e+00
1.020000000000000018e+00 2.985413774264783271e+00
1.022000000000000020e+00 2.990432687917111920e+00
1.023000000000000131e+00 2.992981737236181772e+00
1.024000000000000021e+00 2.986250446988778506e+00
1.536000000000000032e+00 4.385142400605989366e+00
1.792000000000000037e+00 5.105983776221002302e+00
1.919999999999999929e+00 5.466726066145508156e+00
1.983999999999999986e+00 5.646803284573547188e+00
2.016000000000000014e+00 5.735873628143444591e+00
2.032000000000000028e+00 5.780629732181964187e+00
2.040000000000000036e+00 5.803017981287666771e+00
2.044000000000000039e+00 5.814151921420531721e+00
2.046000000000000263e+00 5.819568133029370927e+00
2.047000000000000153e+00 5.822326315165902599e+00
2.048000000000000043e+00 5.822791815565715012e+00
3.072000000000000064e+00 8.643096275935235440e+00
3.584000000000000075e+00 1.003728443989351149e+01
