# time variance
1.000000000000000021e-03 2.067701637717072965e-05
2.000000000000000042e-03 4.253488534208083271e-05
3.000000000000000062e-03 6.585880442493166034e-05
4.000000000000000083e-03 8.934594560829029830e-05
6.000000000000000125e-03 1.419949689722005957e-04
7.000000000000000146e-03 1.702833413049222543e-04
8.000000000000000167e-03 1.979765959540248611e-04
1.200000000000000025e-02 3.270932134779827214e-04
1.400000000000000029e-02 3.993415322076852001e-04
1.499999999999999944e-02 4.378472251822330464e-04
1.600000000000000033e-02 4.731581982859682642e-04
2.400000000000000050e-02 8.258875066195047864e-04
2.800000000000000058e-02 1.031424496146016384e-03
2.999999999999999889e-02 1.141983495414060964e-03
3.099999999999999978e-02 1.199793629040551849e-03
3.200000000000000067e-02 1.245050847811758881e-03
4.800000000000000100e-02 2.317379782037092256e-03
5.600000000000000117e-02 2.964264206074880125e-03
5.999999999999999778e-02 3.317527820397515349e-03
6.199999999999999956e-02 3.502880015059570661e-03
6.300000000000000044e-02 3.596786347124888983e-03
6.400000000000000133e-02 3.700521315136752649e-03
9.600000000000000200e-02 7.271041790929646219e-03
1.120000000000000023e-01 9.473107064611036715e-03
1.199999999999999956e-01 1.067975420642966813e-02
1.239999999999999991e-01 1.130664153339905852e-02
1.260000000000000009e-01 1.163159274066735520e-02
1.270000000000000018e-01 1.179371556490005878e-02
1.280000000000000027e-01 1.191929456560493830e-02
1.920000000000000040e-01 2.437661829375512706e-02
2.240000000000000047e-01 3.201954057258481895e-02
2.399999999999999911e-01 3.618438656194018083e-02
2.479999999999999982e-01 3.835819678374331743e-02
2.520000000000000018e-01 3.946529350584546819e-02
2.540000000000000036e-01 4.003246639846844840e-02
2.550000000000000044e-01 4.031539010293551384e-02
2.560000000000000053e-01 4.058728053408345443e-02
3.840000000000000080e-01 8.296920186889357451e-02
4.480000000000000093e-01 1.085138050686967337e-01
4.799999999999999822e-01 1.221378185241981107e-01
4.959999999999999964e-01 1.291907359293636426e-01
5.040000000000000036e-01 1.327578766662913523e-01
5.080000000000000071e-01 1.345688626243279340e-01
5.100000000000000089e-01 1.354956890701438932e-01
5.110000000000000098e-01 1.359551821677497663e-01
5.120000000000000107e-01 1.365453087836513979e-01
7.680000000000000160e-01 2.680289691624213044e-01
8.960000000000000187e-01 3.427875636763541567e-01
9.599999999999999645e-01 3.819434202752665097e-01
9.919999999999999929e-01 4.017076058504468472e-01
1.008000000000000007e+00 4.117394270402881529e-01
1.016000000000000014e+00 4.167450205276213016e-01
1.020000000000000018e+00 4.192768356085000425e-01
1.022000000000000020e+00 4.205929058292576794e-01
1.023000000000000131e+00 4.212357357472685804e-01
1.024000000000000021e+00 4.237138823781351205e-01
1.536000000000000032e+00 7.721375831046513039e-01
1.792000000000000037e+00 9.602633219424930866e-01
1.919999999999999929e+00 1.056939049661942187e+00
1.983999999999999986e+00 1.105771341016648979e+00
2.016000000000000014e+00 1.130124766975370676e+00
2.032000000000000028e+00 1.142397334352286409e+00
2.040000000000000036e+00 1.148494802344977250e+00
2.044000000000000039e+00 1.151588938529458650e+00
2.046000000000000263e+00 1.153191711028217492e+00
2.047000000000000153e+00 1.153972211545389204e+00
2.048000000000000043e+00 1.150020245209918857e+00
3.072000000000000064e+00 1.968065668497801957e+00
3.584000000000000075e+00 2.384630350330332771e+00
3.839999999999999858e+00 2.593977025795246139e+00
3.967999999999999972e+00 2.699778815451711722e+00
4.032000000000000028e+00 2.752716858691479640e+00
4.064000000000000057e+00 2.778876966828598860e+00
4.080000000000000071e+00 2.792197518448682025e+00
4.088000000000000078e+00 2.798589445150470922e+00
4.092000000000000526e+00 2.801874795778138250e+00
4.094000000000000306e+00 2.803578046340352348e+00
4.094999999999999751e+00 2.804412964725713220e+00
4.096000000000000085e+00 2.773442654922937844e+00
6.144000000000000128e+00 4.431914455922599139e+00
7.168000000000000149e+00 5.285798738304209543e+00
7.679999999999999716e+00 5.709243893634754485e+00
7.935999999999999943e+00 5.918865753079169068e+00
8.064000000000000057e+00 6.024943644176557811e+00
8.128000000000000114e+00 6.077142938907174496e+00
8.160000000000000142e+00 6.103296937506172526e+00
8.176000000000000156e+00 6.116728067312836359e+00
8.184000000000001052e+00 6.123114760326158645e+00
8.188000000000000611e+00 6.126380755272515799e+00
8.189999999999999503e+00 6.128151603239009759e+00
8.191000000000000725e+00 6.128990014354155136e+00
8.192000000000000171e+00 6.098112535229297748e+00
1.228800000000000026e+01 9.422280301568470406e+00
1.433600000000000030e+01 1.107905108829820051e+01
1.446499999999999986e+01 1.144537620799765421e+01
1.446600000000000108e+01 1.144620802379133195e+01
1.446799999999999997e+01 1.144805711905869572e+01
1.447199999999999953e+01 1.145094657250784564e+01
1.448000000000000043e+01 1.145751853606475024e+01
1.449600000000000044e+01 1.147074843762935714e+01
1.452800000000000047e+01 1.149621980706483271e+01
1.459200000000000053e+01 1.154785271331063257e+01
1.472000000000000064e+01 1.164951381505318295e+01
1.497600000000000087e+01 1.185673792325033560e+01
1.535999999999999943e+01 1.194447165716191250e+01
1.548799999999999955e+01 1.226974785862419282e+01
1.587199999999999989e+01 1.235541436247255831e+01
1.612800000000000011e+01 1.256322409267658458e+01
1.625600000000000023e+01 1.266939013325274033e+01
1.632000000000000028e+01 1.272229603574821510e+01
1.635200000000000031e+01 1.274886278051001653e+01
1.636800000000000210e+01 1.276238037630204758e+01
1.637600000000000122e+01 1.276896086505677630e+01
1.637999999999999901e+01 1.277225299514594070e+01
1.638200000000000145e+01 1.277398560075971545e+01
1.638299999999999912e+01 1.277482613150835533e+01
1.638400000000000034e+01 1.274019175536464132e+01
1.651200000000000045e+01 1.310896460112179795e+01
1.855999999999999872e+01 1.478961854167727807e+01
2.265599999999999881e+01 1.812540592175223253e+01
2.457600000000000051e+01 1.933585257785753697e+01
2.867200000000000060e+01 2.267987331642277127e+01
3.071999999999999886e+01 2.435044599954235878e+01
3.084799999999999898e+01 2.479618106053723636e+01
3.174399999999999977e+01 2.521335031716398589e+01
3.225600000000000023e+01 2.562234974727141434e+01
3.251200000000000045e+01 2.582606522980861996e+01
3.264000000000000057e+01 2.592937544596944122e+01
3.270400000000000063e+01 2.598277782391093638e+01
3.273600000000000421e+01 2.600978279126712778e+01
3.275200000000000244e+01 2.602355907798136059e+01
3.275999999999999801e+01 2.602998822520876843e+01
3.276400000000000290e+01 2.603298063412736951e+01
3.276599999999999824e+01 2.603460724296536455e+01
3.276700000000000301e+01 2.603554313152079658e+01
3.276800000000000068e+01 2.599654580191986497e+01
4.723199999999999932e+01 3.804209462666847230e+01
4.723300000000000409e+01 3.803010539936218493e+01
4.723400000000000176e+01 3.803075607785444845e+01
4.723600000000000421e+01 3.803254282649794504e+01
4.724000000000000199e+01 3.803483765264866179e+01
4.724799999999999756e+01 3.804120365877975019e+01
4.726400000000000290e+01 3.805488101966233216e+01
4.729599999999999937e+01 3.807970267441930901e+01
4.735999999999999943e+01 3.812851710434154029e+01
4.748799999999999955e+01 3.822484792487819050e+01
4.774399999999999977e+01 3.841806518106795920e+01
4.825600000000000023e+01 3.881432289851721862e+01
4.915200000000000102e+01 3.943363487897039477e+01
4.928000000000000114e+01 3.964945573065267581e+01
5.132800000000000296e+01 4.138016227055737772e+01
5.542399999999999949e+01 4.478021714238735740e+01
5.734400000000000119e+01 4.595507342254285277e+01
6.143999999999999773e+01 4.936252059221021682e+01
6.348799999999999955e+01 5.100680079676112655e+01
6.361599999999999966e+01 5.146657772665753328e+01
6.361700000000000443e+01 5.148809414317747724e+01
6.361800000000000210e+01 5.148880691394219866e+01
6.362000000000000455e+01 5.149052970882326008e+01
6.362400000000000233e+01 5.149280520336219524e+01
6.363199999999999790e+01 5.149912974809888055e+01
6.364800000000000324e+01 5.151250363312590252e+01
6.367999999999999972e+01 5.153703092103933159e+01
6.374399999999999977e+01 5.158478306306915329e+01
6.387199999999999989e+01 5.167743795858768863e+01
6.412800000000000011e+01 5.186558972909779186e+01
6.451200000000000045e+01 5.188512253784040240e+01
6.464000000000000057e+01 5.226151410982822654e+01
6.502400000000000091e+01 5.229154851740395316e+01
6.528000000000000114e+01 5.249858442224001465e+01
6.540800000000000125e+01 5.260318475281860628e+01
6.547200000000000841e+01 5.265920297173840936e+01
6.550400000000000489e+01 5.268522926704213205e+01
