# time variance
1.000000000000000021e-03 2.316751110963990212e-05
2.000000000000000042e-03 5.164056211947591244e-05
3.000000000000000062e-03 8.693977083916402666e-05
4.000000000000000083e-03 1.294301364239691123e-04
6.000000000000000125e-03 2.297611344077808422e-04
7.000000000000000146e-03 2.895430908576662960e-04
8.000000000000000167e-03 3.547977358541410330e-04
1.200000000000000025e-02 6.784907926526652019e-04
1.400000000000000029e-02 8.757727863600449272e-04
1.499999999999999944e-02 9.848028573764108697e-04
1.600000000000000033e-02 1.092494860371839155e-03
2.400000000000000050e-02 2.219406570267821403e-03
2.800000000000000058e-02 2.928519414700648908e-03
2.999999999999999889e-02 3.315721256475477347e-03
3.099999999999999978e-02 3.521364433838138942e-03
3.200000000000000067e-02 3.769952876759155753e-03
4.800000000000000100e-02 7.948825389953947246e-03
5.600000000000000117e-02 1.060711807959883145e-02
5.999999999999999778e-02 1.208083286469079781e-02
6.199999999999999956e-02 1.284290583696929937e-02
6.300000000000000044e-02 1.324076969435272928e-02
6.400000000000000133e-02 1.362702547209899452e-02
9.600000000000000200e-02 2.950780459733424663e-02
1.120000000000000023e-01 3.953659941204643036e-02
1.199999999999999956e-01 4.507974262245108971e-02
1.239999999999999991e-01 4.798448499951788598e-02
1.260000000000000009e-01 4.945195805074940887e-02
1.270000000000000018e-01 5.021022624046942578e-02
1.280000000000000027e-01 5.080474455418390600e-02
1.920000000000000040e-01 1.094463051233928036e-01
2.240000000000000047e-01 1.460619031049440741e-01
2.399999999999999911e-01 1.658186673844395942e-01
2.479999999999999982e-01 1.760852052306939586e-01
2.520000000000000018e-01 1.813203476193030739e-01
2.540000000000000036e-01 1.839300255520278093e-01
2.550000000000000044e-01 1.852685964654169626e-01
2.560000000000000053e-01 1.868930356069959109e-01
3.840000000000000080e-01 3.823086254193204248e-01
4.480000000000000093e-01 4.937996383017455582e-01
4.799999999999999822e-01 5.519449878763084127e-01
4.959999999999999964e-01 5.811542826213644819e-01
5.040000000000000036e-01 5.957971859983260954e-01
5.080000000000000071e-01 6.031748085324862840e-01
5.100000000000000089e-01 6.068159735625662243e-01
5.110000000000000098e-01 6.086666806939939889e-01
5.120000000000000107e-01 6.114502956810636825e-01
7.680000000000000160e-01 1.082036401766836464e+00
8.960000000000000187e-01 1.297695207573503318e+00
9.599999999999999645e-01 1.398744078868138008e+00
9.919999999999999929e-01 1.448017848040008548e+00
1.008000000000000007e+00 1.472118706031189106e+00
1.016000000000000014e+00 1.484022167474966292e+00
1.020000000000000018e+00 1.490022245876898133e+00
1.022000000000000020e+00 1.492994211568200669e+00
1.023000000000000131e+00 1.494437627274425306e+00
1.024000000000000021e+00 1.494072298561242906e+00
1.536000000000000032e+00 2.186725491989191639e+00
1.792000000000000037e+00 2.531380288780310295e+00
1.919999999999999929e+00 2.707134311236004010e+00
1.983999999999999986e+00 2.796016644601191814e+00
2.016000000000000014e+00 2.841239003789977957e+00
2.032000000000000028e+00 2.863905154583450852e+00
2.040000000000000036e+00 2.874987293115673026e+00
2.044000000000000039e+00 2.880506858256852709e+00
2.046000000000000263e+00 2.883239902299457924e+00
2.047000000000000153e+00 2.884546521616313086e+00
2.048000000000000043e+00 2.868510182244577322e+00
3.072000000000000064e+00 4.307971079362630462e+00
3.584000000000000075e+00 5.024170323416271344e+00
3.839999999999999858e+00 5.388418396165697288e+00
3.967999999999999972e+00 5.567194678930619034e+00
4.032000000000000028e+00 5.656010885596025162e+00
4.064000000000000057e+00 5.701136050515586362e+00
4.080000000000000071e+00 5.723716177007190709e+00
4.088000000000000078e+00 5.734705136714090656e+00
4.092000000000000526e+00 5.740047469749661957e+00
4.094000000000000306e+00 5.742835770989287880e+00
4.094999999999999751e+00 5.744065481728263478e+00
4.096000000000000085e+00 5.723927158729672726e+00
6.144000000000000128e+00 8.519487966048714611e+00
7.168000000000000149e+00 9.946884588312144615e+00
7.679999999999999716e+00 1.066715023325411948e+01
