# time MSD
1.000000000000000021e-03 5.276880269449018830e-05
2.000000000000000042e-03 1.708384733500705453e-04
3.000000000000000062e-03 3.544732703402220025e-04
4.000000000000000083e-03 6.040860995197901845e-04
6.000000000000000125e-03 1.298849712976069383e-03
7.000000000000000146e-03 1.744073694812383257e-03
8.000000000000000167e-03 2.263513695567895799e-03
1.200000000000000025e-02 4.965243525710025252e-03
1.400000000000000029e-02 6.707691639937346170e-03
1.499999999999999944e-02 7.675475042572858612e-03
1.600000000000000033e-02 8.693951029231197433e-03
2.400000000000000050e-02 1.932067332923164890e-02
2.800000000000000058e-02 2.618212781883933263e-02
2.999999999999999889e-02 3.000023252168794799e-02
3.099999999999999978e-02 3.200380848214841312e-02
3.200000000000000067e-02 3.398081147468271640e-02
4.800000000000000100e-02 7.572496637510231499e-02
5.600000000000000117e-02 1.027066324500197497e-01
5.999999999999999778e-02 1.176677419926002582e-01
6.199999999999999956e-02 1.255197861826065076e-01
6.300000000000000044e-02 1.295327503952823922e-01
6.400000000000000133e-02 1.333251107732193186e-01
9.600000000000000200e-02 2.951576226334093334e-01
1.120000000000000023e-01 3.983045978214280747e-01
1.199999999999999956e-01 4.552599755689675232e-01
1.239999999999999991e-01 4.849737011680522181e-01
1.260000000000000009e-01 5.001523918188829354e-01
1.270000000000000018e-01 5.078070567749166653e-01
1.280000000000000027e-01 5.123341389982212224e-01
1.920000000000000040e-01 1.104850717248022640e+00
2.240000000000000047e-01 1.467803422918837253e+00
2.399999999999999911e-01 1.663941639325771993e+00
2.479999999999999982e-01 1.765506169684607496e+00
2.520000000000000018e-01 1.816998048731202298e+00
2.540000000000000036e-01 1.842949002308395645e+00
2.550000000000000044e-01 1.855959326713295221e+00
2.560000000000000053e-01 1.863954980154535868e+00
3.840000000000000080e-01 3.751657010178324647e+00
4.480000000000000093e-01 4.837637100748103158e+00
4.799999999999999822e-01 5.412138760130435600e+00
4.959999999999999964e-01 5.707896788270638844e+00
5.040000000000000036e-01 5.857891035805586455e+00
5.080000000000000071e-01 5.933282079683830368e+00
