# time MSD
1.000000000000000021e-03 2.802531155714915265e-05
2.000000000000000042e-03 7.264279986820187853e-05
3.000000000000000062e-03 1.333253190044804935e-04
4.000000000000000083e-03 2.107580632854301364e-04
6.000000000000000125e-03 4.146392963981322330e-04
7.000000000000000146e-03 5.403647416606091125e-04
8.000000000000000167e-03 6.793618249452858726e-04
1.200000000000000025e-02 1.411666770534504480e-03
1.400000000000000029e-02 1.876968049509728257e-03
1.499999999999999944e-02 2.132526000574135831e-03
1.600000000000000033e-02 2.403251842163748805e-03
2.400000000000000050e-02 5.165324608780910015e-03
2.800000000000000058e-02 6.941431671449004547e-03
2.999999999999999889e-02 7.928401709125372857e-03
3.099999999999999978e-02 8.443957662173739651e-03
3.200000000000000067e-02 8.936998822302482867e-03
4.800000000000000100e-02 1.963779392661487572e-02
5.600000000000000117e-02 2.653808233226899460e-02
5.999999999999999778e-02 3.038646359688050233e-02
6.199999999999999956e-02 3.240806531963346532e-02
6.300000000000000044e-02 3.343952609477560123e-02
6.400000000000000133e-02 3.449927499527276342e-02
9.600000000000000200e-02 7.645472352669428762e-02
1.120000000000000023e-01 1.036324696740407447e-01
1.199999999999999956e-01 1.187398476230665662e-01
1.239999999999999991e-01 1.267012402718779018e-01
1.260000000000000009e-01 1.307792966537671964e-01
1.270000000000000018e-01 1.328331233517415222e-01
1.280000000000000027e-01 1.349499231384196918e-01
1.920000000000000040e-01 3.003642258097496964e-01
2.240000000000000047e-01 4.069213548051838214e-01
2.399999999999999911e-01 4.662598181939194841e-01
2.479999999999999982e-01 4.973674599442205468e-01
2.520000000000000018e-01 5.133477791595042472e-01
2.540000000000000036e-01 5.214331806805975189e-01
2.550000000000000044e-01 5.254785486503960046e-01
2.560000000000000053e-01 5.285927611841203522e-01
3.840000000000000080e-01 1.172923244490654771e+00
4.480000000000000093e-01 1.585678772638675627e+00
4.799999999999999822e-01 1.813987496152490442e+00
4.959999999999999964e-01 1.933840382766756738e+00
5.040000000000000036e-01 1.995054262697110614e+00
5.080000000000000071e-01 2.026121825513908625e+00
5.100000000000000089e-01 2.041747854455576494e+00
5.110000000000000098e-01 2.049542086545045105e+00
5.120000000000000107e-01 2.045641469069831242e+00
7.680000000000000160e-01 4.490202339561722766e+00
8.960000000000000187e-01 6.043101466757958562e+00
9.599999999999999645e-01 6.900183199875648654e+00
9.919999999999999929e-01 7.348644901837027454e+00
1.008000000000000007e+00 7.578254900689961104e+00
1.016000000000000014e+00 7.694137378597998733e+00
1.020000000000000018e+00 7.752671318001239875e+00
1.022000000000000020e+00 7.782037935412201790e+00
1.023000000000000131e+00 7.796655854679634068e+00
1.024000000000000021e+00 7.787655407103040162e+00
1.536000000000000032e+00 1.690843075667287110e+01
1.792000000000000037e+00 2.272784216460863860e+01
1.919999999999999929e+00 2.595190728780389833e+01
1.983999999999999986e+00 2.764199656754999523e+01
2.016000000000000014e+00 2.850646786685024026e+01
2.032000000000000028e+00 2.894419344581312714e+01
2.040000000000000036e+00 2.916407224848686752e+01
2.044000000000000039e+00 2.927490054076614356e+01
2.046000000000000263e+00 2.933035574794858036e+01
2.047000000000000153e+00 2.935796539298162955e+01
2.048000000000000043e+00 2.945588111764093853e+01
3.072000000000000064e+00 6.420454174450074447e+01
3.584000000000000075e+00 8.643310741193270985e+01
3.839999999999999858e+00 9.878922008270058086e+01
3.967999999999999972e+00 1.052752289332209585e+02
4.032000000000000028e+00 1.085944827138997653e+02
4.064000000000000057e+00 1.102727528967575381e+02
4.080000000000000071e+00 1.111180771507843446e+02
4.088000000000000078e+00 1.115416830785039082e+02
4.092000000000000526e+00 1.117548254443493647e+02
4.094000000000000306e+00 1.118613038389623142e+02
4.094999999999999751e+00 1.119142917166010989e+02
4.096000000000000085e+00 1.116591889920043315e+02
6.144000000000000128e+00 2.457431493586535964e+02
7.168000000000000149e+00 3.318773905501854529e+02
7.679999999999999716e+00 3.797524239157158377e+02
7.935999999999999943e+00 4.049627429087434507e+02
8.064000000000000057e+00 4.178805373055789687e+02
8.128000000000000114e+00 4.244155957122136442e+02
8.160000000000000142e+00 4.276995102005515150e+02
8.176000000000000156e+00 4.293497668521728201e+02
8.184000000000001052e+00 4.301757365646286075e+02
8.188000000000000611e+00 4.305909757404822926e+02
8.189999999999999503e+00 4.307982844846190460e+02
8.191000000000000725e+00 4.309014469616856786e+02
8.192000000000000171e+00 4.317994717051609541e+02
1.228800000000000026e+01 9.557489355185156228e+02
1.433600000000000030e+01 1.295303949366442112e+03
1.446499999999999986e+01 1.315465282177739937e+03
1.446600000000000108e+01 1.315644700290092487e+03
1.446799999999999997e+01 1.316004833403835164e+03
1.447199999999999953e+01 1.316727134952117012e+03
1.448000000000000043e+01 1.318164480823584427e+03
1.449600000000000044e+01 1.321044455038316300e+03
1.452800000000000047e+01 1.326799217744839098e+03
1.459200000000000053e+01 1.338363330038167305e+03
1.472000000000000064e+01 1.361636359337592694e+03
1.497600000000000087e+01 1.408782904209477920e+03
1.535999999999999943e+01 1.483962543994019143e+03
1.548799999999999955e+01 1.505305739499176752e+03
1.587199999999999989e+01 1.583113837845163744e+03
1.612800000000000011e+01 1.634034290591254148e+03
1.625600000000000023e+01 1.659816442483029505e+03
1.632000000000000028e+01 1.672785268999813979e+03
1.635200000000000031e+01 1.679282931980359763e+03
1.636800000000000210e+01 1.682544097628724558e+03
1.637600000000000122e+01 1.684174692067572096e+03
1.637999999999999901e+01 1.684994417287049146e+03
1.638200000000000145e+01 1.685403529075358165e+03
1.638299999999999912e+01 1.685607101000944112e+03
1.638400000000000034e+01 1.682771094873603033e+03
1.651200000000000045e+01 1.707936553739112924e+03
1.855999999999999872e+01 2.152694767880605923e+03
2.265599999999999881e+01 3.194004451815483208e+03
2.457600000000000051e+01 3.757507997417905244e+03
2.867200000000000060e+01 5.100012672267610469e+03
3.071999999999999886e+01 5.849611991541865791e+03
3.084799999999999898e+01 5.896046787076131295e+03
3.174399999999999977e+01 6.242884034322987645e+03
3.225600000000000023e+01 6.444388465443062159e+03
3.251200000000000045e+01 6.546648993883617550e+03
3.264000000000000057e+01 6.598119426471514998e+03
3.270400000000000063e+01 6.623934910358065281e+03
3.273600000000000421e+01 6.636845576657142374e+03
3.275200000000000244e+01 6.643322458372878828e+03
3.275999999999999801e+01 6.646560015237378138e+03
3.276400000000000290e+01 6.648187533031052226e+03
3.276599999999999824e+01 6.648999684553086809e+03
3.276700000000000301e+01 6.649403518756517769e+03
3.276800000000000068e+01 6.650576922115340494e+03
4.723199999999999932e+01 1.375032547189899014e+04
4.723300000000000409e+01 1.375350029062674912e+04
4.723400000000000176e+01 1.375407889245106344e+04
4.723600000000000421e+01 1.375524177288821375e+04
4.724000000000000199e+01 1.375757412775936609e+04
4.724799999999999756e+01 1.376221252763200937e+04
4.726400000000000290e+01 1.377150064010288952e+04
4.729599999999999937e+01 1.379003908413874160e+04
4.735999999999999943e+01 1.382720667764672908e+04
4.748799999999999955e+01 1.390169639307133912e+04
4.774399999999999977e+01 1.405131171141050254e+04
4.825600000000000023e+01 1.435240783708853996e+04
4.915200000000000102e+01 1.489043920580877057e+04
4.928000000000000114e+01 1.496446861118882043e+04
5.132800000000000296e+01 1.622971974329543627e+04
5.542399999999999949e+01 1.890846486606683175e+04
5.734400000000000119e+01 2.024714402342273752e+04
6.143999999999999773e+01 2.322714016871238709e+04
6.348799999999999955e+01 2.479743145376359826e+04
6.361599999999999966e+01 2.489199243086526621e+04
6.361700000000000443e+01 2.488589969072155509e+04
6.361800000000000210e+01 2.488667814302831175e+04
6.362000000000000455e+01 2.488824232398362801e+04
6.362400000000000233e+01 2.489137988418846726e+04
6.363199999999999790e+01 2.489761826902544271e+04
6.364800000000000324e+01 2.491011074518577152e+04
6.367999999999999972e+01 2.493504049814700556e+04
6.374399999999999977e+01 2.498500864786967213e+04
6.387199999999999989e+01 2.508510325915243448e+04
6.412800000000000011e+01 2.528592583621561062e+04
6.451200000000000045e+01 2.560020841129561450e+04
6.464000000000000057e+01 2.568925546052264326e+04
6.502400000000000091e+01 2.600653731527052150e+04
6.528000000000000114e+01 2.621153716800395341e+04
6.540800000000000125e+01 2.631440849282470299e+04
6.547200000000000841e+01 2.636593111956123903e+04
6.550400000000000489e+01 2.639167874242137623e+04
6.551999999999999602e+01 2.640458979005628862e+04
6.552800000000000580e+01 2.641104040349168645e+04
6.553199999999999648e+01 2.641428400536932895e+04
6.553400000000000603e+01 2.641590268078925146e+04
6.553499999999999659e+01 2.641670751853033289e+04
6.566400000000000148e+01 2.650598884315909891e+04
6.771200000000000330e+01 2.818132241062535104e+04
7.180800000000000693e+01 3.167852291454510487e+04
7.180899999999999750e+01 3.168986219009271008e+04
7.181000000000000227e+01 3.169074059340281383e+04
7.181199999999999761e+01 3.169250577315289047e+04
7.181600000000000250e+01 3.169604571324557764e+04
7.182399999999999807e+01 3.170308556231855619e+04
7.184000000000000341e+01 3.171718097044886235e+04
7.187199999999999989e+01 3.174531012060154171e+04
7.193600000000000705e+01 3.180168596862907725e+04
7.206400000000000716e+01 3.191459904481129342e+04
7.232000000000000739e+01 3.214106817785650856e+04
7.283200000000000784e+01 3.259559138969155174e+04
7.385599999999999454e+01 3.351476872254154296e+04
7.590399999999999636e+01 3.539545163476176094e+04
7.590500000000000114e+01 3.539208369474389474e+04
7.590600000000000591e+01 3.539301206469328463e+04
7.590800000000000125e+01 3.539487760983571934e+04
7.591200000000000614e+01 3.539861892256961437e+04
7.592000000000000171e+01 3.540605829484349670e+04
7.593600000000000705e+01 3.542095392072130198e+04
7.596800000000000352e+01 3.545068026026567532e+04
7.603199999999999648e+01 3.551025251686324918e+04
7.615999999999999659e+01 3.562955981141573284e+04
7.641599999999999682e+01 3.586882337378364173e+04
7.692799999999999727e+01 3.634890055864764145e+04
7.795199999999999818e+01 3.731921943684577855e+04
7.795300000000000296e+01 3.732429974262596079e+04
7.795400000000000773e+01 3.732525311998968391e+04
7.795600000000000307e+01 3.732716895230358932e+04
7.796000000000000796e+01 3.733101101801603363e+04
7.796800000000000352e+01 3.733865071654325584e+04
7.798399999999999466e+01 3.735394764659256180e+04
7.801600000000000534e+01 3.738447496135982510e+04
7.807999999999999829e+01 3.744564995527289284e+04
7.820799999999999841e+01 3.756816291312932299e+04
7.846399999999999864e+01 3.781383747054307605e+04
7.897599999999999909e+01 3.830670821613184671e+04
7.897700000000000387e+01 3.830762205551149236e+04
7.897800000000000864e+01 3.830858791843819927e+04
7.898000000000000398e+01 3.831052884696381807e+04
7.898399999999999466e+01 3.831442121743105236e+04
7.899200000000000443e+01 3.832216099696201127e+04
7.900799999999999557e+01 3.833765849350843928e+04
7.904000000000000625e+01 3.836858554473735421e+04
7.910399999999999920e+01 3.843056054332882923e+04
7.923199999999999932e+01 3.855467377341673273e+04
7.948799999999999955e+01 3.880354759053308953e+04
7.948900000000000432e+01 3.880423915882243455e+04
