# time MSD
1.000000000000000021e-03 4.043609585663730848e-05
2.000000000000000042e-03 1.218401450258608127e-04
3.000000000000000062e-03 2.437744358411361180e-04
4.000000000000000083e-03 4.093822718007967317e-04
6.000000000000000125e-03 8.593408523286636975e-04
7.000000000000000146e-03 1.145013793949811341e-03
8.000000000000000167e-03 1.474137051315487813e-03
1.200000000000000025e-02 3.196601602637725616e-03
1.400000000000000029e-02 4.299949662644085395e-03
1.499999999999999944e-02 4.911537639367841331e-03
1.600000000000000033e-02 5.590665753096998696e-03
2.400000000000000050e-02 1.229609846041360664e-02
2.800000000000000058e-02 1.662327060829410508e-02
2.999999999999999889e-02 1.901965029388104356e-02
3.099999999999999978e-02 2.027413019570251801e-02
3.200000000000000067e-02 2.154032672404017010e-02
4.800000000000000100e-02 4.772822909871220903e-02
5.600000000000000117e-02 6.449707734099036083e-02
5.999999999999999778e-02 7.379720211048659828e-02
6.199999999999999956e-02 7.865155770950725544e-02
6.300000000000000044e-02 8.112839196098621530e-02
6.400000000000000133e-02 8.313182327844866049e-02
9.600000000000000200e-02 1.821910887330685513e-01
1.120000000000000023e-01 2.444344831795027262e-01
1.199999999999999956e-01 2.783578983494496839e-01
1.239999999999999991e-01 2.960279183781799883e-01
1.260000000000000009e-01 3.049916605806490266e-01
1.270000000000000018e-01 3.095088633780331833e-01
1.280000000000000027e-01 3.108674844398463533e-01
1.920000000000000040e-01 6.502129869065796930e-01
2.240000000000000047e-01 8.511468118754712542e-01
2.399999999999999911e-01 9.581780903700973795e-01
2.479999999999999982e-01 1.013025648084398211e+00
2.520000000000000018e-01 1.040853949007271240e+00
2.540000000000000036e-01 1.054775625339671841e+00
2.550000000000000044e-01 1.061772217898718118e+00
2.560000000000000053e-01 1.062093074765352529e+00
3.840000000000000080e-01 2.080111527146052630e+00
4.480000000000000093e-01 2.716391090330159575e+00
4.799999999999999822e-01 3.077725505163882325e+00
4.959999999999999964e-01 3.270123837378710263e+00
5.040000000000000036e-01 3.368971662589984373e+00
5.080000000000000071e-01 3.419244359615639883e+00
5.100000000000000089e-01 3.444391475585791618e+00
5.110000000000000098e-01 3.457055440878110897e+00
5.120000000000000107e-01 3.476436819393574407e+00
7.680000000000000160e-01 7.608311430055604951e+00
8.960000000000000187e-01 1.024265789855737196e+01
9.599999999999999645e-01 1.170517274732765145e+01
9.919999999999999929e-01 1.247908575570383682e+01
1.008000000000000007e+00 1.287695853418505720e+01
1.016000000000000014e+00 1.307804706273865314e+01
1.020000000000000018e+00 1.317942310669356942e+01
1.022000000000000020e+00 1.322993340029000642e+01
1.023000000000000131e+00 1.325531026536009804e+01
1.024000000000000021e+00 1.326622896491695869e+01
1.536000000000000032e+00 2.944653278605039404e+01
1.792000000000000037e+00 3.989955252503050787e+01
1.919999999999999929e+00 4.572266275542852298e+01
1.983999999999999986e+00 4.879552051144282387e+01
2.016000000000000014e+00 5.037782958222738472e+01
2.032000000000000028e+00 5.118037452872879101e+01
2.040000000000000036e+00 5.158337073542137574e+01
2.044000000000000039e+00 5.178590239280958940e+01
2.046000000000000263e+00 5.188666618521592255e+01
2.047000000000000153e+00 5.193721438632385201e+01
2.048000000000000043e+00 5.191136270326480684e+01
3.072000000000000064e+00 1.160910248975195742e+02
3.584000000000000075e+00 1.577995604069098761e+02
3.839999999999999858e+00 1.809728093033994014e+02
3.967999999999999972e+00 1.931591334579655950e+02
4.032000000000000028e+00 1.994293245142498847e+02
4.064000000000000057e+00 2.026193563125554817e+02
4.080000000000000071e+00 2.042271953641997300e+02
4.088000000000000078e+00 2.050324008615361322e+02
4.092000000000000526e+00 2.054364196050117926e+02
4.094000000000000306e+00 2.056372295444990357e+02
4.094999999999999751e+00 2.057378959742652285e+02
4.096000000000000085e+00 2.058430910438315209e+02
6.144000000000000128e+00 4.616670429760191610e+02
7.168000000000000149e+00 6.279011592585543440e+02
7.679999999999999716e+00 7.207070473322846738e+02
7.935999999999999943e+00 7.693314156093530300e+02
8.064000000000000057e+00 7.942479560447180802e+02
8.128000000000000114e+00 8.069158651853606443e+02
8.160000000000000142e+00 8.133225832676247364e+02
8.176000000000000156e+00 8.165422742450733722e+02
8.184000000000001052e+00 8.181521915894494441e+02
8.188000000000000611e+00 8.189594507268419648e+02
8.189999999999999503e+00 8.193605935523920607e+02
8.191000000000000725e+00 8.195616503480707706e+02
8.192000000000000171e+00 8.193793319054552740e+02
1.228800000000000026e+01 1.841225522183464591e+03
1.433600000000000030e+01 2.504983164152522477e+03
1.446499999999999986e+01 2.549614333330775480e+03
1.446600000000000108e+01 2.549967142303773016e+03
1.446799999999999997e+01 2.550670715364110947e+03
1.447199999999999953e+01 2.552087734807203105e+03
1.448000000000000043e+01 2.554917992217762730e+03
1.449600000000000044e+01 2.560590696533286973e+03
1.452800000000000047e+01 2.571936162990991761e+03
1.459200000000000053e+01 2.594614358433630059e+03
1.472000000000000064e+01 2.640254757627185882e+03
1.497600000000000087e+01 2.732729098113492910e+03
1.535999999999999943e+01 2.875279315722272713e+03
1.548799999999999955e+01 2.922831936734704414e+03
1.587199999999999989e+01 3.070244192523393849e+03
1.612800000000000011e+01 3.169757125674899271e+03
1.625600000000000023e+01 3.220130481307309310e+03
1.632000000000000028e+01 3.245590766265021102e+03
1.635200000000000031e+01 3.258429176980100692e+03
1.636800000000000210e+01 3.264871840186007830e+03
1.637600000000000122e+01 3.268090854765302083e+03
1.637999999999999901e+01 3.269704339804367009e+03
1.638200000000000145e+01 3.270505873816620806e+03
1.638299999999999912e+01 3.270907575700246980e+03
1.638400000000000034e+01 3.271651121762551611e+03
1.651200000000000045e+01 3.321702859061866093e+03
1.855999999999999872e+01 4.195735351492776317e+03
2.265599999999999881e+01 6.250446717530050591e+03
2.457600000000000051e+01 7.355270344228313661e+03
2.867200000000000060e+01 1.000962713178102604e+04
3.071999999999999886e+01 1.148941146588582342e+04
3.084799999999999898e+01 1.158306680071758274e+04
3.174399999999999977e+01 1.226786998601295272e+04
3.225600000000000023e+01 1.266717209739552163e+04
3.251200000000000045e+01 1.286849579145197640e+04
3.264000000000000057e+01 1.296979321271263689e+04
3.270400000000000063e+01 1.302083727133801403e+04
3.273600000000000421e+01 1.304653628067304999e+04
3.275200000000000244e+01 1.305942308413138198e+04
3.275999999999999801e+01 1.306585978759910176e+04
3.276400000000000290e+01 1.306908518934552012e+04
3.276599999999999824e+01 1.307068749855942769e+04
3.276700000000000301e+01 1.307149056061088413e+04
3.276800000000000068e+01 1.307504830171156937e+04
4.723199999999999932e+01 2.714681119152023166e+04
4.723300000000000409e+01 2.715233671756036711e+04
4.723400000000000176e+01 2.715348796200194556e+04
4.723600000000000421e+01 2.715578406398003426e+04
4.724000000000000199e+01 2.716040760771397618e+04
4.724799999999999756e+01 2.716963928068932364e+04
4.726400000000000290e+01 2.718813098214639467e+04
4.729599999999999937e+01 2.722507403558430815e+04
4.735999999999999943e+01 2.729875485871191995e+04
4.748799999999999955e+01 2.744636811187446801e+04
4.774399999999999977e+01 2.774275099019088884e+04
4.825600000000000023e+01 2.834148528142817668e+04
4.915200000000000102e+01 2.940726900995462711e+04
4.928000000000000114e+01 2.955665594672285806e+04
5.132800000000000296e+01 3.206284783665005671e+04
5.542399999999999949e+01 3.738281160817643831e+04
5.734400000000000119e+01 4.002006423706134228e+04
6.143999999999999773e+01 4.593970378530409653e+04
6.348799999999999955e+01 4.905167473641751712e+04
6.361599999999999966e+01 4.924469232473358716e+04
6.361700000000000443e+01 4.924814962543252477e+04
6.361800000000000210e+01 4.924970019763961318e+04
6.362000000000000455e+01 4.925279276282487990e+04
6.362400000000000233e+01 4.925901983601964457e+04
6.363199999999999790e+01 4.927145279382683657e+04
