# Ps Pf beta Deff
0.25 0.5 1.0156932724123682 0.05341950690615403
0.25 1.0 1.0004414382771882 0.11823008438225377
0.25 1.5 0.9450985454429089 0.3564413329705527
0.25 2.0 0.9679541927018831 0.5517288500197907
0.25 2.5 1.0133159280571546 0.683325783464143
0.25 3.0 0.9872328648884635 1.2892968351111151
0.25 3.5 1.0316129558310763 1.3753235386842977
0.25 4.0 0.9552957763689907 3.4085136842955595
0.25 4.5 0.9762274056778028 3.777170199446131
0.25 5.0 0.9713247477026669 5.0280114301121195
0.25 5.5 1.0340338928179695 3.9688180782618563
0.25 6.0 0.9817337460130778 7.496399130796193
0.25 6.5 0.9525639887323541 11.04099181388382
0.25 7.0 0.9941872420339982 9.307034009836679
0.25 7.5 1.0144194503273034 9.610688880733582
0.25 8.0 1.0262386164360482 10.052657868096489
0.50 0.5 0.9866863143216676 0.11330197233407982
0.50 1.0 1.01426425575586 0.09478557002866063
0.50 1.5 1.0056912852356945 0.12118167182992112
0.50 2.0 1.0098826839536845 0.17307209620577246
0.50 2.5 1.0068870722790921 0.28640489401025476
0.50 3.0 0.989859157038341 0.5358258976108699
0.50 3.5 0.9967086478583815 0.7866024924892033
0.50 4.0 0.9666167597581986 1.5445366360372097
0.50 4.5 1.007476688635806 1.573728400168022
0.50 5.0 0.9968227672747676 2.359695269445318
0.50 5.5 1.0117292884782274 2.86180917470211
0.50 6.0 0.9725833436120626 4.9613650580845405
0.50 6.5 0.980144382793776 5.727854980217701
0.50 7.0 0.977077176482975 7.205512386932644
0.50 7.5 1.0057472650607773 7.364473620867816
0.50 8.0 0.9730289641205551 10.553762930420499
0.75 0.5 0.9747760624030918 0.22991657385184552
0.75 1.0 0.9726158240638758 0.1700912309585244
0.75 1.5 0.9856711324313701 0.1403799450779165
0.75 2.0 0.9703535022503651 0.17430030817569264
0.75 2.5 1.0191700518737126 0.1468897197937331
0.75 3.0 1.0036086786993885 0.21629604981596628
0.75 3.5 1.007201596883309 0.3257746962829384
0.75 4.0 1.0017107463047286 0.5044735452834851
0.75 4.5 1.009691336602619 0.7251553365987622
0.75 5.0 0.9773352641640353 1.3129280177244094
0.75 5.5 1.0045453651446954 1.5342511549587134
0.75 6.0 1.0047996042128464 2.0646859241803748
0.75 6.5 1.0127908376040167 2.5622367774789563
0.75 7.0 0.9994819521658763 3.718953833227586
0.75 7.5 0.979433829325103 5.414213801228276
0.75 8.0 0.9502327064836649 8.345210673763713
1.00 0.5 0.9967811562418271 0.31617394523307896
1.00 1.0 1.0301665271676037 0.14397410452655923
1.00 1.5 1.0474943690572034 0.10918678461423031
1.00 2.0 0.9884095736383204 0.16321337865609176
1.00 2.5 0.9807520023383183 0.17329410696336345
1.00 3.0 1.0063790362090053 0.15036090361316062
1.00 3.5 1.0031020824695676 0.18452529596788128
1.00 4.0 0.9893587961176772 0.2778729737714116
1.00 4.5 1.0116181086770049 0.3211643861804075
1.00 5.0 1.058329622581049 0.34067245788095807
1.00 5.5 1.005978329771698 0.7087587714671149
1.00 6.0 1.007790198670132 1.0345817642503143
1.00 6.5 0.9957899953787732 1.5245887834624978
1.00 7.0 1.020868713675395 1.7193911024904207
1.00 7.5 0.9933572311797125 2.7201783091823755
1.00 8.0 0.9781666886183106 3.9627934535426776
