# Ps Pf tauTTD tauBTD
0.25 0.5 0.16336623474633544 5.265234269718871
0.25 1.0 0.15345269548833854 6.194819803665115
0.25 1.5 0.14002975568455317 6.823988011123529
0.25 2.0 0.13059533314296926 7.68380461433346
0.25 2.5 0.1296821096688531 8.019072573723927
0.25 3.0 0.12815345853322757 8.598520262125868
0.25 3.5 0.13491572575246205 8.620507270198912
0.25 4.0 0.1328809945150721 9.31292458222431
0.25 4.5 0.13146460047873554 10.037784104398602
0.25 5.0 0.12338690481308837 9.34584857566135
0.25 5.5 0.11505169792134358 9.774430215231153
0.25 6.0 0.1217530402876256 9.662391775612589
0.25 6.5 0.12092088530944813 9.871299677532807
0.25 7.0 0.12163859594067268 9.527228400430491
0.25 7.5 0.13051915304215567 10.019195112077002
0.25 8.0 0.12332395660704569 9.576035454248148
0.50 0.5 0.2613624693432147 2.324107223121879
0.50 1.0 0.20169145417432705 2.84809445138056
0.50 1.5 0.15898368919603686 3.484441699238248
0.50 2.0 0.1503423571042881 4.136036402606588
0.50 2.5 0.14582591338474607 4.5553964135278955
0.50 3.0 0.1471708242199498 5.177299738057355
0.50 3.5 0.14608245679739276 5.3633137525397885
0.50 4.0 0.1288563457335592 6.196484160981983
0.50 4.5 0.12756836013510214 6.331741839723276
0.50 5.0 0.1331876122514318 7.1441100111699765
0.50 5.5 0.1346738511932493 7.08089887028216
0.50 6.0 0.12625009229262016 7.716116249397206
0.50 6.5 0.12257028827821338 7.586406517152439
0.50 7.0 0.12175201513820122 8.307820804928763
0.50 7.5 0.11862110221581829 7.864036813297147
0.50 8.0 0.11684964808820686 8.108327471104415
0.75 0.5 0.33758676428927803 1.442691128185586
0.75 1.0 0.26008438636343933 1.7219154961547476
0.75 1.5 0.21704980704609494 2.0512699933203455
0.75 2.0 0.17894469406735133 2.530893105523881
0.75 2.5 0.1647477800940934 2.741473902483301
0.75 3.0 0.15706590507365759 3.0607435604438966
0.75 3.5 0.15255615339881098 3.540445967148547
0.75 4.0 0.14480430311742243 4.190001663566094
0.75 4.5 0.1340397389948567 4.027285354178086
0.75 5.0 0.13293166934789755 4.948174947507952
0.75 5.5 0.1346728232344311 5.0136215403159525
0.75 6.0 0.12269323949529051 5.498685599956169
0.75 6.5 0.12601703494985222 5.615088796554661
0.75 7.0 0.13319767511544245 5.824400777142458
0.75 7.5 0.13221643752990542 5.851237721767168
0.75 8.0 0.1161534736397482 6.249718056945026
1.00 0.5 0.4743630307047987 1.08777279804708
1.00 1.0 0.32148589801730404 1.2271550787896268
1.00 1.5 0.2525946011448211 1.4181780287458885
1.00 2.0 0.21022796372291702 1.6486126067233178
1.00 2.5 0.20276393038380755 1.7669281237724415
1.00 3.0 0.1862346103357196 2.1202954781123178
1.00 3.5 0.16548424047186663 2.2485765827393522
1.00 4.0 0.1527509446019153 2.6061713229434496
1.00 4.5 0.14729278406975532 3.005418761731283
1.00 5.0 0.14518571955820053 3.132020037256833
1.00 5.5 0.14345212887677847 3.741539947364299
1.00 6.0 0.13090474287206252 3.8880992917509327
1.00 6.5 0.13573024176889736 4.331163525782787
1.00 7.0 0.12989391676290013 4.276765156779441
1.00 7.5 0.12715853205442962 4.716918880504543
