# Ps Pf tauTTD tauBTD
1.25 1.5 0.2878826642746537 1.0578343825427754
1.25 2.0 0.25204540520136554 1.1535121696600175
1.25 2.5 0.20799468021435033 1.321505200739628
1.25 3.0 0.19517666455306704 1.5169778948786214
1.25 3.5 0.18059826451139643 1.6470828396355235
1.25 4.0 0.16470718202379286 1.9323104347240678
1.25 4.5 0.15901684247059475 2.0956740664182645
1.25 5.0 0.15524631214304532 2.256823123698225
1.25 5.5 0.15333544677106561 2.9053256568033254
1.25 6.0 0.14939721576695572 2.945486908250724
1.25 6.5 0.13891148695845132 2.917034742496596
1.25 7.0 0.13818700435283082 3.0250545971728546
1.25 7.5 0.12993264208237748 3.405683308197623
1.25 8.0 0.12923011370362833 3.488855401299258
1.50 0.5 0.668312069796359 0.7471462116330725
1.50 1.0 0.43842391391559427 0.8013663425908407
1.50 1.5 0.33096532764853365 0.936128496316473
1.50 2.0 0.26895382360866255 0.965658766377404
1.50 2.5 0.22758401141360388 1.0147385714208244
1.50 3.0 0.20687506311410173 1.1830402888201335
1.50 3.5 0.19510204883709537 1.266879445719317
1.50 4.0 0.19136021324705305 1.4915647210369853
1.50 4.5 0.1761978872873135 1.5776490004751749
1.50 5.0 0.16131533133659237 1.7263916839131592
1.50 5.5 0.16818912326362434 1.816793146151017
1.50 6.0 0.1612232924724373 2.010490080329535
1.50 6.5 0.1470001715863224 2.1143925291866483
1.50 7.0 0.14338701851560548 2.4014283381405503
1.50 7.5 0.1467190312221889 2.7061888178691675
1.50 8.0 0.14640904676625613 2.7988661677495763
1.75 0.5 0.7645622824679741 0.6768417790681112
1.75 1.0 0.5002627513677963 0.7195010803059229
1.75 1.5 0.35311244900040156 0.7844306264218689
1.75 2.0 0.2882057288105174 0.8264154037071227
1.75 2.5 0.2588561447146338 0.8585844702602714
1.75 3.0 0.2266499009691528 0.9338139628231524
1.75 3.5 0.2181793905729592 1.022774251955097
1.75 4.0 0.19165394748126138 1.0764658979258925
1.75 4.5 0.18275668611765847 1.2887900357389084
1.75 5.0 0.17988367385809087 1.31937173167156
1.75 5.5 0.17388442724249806 1.4886976014584101
1.75 6.0 0.16682260520692005 1.5535702474454043
1.75 6.5 0.15286807827593832 1.7844730989683688
1.75 7.0 0.15107723449521737 1.7996069542215867
1.75 7.5 0.1461150956852402 1.9307818218331658
1.75 8.0 0.14271917247006674 2.208823644937673
2.00 0.5 0.7581256551285736 0.592625133499465
2.00 1.0 0.49944572744582 0.6602562004005943
2.00 1.5 0.3666786326469687 0.6553130177184023
2.00 2.0 0.32543100464886815 0.7422087179569395
2.00 2.5 0.2785663329839182 0.7966357457735563
2.00 3.0 0.24248699056971992 0.7979046539815602
2.00 3.5 0.22824712343850612 0.8513367359563065
2.00 4.0 0.20960102434173744 0.9156347291707116
2.00 4.5 0.18989774148330352 0.9762322600547801
2.00 5.0 0.1870334765765405 1.1330895222821966
2.00 5.5 0.17296244766260596 1.1687784469562708
2.00 6.0 0.1701286713629591 1.1954793589786186
2.00 6.5 0.17189881268924603 1.3490252729680239
2.00 7.0 0.15401329277169434 1.411915136850771
2.00 7.5 0.14478275333600454 1.5494998785428147
2.00 8.0 0.14317550993632017 1.7113313211038457
2.25 0.5 0.8554428811519141 0.5400455134772926
2.25 1.0 0.511623685509768 0.5754984571326047
2.25 1.5 0.4062271080808946 0.6062968279628667
2.25 2.0 0.31781843959634154 0.6948985261998256
2.25 2.5 0.2806350967995978 0.6787067568269002
2.25 3.0 0.2523515909645312 0.731329155595708
2.25 3.5 0.23808894867870645 0.7778176899014566
2.25 4.0 0.2227561306516509 0.8251142016066716
2.25 4.5 0.20413068498376735 0.8735761332722276
2.25 5.0 0.19057785363393445 0.8986093219965757
2.25 5.5 0.18478833512727588 0.9763779881752181
2.25 6.0 0.171508464769707 0.9792270603958341
2.25 6.5 0.18939792403117192 1.1505400146822589
2.25 7.0 0.16721024328764203 1.157236862345413
2.25 7.5 0.15970750566436243 1.276761955663978
2.25 8.0 0.15257464849926758 1.3140817472776742
2.50 0.5 0.883140296958651 0.4957177725467304
2.50 1.0 0.543925149389882 0.5326749717463852
2.50 1.5 0.4187111942355052 0.5670723266147846
2.50 2.0 0.32701222123011076 0.5881341123743713
2.50 2.5 0.3102590121834647 0.6504184192743762
2.50 3.0 0.2697836557127023 0.6264269271492237
2.50 3.5 0.24737285926197192 0.6933329242702405
2.50 4.0 0.22627243735836008 0.7056608567875833
2.50 4.5 0.20705597624655947 0.7694802902427839
2.50 5.0 0.2052463192241724 0.7661838279226566
2.50 5.5 0.18836493510502872 0.8051021004208778
2.50 6.0 0.18482671595460584 0.8601649058317979
2.50 6.5 0.17630492716916812 0.902638439520192
2.50 7.0 0.16540783761583372 0.9606424869708301
2.50 7.5 0.16649334758244314 1.0639774959774049
2.50 8.0 0.16207631937588646 1.0853190502782977
2.75 0.5 0.9218105818871338 0.4679441709937086
2.75 1.0 0.5581381055171424 0.5169861077680041
2.75 1.5 0.41404453528954177 0.5229731087481463
2.75 2.0 0.34609719166884845 0.5625328018152853
2.75 2.5 0.3128726656059153 0.5709098950847865
2.75 3.0 0.27239424525639155 0.573986104191215
2.75 3.5 0.2546381353987646 0.6533449942090831
2.75 4.0 0.23559536917202503 0.6556309755745537
2.75 4.5 0.21828688061588886 0.6645393663292235
2.75 5.0 0.20554755736059357 0.7183814378953123
2.75 5.5 0.20409199071372372 0.8011172861366402
