# G = 0.5
lp_w,Pf_Ps,alpha,beta,mean_vx
0.25,0.125,1.0985211674075575,1.0462174658432537,-0.0002771978915035081
0.25,0.25,1.2801253666594725,1.013774721901613,0.018849749022049805
0.25,0.375,1.4137283904734277,0.96765673526966,0.02595289978581088
0.25,0.5,1.5993682924850336,1.027627650312619,0.05931904399373277
0.25,0.625,1.6774514783381067,1.0414612122510742,0.08737395113865762
0.25,0.75,1.6940605029525013,1.0203400221702985,0.09252850870715
0.25,0.875,1.7680962893954402,1.0085545325383354,0.10151951022224553
0.25,1.0,1.83592813183389,0.9849026404609393,0.13417397578279877
0.25,1.125,1.8203857949459639,1.025399087156991,0.10971922936974422
0.25,1.25,1.8592400718743491,1.0505176650000678,0.1532283724497852
0.25,1.375,1.8694528208707162,1.0067914789100476,0.17174332293208583
0.25,1.5,1.883851304619868,1.029120558902281,0.19845792485727853
0.25,1.625,1.8740773190207676,0.9889614160234363,0.1952255456040995
0.25,1.75,1.8921557179742068,1.0665585569773097,0.2255846050133499
0.25,1.875,1.903244965698553,1.0384636987015974,0.25041973348708063
0.25,2.0,1.8941848633182612,1.0233666990115282,0.26550732954594614
0.5,0.125,1.0649105944356039,1.0617549803407118,0.013092555240024808
0.5,0.25,1.0904323673010865,1.0361415847914954,-0.01858234709133947
0.5,0.375,1.112912692205532,1.0272379681843846,0.028123059448002096
0.5,0.5,1.2011906785144373,1.0280401698481771,0.03691783164015673
0.5,0.625,1.311076230501716,0.9976067925719666,0.0446862834323033
0.5,0.75,1.47863084811158,0.99626897734566,0.053062495592898225
0.5,0.875,1.580097408992693,1.0149033387841468,0.08635604814314603
0.5,1.0,1.7184176662114619,1.0693216720016132,0.1383753100215323
0.5,1.125,1.7644757726080087,0.9885189856221278,0.1420569904881711
0.5,1.25,1.8020291953055534,1.0449966734842873,0.2134966528990225
0.5,1.375,1.8557752250623791,1.0342772162297529,0.2387913191244513
0.5,1.5,1.8806549201066132,1.041878297721,0.25770394495960175
0.5,1.625,1.895012789651545,1.0036826541771502,0.3308915233147864
0.5,1.75,1.9113072585480113,1.038604427996425,0.34380908155305107
0.5,1.875,1.9434680610494552,1.032336045130123,0.4158559359490084
0.5,2.0,1.936793588547028,0.951135035872501,0.4495689980115721
0.75,0.125,1.061274577539341,1.030715996625047,-0.05159446604774313
0.75,0.25,1.1096169589481832,0.998040428839578,-0.01004202978906138
0.75,0.375,1.2068052831040872,1.040401037518274,-0.042521174354073904
0.75,0.5,1.1170723915489098,0.9591043988314696,-0.048648525569644115
0.75,0.625,1.1093448545683053,1.0707030248821743,-0.00688293467389359
0.75,0.75,0.979605423263191,0.9735644712001555,-0.004068928531906966
0.75,0.875,1.1478748413351363,0.9653304160496028,0.03157289659732182
0.75,1.0,1.5007952192186391,1.0116501276482082,0.1254572904999396
0.75,1.125,1.6658068297857385,1.006462774840125,0.16580947795178283
0.75,1.25,1.7798887113558803,0.9489791771950254,0.21983788102049015
0.75,1.375,1.843228954505878,0.9894549783039168,0.2804888059640583
0.75,1.5,1.8904360975960248,0.9341539910349752,0.36108905767889427
0.75,1.625,1.9120404035056155,0.9819093890572165,0.4468522853703133
0.75,1.75,1.9471116657510879,1.015241469969237,0.5047622572094679
0.75,1.875,1.9504718174632296,1.0029161679094294,0.5661341663643294
0.75,2.0,1.9507785488134444,1.06220199529356,0.6609733340794012
1.0,0.125,1.2373319623385275,1.075370284903715,-0.10275529516270504
1.0,0.25,1.447158329739252,1.0160116210074388,-0.1204788437616793
1.0,0.375,1.6091327186067075,0.9917838614538176,-0.16290764825691875
1.0,0.5,1.688896312006226,1.017656603098745,-0.1411917498364018
1.0,0.625,1.6010670837572658,1.0161055223150945,-0.12808386037642538
1.0,0.75,1.4362950460991943,0.9835364817801874,-0.12162675910659412
1.0,0.875,1.0561106207764035,1.0019304039390484,-0.029646504267514886
1.0,1.0,1.1038931682126176,0.9473690063810309,0.03907422902616992
1.0,1.125,1.5597058503672778,0.9977724680456114,0.11034795991492101
1.0,1.25,1.7142032043086475,0.9425278531998508,0.22941670814952467
1.0,1.375,1.8650516155414076,1.051381282212638,0.3367730499062344
1.0,1.5,1.8902044404955214,0.9904885716685083,0.4151591488287352
1.0,1.625,1.9247830766927667,0.9455752378360747,0.5391011858533132
1.0,1.75,1.9484615594020882,1.008312882825699,0.6087223140735732
1.0,1.875,1.9682995428639638,0.9907858014818097,0.7363870766402337
1.0,2.0,1.9670102589492868,1.0464280379470674,0.8470968923702921
1.25,0.125,1.403417999851789,1.0260602499123728,-0.16706089517699224
1.25,0.25,1.738806359412814,1.0886557781834614,-0.2543440030373926
1.25,0.375,1.829456803706107,0.9813945067447344,-0.31801676947510615
1.25,0.5,1.8950190671596556,0.9575279400985338,-0.32285062176804424
1.25,0.625,1.8560908867529395,0.9981838273090509,-0.24800091969959664
1.25,0.75,1.8047701186824927,0.9702486799318564,-0.22779378603127784
1.25,0.875,1.5522145785036248,0.9624806551262147,-0.13078895127703313
1.25,1.0,0.9549532072599719,0.9252524925117007,-0.012545813432223314
1.25,1.125,1.3490939592704576,0.9533425392219388,0.0963955174049563
1.25,1.25,1.7042505288823249,0.9970510634866264,0.19217754530806083
1.25,1.375,1.8772597820046808,1.0512457861699802,0.3419806479300939
1.25,1.5,1.9109686344633325,1.0142404969310912,0.4456496907260336
1.25,1.625,1.9317566231027903,0.9540131301370361,0.5895917409250829
1.25,1.75,1.9652880350354394,0.9975854268741693,0.7305822092191717
1.25,1.875,1.9662739427117162,1.0172739384731977,0.8784523625226826
1.25,2.0,1.9650351059830944,0.9857034404605037,1.0012345237248885
1.5,0.125,1.5390854193251924,0.9948056446627717,-0.23921278959301728
1.5,0.25,1.8833255857876676,1.0327499969474392,-0.39314579901208363
1.5,0.375,1.9377150582757328,1.054990031919135,-0.48923093013587005
1.5,0.5,1.9946216202490843,1.0186370870498906,-0.49289103932170447
1.5,0.625,1.972937128731782,0.9177839698674888,-0.4314691894334555
1.5,0.75,1.930433965890827,0.9825415396643663,-0.3368521948640151
1.5,0.875,1.8246667461380455,1.0554508431557568,-0.24917156195397
1.5,1.0,1.453964529459027,0.9888995037497939,-0.09760835063051529
1.5,1.125,1.0805494716153163,0.9705700180654137,0.037442755491817525
1.5,1.25,1.6516385659523547,1.009594848078104,0.19034105148905392
1.5,1.375,1.830955009623678,1.0070787628819313,0.33163997407703216
1.5,1.5,1.9141914810260656,1.0300309110376513,0.5003590464772237
1.5,1.625,1.9366906483905157,1.0084344506277116,0.6680977908007125
1.5,1.75,1.9622258241707669,1.002512322178985,0.8370566150488999
1.5,1.875,1.9783048249720285,1.0261268305242903,1.0081596080447452
1.5,2.0,1.983284070005172,0.974934693808722,1.1531034187945828
1.75,0.125,1.6549309011364675,1.0678070559078785,-0.3453347166020664
1.75,0.25,1.9438633588102494,0.978500196836195,-0.5531802818515189
1.75,0.375,1.9894824210543347,0.9137553495357328,-0.6980723060636291
1.75,0.5,2.0092608806260865,1.028122678121526,-0.6632318348080276
1.75,0.625,1.9998265262212467,0.9361652998930726,-0.5893106544052049
1.75,0.75,1.9731088982355371,0.9281648351104582,-0.47789924135172795
1.75,0.875,1.9429708248541588,0.9829738570106747,-0.3405956238324694
1.75,1.0,1.7244727719804385,1.0031071101289255,-0.20293591449112994
1.75,1.125,0.9733961212488071,0.9675951367500094,-0.011989327968892452
1.75,1.25,1.5500729662129384,0.9645190731680908,0.16590890018787127
1.75,1.375,1.854738543733815,1.0250616200431386,0.3270978378817248
1.75,1.5,1.9065138928144532,1.0367037510886206,0.5478285606684951
1.75,1.625,1.942304038030979,0.9843908335447468,0.7069451970327377
1.75,1.75,1.9763287295998686,1.0252642216407746,0.9333933410009873
1.75,1.875,1.9733226176682228,1.0496447368603683,1.1268374878325704
1.75,2.0,1.9793393128237737,0.9216745494013326,1.30988738532494
2.0,0.125,1.7513219367764965,0.9829270243593436,-0.5102452614925631
2.0,0.25,1.9692622559577373,1.0249796719896418,-0.7558336888624794
2.0,0.375,2.014395265514531,1.0276588457681863,-0.8894173918932945
2.0,0.5,2.01967601353703,0.9469171980241257,-0.8463297359175603
2.0,0.625,2.0236899647946163,0.9450575534277397,-0.7262863263766289
2.0,0.75,2.014048761715285,0.9533696671359984,-0.6393209567368663
2.0,0.875,1.9962743716190159,0.9274889191266058,-0.4521266463779884
2.0,1.0,1.9011180342709644,0.9907660810411693,-0.2949791904332847
2.0,1.125,1.282995569016571,1.022897547346022,-0.07605625956991856
2.0,1.25,1.5175732388058076,1.025990737324609,0.1424291137872091
2.0,1.375,1.8260702866639948,1.0017965238707454,0.3173468721711722
2.0,1.5,1.916316276261107,0.9820175705187383,0.5804907636032245
2.0,1.625,1.9562743521539798,1.0522087282330446,0.7874248462229257
2.0,1.75,1.9678262606114738,1.0472919562130343,1.0313251822900673
2.0,1.875,1.9737952537977883,0.9647667583985754,1.2818041940504954
2.0,2.0,1.9793356867362677,1.0182680333906855,1.4795712402667285
2.25,0.125,1.842016380890153,1.0462381700769694,-0.6275105237387923
2.25,0.25,1.9962064065499365,0.9370388442583178,-0.965688593042396
2.25,0.375,2.024514751008889,0.9239238568596116,-1.0858039461071494
2.25,0.5,2.034024644324069,0.8933792768290352,-1.0381889978508176
2.25,0.625,2.0233988542665817,0.9781948946395026,-0.9100394941587745
2.25,0.75,2.0196344840806177,0.9270278676949071,-0.7603433559949565
2.25,0.875,2.0140946139776434,0.9639261397292223,-0.571881738596146
2.25,1.0,1.9450039032137323,0.8909489310251614,-0.36944115397013527
2.25,1.125,1.6079293581258274,1.0022151015347849,-0.13624538084736654
2.25,1.25,1.3575402946270014,0.9554460460544604,0.10146613406051891
2.25,1.375,1.8189518138069682,0.9171718875751286,0.32818889624594333
2.25,1.5,1.915961862028605,1.0064290151814013,0.6227147252122058
2.25,1.625,1.9507318457856067,0.9915974515173003,0.8585607453008358
2.25,1.75,1.980514942522924,0.9809601199840422,1.1500179699479807
2.25,1.875,1.974876928223162,0.978956392779854,1.402129397749358
2.25,2.0,1.9810453858004278,1.017897229157029,1.670385516269731
2.5,0.125,1.8671765506264655,0.9694200352936776,-0.7764179368871599
2.5,0.25,1.991739311651514,1.05660482469132,-1.1940860131960722
2.5,0.375,2.041581282776427,0.9352627372328044,-1.2873962488724338
2.5,0.5,2.01290555990703,0.9884015375131432,-1.1981745061975047
2.5,0.625,2.0247367051881766,0.9335502374659778,-1.0824217087899943
2.5,0.75,2.0266367333356814,0.9293112458210162,-0.9060569233234466
2.5,0.875,2.0238558700268503,0.9254394147759393,-0.6779784994580319
2.5,1.0,1.978318757238366,0.9815527914694038,-0.46058337387880494
2.5,1.125,1.7233284112598093,0.9075013498551012,-0.19684473076488967
2.5,1.25,1.2411864231324823,0.9665977741431604,0.09229674571015825
2.5,1.375,1.8333211278883232,1.057067162441749,0.3436621227866527
2.5,1.5,1.9358042831120361,1.0024378939973564,0.6755831178942332
2.5,1.625,1.938599622370083,0.9338532807637484,0.9349221021738081
2.5,1.75,1.96619447503659,0.9867750360257176,1.2048667632867438
2.5,1.875,1.988851329096415,1.034994552500748,1.4877989062972468
2.5,2.0,1.9876121014506867,0.97569152934703,1.7915921458758737
2.75,0.125,1.930580419963242,1.0239804732107696,-0.9296769480876356
2.75,0.25,2.025542343652645,0.9600368137410651,-1.4239864645057099
2.75,0.375,2.0308467211409917,0.9703725763164864,-1.4920749811998024
2.75,0.5,2.0287718657939506,0.8840468316402037,-1.4080815059438607
2.75,0.625,2.0184404110860834,0.9622982370030582,-1.2180549266876202
2.75,0.75,2.031400475240021,0.9444075798778789,-1.0305650124372847
2.75,0.875,2.0181856687450654,0.9009332669444573,-0.7755965458152934
2.75,1.0,1.984574802569299,0.9568899484946468,-0.5088017769507968
2.75,1.125,1.8498183116864542,1.0011137393630622,-0.27130935417356117
2.75,1.25,1.1003744103841475,0.9652685648624582,0.0551533484391378
2.75,1.375,1.8520712750437607,1.0262258093855852,0.3456415964381422
2.75,1.5,1.9155661221960485,0.9849895301073771,0.6576735362479815
2.75,1.625,1.9670009323755573,1.020276422538975,0.9578784095834635
2.75,1.75,1.975023533026872,0.9291108887075138,1.3068087714628087
2.75,1.875,1.9834640664485463,0.968588056944964,1.6172898973644523
2.75,2.0,1.9889427554491115,0.967654874710012,1.9689165918051637
3.0,0.125,1.916243889626101,1.0816591388563295,-1.153953225410456
3.0,0.25,2.019501708966811,0.9537389915608319,-1.6499706900785143
3.0,0.375,2.0260494289545385,0.8688099713286814,-1.689664958660364
3.0,0.5,2.0302955803822234,0.8657081712121849,-1.5825425086983955
3.0,0.625,2.0249076117663236,0.9452823947110532,-1.3859781215520386
3.0,0.75,2.0219955555215714,0.9155722453362626,-1.1744694200315104
3.0,0.875,2.016496490509786,0.9324088165521527,-0.921480377642192
3.0,1.0,2.015021853997871,0.9584062463591746,-0.6438323552660439
3.0,1.125,1.931009265027892,0.9182983125080771,-0.29149295608894243
3.0,1.25,1.0475971009590497,1.0337194830892762,0.024171516650917435
3.0,1.375,1.8201243072514985,0.9505557685491934,0.35008252317002675
3.0,1.5,1.9436524846547623,1.008251958124969,0.6678244076680725
3.0,1.625,1.957439466677498,0.9868457271253925,1.026797915185179
3.0,1.75,1.97312657707022,0.9870810785226393,1.358125810338869
3.0,1.875,1.9831035239482246,0.9921993259943588,1.7629896053255862
3.0,2.0,1.9908388062257767,0.947957365592132,2.087343193600574
3.25,0.125,1.9681700483610634,1.0065319600505245,-1.3339176057812083
3.25,0.25,2.0294300039365534,0.9351111759906429,-1.8726366779159962
3.25,0.375,2.0322755180542003,0.8291834549258212,-1.9119119307296675
3.25,0.5,2.027399930266672,0.9005076012550619,-1.7561645721740804
3.25,0.625,2.024247466136965,0.8847708600954618,-1.5418807914298513
3.25,0.75,2.0181550965172526,0.8571985874152763,-1.3043342299924299
3.25,0.875,2.0238716735491655,0.9857050217196146,-1.013680634000579
3.25,1.0,2.0218410948722707,0.9550477710455073,-0.7035746978057296
3.25,1.125,1.9838794876058352,0.9869836670610115,-0.3852112843754445
3.25,1.25,0.9517443566744183,0.9331839120377402,-0.01617712489572962
3.25,1.375,1.8033194227788423,0.9503324691491457,0.33758247794393303
3.25,1.5,1.9400477019105364,0.9426506196621546,0.680582993698933
3.25,1.625,1.9660033947193507,0.9658465707385336,1.030008716602025
3.25,1.75,1.9801853933695814,1.001970318229747,1.450091013968555
3.25,1.875,1.991367792716833,1.0106903029926597,1.8551295180506235
3.25,2.0,1.9884273581411918,0.9616766675884953,2.2694207223340226
3.5,0.125,1.953844400268765,1.0280802044300896,-1.5201460091826835
3.5,0.25,2.036678677878002,0.9481736284782036,-2.0952456357490634
3.5,0.375,2.025970925435391,0.8969780682177231,-2.135340235076146
3.5,0.5,2.0268285977559555,0.8334477505201737,-1.9609700410847235
3.5,0.625,2.0240552534297285,0.8332374144000265,-1.6977618971619632
3.5,0.75,2.021850433526547,0.9424306760464194,-1.4336566126349708
3.5,0.875,2.01593100235145,0.9250051352973725,-1.0719150240283484
3.5,1.0,2.009560558513336,0.9016096159712327,-0.7695224789662435
3.5,1.125,1.9838909696355138,0.966905589832611,-0.41433168661728853
3.5,1.25,1.0866817536959004,0.9414919522494924,-0.04705286460653628
3.5,1.375,1.8414948204759816,0.9834973891359893,0.34358213950471544
3.5,1.5,1.9408213417038669,0.9563443221736079,0.7293473935335656
3.5,1.625,1.9616584697707855,0.9346584643752399,1.1306030660741606
3.5,1.75,1.9806291333449446,0.9702237427868647,1.542184383827261
3.5,1.875,1.9803967104970082,0.9939081759708177,1.9628544038478324
3.5,2.0,1.9910352530940225,1.0263349356626146,2.4034143969251422
3.75,0.125,1.9975733358308354,0.9134474413605885,-1.779984589631256
3.75,0.25,2.030667432612586,0.8894313686321321,-2.301599456323598
3.75,0.375,2.0298065934796314,0.785538268788834,-2.3669229873837305
3.75,0.5,2.0272041462294697,0.9067622219578465,-2.1258237978161305
3.75,0.625,2.02433970685048,0.8753372547054689,-1.8733789680459259
3.75,0.75,2.017329131869457,0.8689549727891044,-1.5826054743212596
3.75,0.875,2.0252544445634952,0.8933279221197357,-1.1995382904937155
3.75,1.0,2.0300661269803615,0.8985789563119359,-0.8288018566670386
3.75,1.125,1.995679762749653,0.9533267427494836,-0.4550987195881706
3.75,1.25,1.2703856809759533,0.9267680388056957,-0.055809102318682746
3.75,1.375,1.8234890412948628,0.9249029633200225,0.35907233253875925
3.75,1.5,1.9424395952623665,0.9257700501369055,0.7628865050802455
3.75,1.625,1.9694000617253777,0.9715256866796989,1.1882289304271099
3.75,1.75,1.9838015944917897,0.9212622821796108,1.6010055616671588
3.75,1.875,1.9842848213456723,0.8847794381220464,2.0989551240584934
3.75,2.0,1.9888265606393152,0.9952310108937328,2.5121057618399854
4.0,0.125,1.9919840450994584,0.9589521135366889,-1.9732008380767339
4.0,0.25,2.0333101272567156,0.8837991781013741,-2.5559561316218824
4.0,0.375,2.0252746482462145,0.8375941265957142,-2.5270421164180537
4.0,0.5,2.02242310220054,0.8435521497676841,-2.328164535348001
4.0,0.625,2.021795747148412,0.785107823430785,-2.02510416539539
4.0,0.75,2.0165543218033224,0.9472662634877829,-1.6831190562110492
4.0,0.875,2.018812603095042,0.8377984405548923,-1.3105080297913971
4.0,1.0,2.013003510613783,0.9776980680923373,-0.9115343762175495
4.0,1.125,2.0092322756061813,1.000739100650003,-0.5304149262208868
4.0,1.25,1.4451236162782028,0.926638117641146,-0.13429086286067426
4.0,1.375,1.8223722167251108,0.9555662485801358,0.35232894185284935
4.0,1.5,1.9449123549316585,1.0120201429633497,0.7947802572135437
4.0,1.625,1.9690160668256598,0.9758956897370636,1.24112217447007
4.0,1.75,1.986907967735881,0.9842502758100324,1.7045495513902906
4.0,1.875,1.983637891256688,0.9966417217939654,2.207180106657277
4.0,2.0,1.9889815119085628,0.9306838492754548,2.673779496634176
