# Ps Pf mean_vx
0.25 0.5 1.1734645937983075
0.25 1.0 2.540244705697481
0.25 1.5 3.958538194256774
0.25 2.0 5.339693508887333
0.25 2.5 6.808017857397684
0.25 3.0 8.071638664745397
0.25 3.5 9.46759746672902
0.25 4.0 10.86784489348492
0.25 4.5 12.146841132194957
0.25 5.0 13.401800401324472
0.25 5.5 14.843054124233943
0.25 6.0 16.209492249590458
0.25 6.5 17.523600459845365
0.25 7.0 18.76852575313715
0.25 7.5 20.101816351244697
0.25 8.0 21.52608976735422
0.50 0.5 0.3187348125856933
0.50 1.0 0.9908504815681065
0.50 1.5 1.7266266117557476
0.50 2.0 2.50575173199523
0.50 2.5 3.248387533617213
0.50 3.0 4.064265101784518
0.50 3.5 4.756927630617387
0.50 4.0 5.497335900502081
0.50 4.5 6.141090221794049
0.50 5.0 6.843410838837128
0.50 5.5 7.4933102699316025
0.50 6.0 8.18364059925232
0.50 6.5 8.912320314597629
0.50 7.0 9.581120036768384
0.50 7.5 10.248937077548469
0.50 8.0 10.8367221753494
0.75 0.5 0.05260759332506932
0.75 1.0 0.40930510093074646
0.75 1.5 0.9226222674245167
0.75 2.0 1.482484656649576
0.75 2.5 2.060959619673121
0.75 3.0 2.572547135177365
0.75 3.5 3.0688113387469205
0.75 4.0 3.6041205920968555
0.75 4.5 4.114149618487701
0.75 5.0 4.559624491076479
0.75 5.5 5.0269906475018455
0.75 6.0 5.5347985705123675
0.75 6.5 5.9691598331396305
0.75 7.0 6.411850539983994
0.75 7.5 6.906230132275323
0.75 8.0 7.3306842183278285
1.00 0.5 -0.09173918177023505
1.00 1.0 0.09271063720713874
1.00 1.5 0.46334487783314493
1.00 2.0 0.8923344071764894
1.00 2.5 1.3158051718204786
1.00 3.0 1.7835215076684552
1.00 3.5 2.1767310411429857
1.00 4.0 2.5997436299613783
1.00 4.5 2.997337545164828
1.00 5.0 3.380728492742498
1.00 5.5 3.766047970546942
1.00 6.0 4.125325306298152
1.00 6.5 4.484045661872328
1.00 7.0 4.872287661024134
1.00 7.5 5.201677663183339
1.00 8.0 5.564528220289836
1.25 0.5 -0.20295496188035167
1.25 1.0 -0.0702182292278535
1.25 1.5 0.19890399000048703
1.25 2.0 0.541336149294671
1.25 2.5 0.8944465341169083
1.25 3.0 1.2255957349238082
1.25 3.5 1.606705926816939
1.25 4.0 1.9539545562123055
1.25 4.5 2.2880488128438374
1.25 5.0 2.6213340017361593
1.25 5.5 2.9242938245076364
1.25 6.0 3.2573277077275433
1.25 6.5 3.59354163549117
1.25 7.0 3.891209551762761
1.25 7.5 4.192768721929134
1.25 8.0 4.466162989690652
1.50 0.5 -0.24234700583083515
1.50 1.0 -0.21854034962688795
1.50 1.5 0.016219789427341768
1.50 2.0 0.26543274850159804
1.50 2.5 0.5639823601345153
1.50 3.0 0.8715131381773095
1.50 3.5 1.1700146010582086
1.50 4.0 1.4781228436677354
1.50 4.5 1.7726493009529285
1.50 5.0 2.070655622026166
1.50 5.5 2.3599273049604537
1.50 6.0 2.644838790011204
1.50 6.5 2.941539989717001
1.50 7.0 3.1753779914768763
1.50 7.5 3.4424196898421022
1.50 8.0 3.7070796154186727
1.75 0.5 -0.2762453000112517
1.75 1.0 -0.27727058378669783
1.75 1.5 -0.12038411794724836
1.75 2.0 0.08494159018814798
1.75 2.5 0.3441353232428221
1.75 3.0 0.5932630563303188
1.75 3.5 0.8452929103646785
1.75 4.0 1.1294363832840617
1.75 4.5 1.381495269895606
1.75 5.0 1.6429387525318864
1.75 5.5 1.9183498917010593
1.75 6.0 2.152673889715448
1.75 6.5 2.424084701250276
1.75 7.0 2.681565762659372
1.75 7.5 2.8979619469075986
1.75 8.0 3.1351125659898726
