lp_w,Pf_Ps,alpha,beta,trap_frac,mean_vx
0.25,0.125,1.1335727579097383,1.0106270100874353,0.11014444444444445,0.019569595666159782
0.25,0.25,1.2687217712069858,0.9893569129332989,0.10994444444444444,0.04395187382562743
0.25,0.375,1.45601220580076,1.0122972006505795,0.11212222222222222,0.04957967566685783
0.25,0.5,1.6267811116578534,1.0585804185968222,0.11115555555555555,0.06617572902320638
0.25,0.625,1.7008521300770134,1.034244528047097,0.10983333333333334,0.05744877440170053
0.25,0.75,1.7628603430642218,1.0411661581020786,0.1043,0.08932195841543031
0.25,0.875,1.8012722177817908,0.9952637330915883,0.10873333333333333,0.1022244779325248
0.25,1.0,1.8616772119310785,0.9622569457903254,0.1038,0.13297636104996918
0.25,1.125,1.838898023869488,0.9716299199458985,0.102,0.1249598124519208
0.25,1.25,1.8790491568206118,1.0467585373346964,0.1014,0.13268916147415466
0.25,1.375,1.8979042318379011,1.0117125428414069,0.0995,0.19088743972689287
0.25,1.5,1.9099122903476082,1.0329044976895791,0.09903333333333333,0.20687689357653966
0.25,1.625,1.9204655733211486,1.1018384259662364,0.09606666666666666,0.18917950422817617
0.25,1.75,1.924895419748818,1.0409305918031142,0.0922,0.24539581720099782
0.25,1.875,1.917345287617181,1.0232105392342123,0.09261111111111112,0.2540235636207675
0.25,2.0,1.9426515427022686,1.0038117209287485,0.0919,0.2739003803921769
0.5,0.125,1.0803647735816813,1.0647702176729472,0.19168888888888888,0.009815197591793024
0.5,0.25,1.0288812278259858,0.9529215114575552,0.18832222222222222,0.01569569303958419
0.5,0.375,1.1814296664627193,0.9791701063604416,0.1851,0.027723451910890467
0.5,0.5,1.3088609028843001,1.0169807287740986,0.17886666666666667,0.04001686261704282
0.5,0.625,1.4499412519086954,1.0088336091417343,0.17404444444444445,0.06364156006776198
0.5,0.75,1.5840069178287606,0.987244168308976,0.1691777777777778,0.09018094019065195
0.5,0.875,1.6850890878602203,1.0121225291574476,0.16034444444444446,0.135654753600781
0.5,1.0,1.7351131664384223,0.9644375739070327,0.1540111111111111,0.15903788558612605
0.5,1.125,1.810268643531125,1.0070542053257985,0.14856666666666668,0.19980822410291957
0.5,1.25,1.8649502673688922,0.9831435787693636,0.13928888888888888,0.24317987284488318
0.5,1.375,1.914625477892402,0.9613389226795853,0.1338,0.25796551904706005
0.5,1.5,1.9051809804280007,1.0495607664390392,0.12588888888888888,0.2818567081905638
0.5,1.625,1.9386018398710814,1.0199137924015427,0.12248888888888888,0.3554355398785818
0.5,1.75,1.9491987744355344,1.0366693170337342,0.11815555555555556,0.37736926901442835
0.5,1.875,1.9599418651204161,1.030011456301823,0.11064444444444445,0.45011645543631246
0.5,2.0,1.9599549261972025,0.9716921298993464,0.10557777777777778,0.5054842656381003
0.75,0.125,1.046112759018303,1.0399598769961889,0.24495555555555557,-0.020332317440424925
0.75,0.25,1.0338339380522128,1.0173354698318655,0.23956666666666668,-0.016849432772319574
0.75,0.375,1.0833602489675471,1.0581824860441527,0.2326777777777778,-0.021414452654134167
0.75,0.5,0.986420539761149,0.9868525725194838,0.22484444444444446,-0.009433999068100227
0.75,0.625,0.9534098932876842,0.9246290301436285,0.20885555555555554,0.018143824331914665
0.75,0.75,1.1891160395157023,0.9840444416248061,0.1983,0.03625082967737668
0.75,0.875,1.470666681029291,0.9783596868632987,0.18552222222222223,0.10588881053222195
0.75,1.0,1.6682126179826078,1.044053260439994,0.17554444444444445,0.126074987106754
0.75,1.125,1.793543037549767,0.9981691549034913,0.16571111111111111,0.19538531114221608
0.75,1.25,1.8674054617987597,0.9720683500650562,0.15296666666666667,0.2698726837767604
0.75,1.375,1.9064543643127663,0.9982427863842528,0.14262222222222223,0.32627169030263836
0.75,1.5,1.9293673193235426,0.9720008523846959,0.13646666666666665,0.37776133114872024
0.75,1.625,1.965366914595589,1.0002982072428837,0.12588888888888888,0.4764147695967905
0.75,1.75,1.9549085739481469,0.9812636744651606,0.11701111111111111,0.5563709068854236
0.75,1.875,1.9760046350580769,0.9995806998009119,0.11454444444444445,0.5874307138600096
0.75,2.0,1.9794371042427952,0.9708246750207504,0.10623333333333333,0.6893770630717744
1.0,0.125,1.106275344047065,1.0284092291976052,0.2794888888888889,-0.049626056126844904
1.0,0.25,1.2976588318927216,1.0168081813858132,0.27315555555555554,-0.09458444262234819
1.0,0.375,1.3931390387908618,0.9813352254279317,0.2600222222222222,-0.1007118315747789
1.0,0.5,1.4276731894414851,1.0091637390034776,0.2439111111111111,-0.09154635288575635
1.0,0.625,1.321607535052373,1.007394494735091,0.22916666666666666,-0.09577530011890788
1.0,0.75,1.122214389695116,1.0309602199292476,0.2106222222222222,-0.035532563080073146
1.0,0.875,1.0665286591581922,0.9762560227309516,0.1954,0.02400533325477543
1.0,1.0,1.5022163745489345,1.028133886161139,0.18026666666666666,0.1143564741500824
1.0,1.125,1.76378052014017,1.017216731664314,0.1650888888888889,0.22166081395605514
1.0,1.25,1.8621791883665497,0.988615700614085,0.15431111111111112,0.26916242936735274
1.0,1.375,1.9045758554340415,0.9656447736197068,0.1447,0.3482997362058955
1.0,1.5,1.9297411685252637,0.9421698428211817,0.13555555555555557,0.4406927541605543
1.0,1.625,1.9422852002202136,0.9059667058251647,0.12597777777777777,0.5779246145777366
1.0,1.75,1.9758248870190076,0.941289954470717,0.11642222222222222,0.6875808854791658
1.0,1.875,1.972168785308557,1.0294507730833549,0.1106111111111111,0.7782497187684394
1.0,2.0,1.985019397974434,0.9644172061989607,0.10413333333333333,0.8921976415127779
1.25,0.125,1.3051223646538264,1.0731826472711405,0.30385555555555555,-0.11567371656303863
1.25,0.25,1.5800949012880472,1.0189418054271184,0.29386666666666666,-0.18031185676056752
1.25,0.375,1.7111729293590845,1.0276316534959815,0.27795555555555557,-0.22888807805526215
1.25,0.5,1.7665764451010841,0.9832948203103278,0.25885555555555556,-0.22694377483711128
1.25,0.625,1.7620805371988046,1.0134388657219555,0.23762222222222223,-0.21813406886012607
1.25,0.75,1.6058990092673087,0.9607718665456842,0.21903333333333333,-0.13300478075850752
1.25,0.875,1.0927274650521672,0.9879352817852041,0.197,-0.024249391465183477
1.25,1.0,1.2488936078168908,1.0116777313656002,0.1805,0.058959511630492005
1.25,1.125,1.7122332740059234,0.9534323204557287,0.16753333333333334,0.1924658368264048
1.25,1.25,1.871883764267543,0.9855888950484059,0.15476666666666666,0.28123277235735084
1.25,1.375,1.913230747646634,1.0106678317345583,0.1428111111111111,0.4200363523218265
1.25,1.5,1.959657496252731,1.0126124709306359,0.13247777777777778,0.5535916677359666
1.25,1.625,1.9667544606767045,0.9736894833569298,0.12461111111111112,0.6526036838685679
1.25,1.75,1.9739805704149866,0.9484114504498113,0.11486666666666667,0.8370079212370146
1.25,1.875,1.9907192447001172,0.9908445943683646,0.11035555555555555,0.9635188460950552
1.25,2.0,1.979583104235165,0.9883248730496748,0.10187777777777778,1.1121111804715413
1.5,0.125,1.389778608134719,1.012533483063811,0.3214888888888889,-0.200551979031633
1.5,0.25,1.7519113849487924,1.100497433881391,0.3111,-0.3064728913334557
1.5,0.375,1.8669692681003787,0.9951553457646924,0.2894,-0.3936691402507784
1.5,0.5,1.9199876469240913,0.9628433836005553,0.2642111111111111,-0.40456626036858084
1.5,0.625,1.9332133031683951,0.9949338644032091,0.23933333333333334,-0.32415231093350966
1.5,0.75,1.8581913179209426,0.9652617795666102,0.22044444444444444,-0.23938755708822804
1.5,0.875,1.5790691104208612,0.9289545364175515,0.2018222222222222,-0.1245310214989298
1.5,1.0,0.9582798613143173,0.9517588823671201,0.18105555555555555,0.007318917279571671
1.5,1.125,1.642941133112277,0.9550222256706218,0.16847777777777778,0.15806647735395798
1.5,1.25,1.8910759059567543,1.0766833906246442,0.15326666666666666,0.316661538786241
1.5,1.375,1.924455222750901,0.946744874298218,0.14122222222222222,0.48106963521385665
1.5,1.5,1.9514571990482303,0.9943807901366415,0.1351,0.611087554925464
1.5,1.625,1.9798083279080818,0.9421438304252985,0.126,0.7740770619401148
1.5,1.75,1.984277635232649,1.0239271773763112,0.11711111111111111,0.9388334613998033
1.5,1.875,1.9857792880618423,0.9470994553268721,0.1102111111111111,1.1138321552227084
1.5,2.0,1.9921963151311644,0.953278201386072,0.10345555555555555,1.2894588149120731
1.75,0.125,1.5202312770097197,1.0162786033213018,0.33913333333333334,-0.2814172652543331
1.75,0.25,1.835639963382073,1.006072557799837,0.32135555555555556,-0.44791739955634025
1.75,0.375,1.97451710562459,0.992626250349081,0.2980333333333333,-0.5361526969506787
1.75,0.5,1.9931823514584293,0.9660891931284664,0.2685777777777778,-0.5060054632246781
1.75,0.625,1.9915369447108224,0.9565370389492541,0.2444,-0.4689549574674681
1.75,0.75,1.9789321927402717,0.9373586826518837,0.2194,-0.3542246997202661
1.75,0.875,1.8215154080997669,0.9073642433938874,0.20073333333333335,-0.21710972678789317
1.75,1.0,1.1426727256791673,0.9869961133365128,0.18406666666666666,-0.039978089685929495
1.75,1.125,1.5632312058060054,0.927774737446952,0.16774444444444445,0.12292205484770093
1.75,1.25,1.872909676077738,0.9446480339762496,0.15404444444444446,0.2941841342751145
1.75,1.375,1.9345747297762035,1.0103619716604029,0.14323333333333332,0.49080735894285166
1.75,1.5,1.9655574398821645,0.9887306159290197,0.13104444444444444,0.6821469279364042
1.75,1.625,1.978173608861602,0.9744447222149488,0.12144444444444444,0.890125691874029
1.75,1.75,1.9778163271057516,0.9644955122132836,0.11505555555555555,1.0682714514927756
1.75,1.875,1.9892170450946127,0.9825783405889076,0.10682222222222222,1.263437498767837
1.75,2.0,1.991631002744889,0.9860714969353772,0.10178888888888889,1.4612036755645192
2.0,0.125,1.6813057138866354,1.047966819867886,0.3508222222222222,-0.37271325842310293
2.0,0.25,1.9278242481226344,0.9886254174432246,0.33393333333333336,-0.6279675972461176
2.0,0.375,1.9816919011406586,0.951386772535703,0.30248888888888886,-0.7367578796060911
2.0,0.5,2.0204967290874145,0.8808943088260427,0.2735222222222222,-0.7092984593537627
2.0,0.625,2.0090985530930294,0.8933817125553842,0.2436222222222222,-0.5868038896570685
2.0,0.75,1.9924885988554921,0.8934523817775989,0.22044444444444444,-0.4613868550637703
2.0,0.875,1.9300249717957652,0.9598239534350498,0.19853333333333334,-0.28358805429607303
2.0,1.0,1.5219355442751794,0.9585913858562717,0.18055555555555555,-0.09328820333898805
2.0,1.125,1.4536958476619513,0.9595881646546668,0.16654444444444444,0.10831552160299561
2.0,1.25,1.8696033236310199,1.0540079479027205,0.15365555555555555,0.31842537945718563
2.0,1.375,1.9432477345366677,0.9996010421265941,0.1394,0.5256477827734336
2.0,1.5,1.962489353136772,0.9604493821526949,0.13054444444444444,0.7397761340570885
2.0,1.625,1.9802331836869451,0.9829896235271326,0.12315555555555556,0.9716162378423857
2.0,1.75,1.9843016879339817,0.9640053170174542,0.11481111111111111,1.192371525459751
2.0,1.875,1.9909444523750026,0.994700895394941,0.10648888888888888,1.4321618872811883
2.0,2.0,1.9933489656242855,0.9857257917361422,0.10083333333333333,1.6724878734796922
2.25,0.125,1.7572460301770554,1.0529658666516832,0.3636111111111111,-0.496126968273246
2.25,0.25,1.9544446580077446,0.9687758200016624,0.34295555555555557,-0.7961250401883454
2.25,0.375,2.0170056432263945,0.9410936546393073,0.30573333333333336,-0.8993186660138242
2.25,0.5,2.0255313179668724,0.8962869657721307,0.2725888888888889,-0.8601737971493824
