# Ps Pf alpha
1.75 4.5 1.999990191633997
1.75 5.0 1.9999894736149464
1.75 5.5 1.9999906189084942
1.75 6.0 1.9999827740351992
1.75 6.5 1.9999965118543117
1.75 7.0 1.9999897625811585
1.75 7.5 1.9999976788969085
1.75 8.0 1.9999887063425732
2.00 0.5 1.9983754857434364
2.00 1.0 1.9995304739572588
2.00 1.5 1.999400468670347
2.00 2.0 1.989254476139374
2.00 2.5 1.9990104245637672
2.00 3.0 1.999832619144342
2.00 3.5 1.9998873619489608
2.00 4.0 1.9999473808509243
2.00 4.5 1.9999748894550253
2.00 5.0 1.9999993251907133
2.00 5.5 1.999987462827695
2.00 6.0 1.999997306254046
2.00 6.5 1.9999888853004437
2.00 7.0 1.9999890885092968
2.00 7.5 1.999994454418577
2.00 8.0 1.9999980250794824
2.25 0.5 1.9986051419789501
2.25 1.0 1.9996212717980422
2.25 1.5 1.9997040697289221
2.25 2.0 1.9991383335174735
2.25 2.5 1.9658046389182313
2.25 3.0 1.9995974305657993
2.25 3.5 1.9998535385129204
2.25 4.0 1.9999549337591094
2.25 4.5 1.9999773225093918
2.25 5.0 1.9999741541250629
2.25 5.5 1.9999846510335946
2.25 6.0 1.999994482244442
2.25 6.5 1.9999924962688773
2.25 7.0 1.9999903315644652
2.25 7.5 1.9999860327682712
2.25 8.0 1.9999950561200777
2.50 0.5 1.9987005204956698
2.50 1.0 1.9997414530761437
2.50 1.5 1.9998356590766546
2.50 2.0 1.9996548293987968
2.50 2.5 1.9978167279798347
2.50 3.0 1.9979216303213037
2.50 3.5 1.9997668024452295
2.50 4.0 1.999919972278067
2.50 4.5 1.9999507051966183
2.50 5.0 1.9999739601672568
2.50 5.5 1.9999885753588493
2.50 6.0 1.9999776013969226
2.50 6.5 1.999983451050975
2.50 7.0 1.9999966573206414
2.50 7.5 1.999992798322276
2.50 8.0 1.9999926844605926
2.75 0.5 1.9988946650923118
2.75 1.0 1.9997638604038663
2.75 1.5 1.999864593123964
2.75 2.0 1.9998698929338743
2.75 2.5 1.9995378900631604
2.75 3.0 1.9700417576817564
2.75 3.5 1.9994827206301504
2.75 4.0 1.9998755594302158
2.75 4.5 1.9999440636150432
2.75 5.0 1.9999679400116297
2.75 5.5 1.9999910523831623
2.75 6.0 1.9999797026969814
2.75 6.5 1.9999920251539167
2.75 7.0 1.9999977295397957
2.75 7.5 1.9999978429181489
2.75 8.0 1.9999921014777824
3.00 0.5 1.998940918181399
3.00 1.0 1.999813669581136
3.00 1.5 1.9999403752270373
3.00 2.0 1.9998909478227944
3.00 2.5 1.9997898969175787
3.00 3.0 1.9992440407486327
3.00 3.5 1.9936900621544804
3.00 4.0 1.9997422185993396
3.00 4.5 1.9999025465974811
3.00 5.0 1.9999539120465122
3.00 5.5 1.9999755266877017
3.00 6.0 1.9999782840482159
3.00 6.5 1.9999923989132173
3.00 7.0 1.9999842773143206
3.00 7.5 1.9999957602505183
3.00 8.0 2.000000777557721
3.25 0.5 1.9990029640266587
3.25 1.0 1.9998515344724277
3.25 1.5 1.9999141500770488
3.25 2.0 1.9999493985759769
3.25 2.5 1.9999044089432774
3.25 3.0 1.9997670794967115
3.25 3.5 1.996699315454978
3.25 4.0 1.9990538514533278
3.25 4.5 1.999832844723705
3.25 5.0 1.9999309481418417
3.25 5.5 1.9999793285969834
3.25 6.0 1.9999717149719995
3.25 6.5 1.99998390429649
3.25 7.0 1.9999912160592355
3.25 7.5 1.9999978663194318
3.25 8.0 1.9999957487441637
3.50 0.5 1.9990689409762572
3.50 1.0 1.9998715284335007
3.50 1.5 1.9999494324716518
3.50 2.0 1.9999646231811388
3.50 2.5 1.9999409375770307
3.50 3.0 1.9999018613588453
3.50 3.5 1.9996211713564132
3.50 4.0 1.796052826765139
3.50 4.5 1.9996272680056766
3.50 5.0 1.9999071589007635
3.50 5.5 1.999942747288785
3.50 6.0 1.999977774062673
3.50 6.5 1.9999962762568793
3.50 7.0 1.999969672574392
3.50 7.5 1.999994808200256
3.50 8.0 1.99999948621022
3.75 0.5 1.9991606157398316
3.75 1.0 1.9998629965015986
3.75 1.5 1.9999573748073665
3.75 2.0 1.9999582660995838
3.75 2.5 1.9999554496959513
3.75 3.0 1.9999369218474397
3.75 3.5 1.9998739862876262
3.75 4.0 1.9988783260849874
3.75 4.5 1.998111557329287
3.75 5.0 1.9998096930188327
3.75 5.5 1.9999397572147912
3.75 6.0 1.9999606250768358
3.75 6.5 1.9999686553045688
3.75 7.0 1.9999829291198972
3.75 7.5 1.999987007633292
3.75 8.0 1.9999895781972572
4.00 0.5 1.999118811556306
4.00 1.0 1.9998515460832145
4.00 1.5 1.999936846136299
4.00 2.0 1.999977881073548
4.00 2.5 1.9999840385966505
4.00 3.0 1.9999647310095963
4.00 3.5 1.999910330789536
4.00 4.0 1.9997370740380829
4.00 4.5 1.9894584827435797
4.00 5.0 1.99952744281931
4.00 5.5 1.9999058712608953
4.00 6.0 1.9999710175339127
4.00 6.5 1.9999746418058866
4.00 7.0 1.999965548973911
4.00 7.5 1.9999888178497247
4.00 8.0 1.9999886195626477
