# G = 0.0
# D = 0.01
lp_w,Pf_Ps,alpha,beta,D_eff,mean_vx
0.25,0.125,1.0995578577197733,1.0222060870570313,0.03613750436235702,0.01077371349823801
0.25,0.25,1.3104906161914365,1.0316974100595453,0.03569711785760116,0.019118402656441234
0.25,0.375,1.462446866500562,1.0227869669697676,0.037759846056895384,0.04138162147965678
0.25,0.5,1.5953386551946915,1.0526038709700476,0.034091145680895565,0.056096902119758305
0.25,0.625,1.6717279853721647,1.0192250858594811,0.041288126566397784,0.06476989305811852
0.25,0.75,1.7554966419752136,0.977678192104094,0.04669817636941669,0.07974777701393383
0.25,0.875,1.792120191830468,1.0189166940946033,0.04148247823414351,0.0915070558674973
0.25,1.0,1.800085571780084,1.0589580487242827,0.0356966910606587,0.1022922514392522
0.25,1.125,1.8118034304937647,0.9845214959265608,0.047525930783984,0.11208710093289909
0.25,1.25,1.861073305068693,1.048033546007224,0.042212514790767194,0.1574701203362434
0.25,1.375,1.8757362468824081,1.007719706485166,0.04622512811175626,0.19197548433024988
0.25,1.5,1.9033275949546966,1.059348736496927,0.03810849099223813,0.19406582855596066
0.25,1.625,1.9019268835594716,1.0006721249673323,0.05024714766178171,0.21183495676424746
0.25,1.75,1.9033767757923459,1.0389145009049212,0.047235459238674525,0.2256934349702213
0.25,1.875,1.9082102054410386,1.019872132433741,0.053390174750926986,0.24903162744758747
0.25,2.0,1.914382492625756,1.03002775152746,0.052283426978804066,0.27929306686506616
0.5,0.125,1.0759652834932807,1.0618147788041026,0.10015802137649495,-0.013585986596131557
0.5,0.25,1.062848291412202,0.9779353719628944,0.13695588335576042,0.05216901045291493
0.5,0.375,1.1914452094009944,1.0134249136323559,0.11227331891974292,0.045637525984907945
0.5,0.5,1.3131616525979881,1.0298965759445673,0.11095994977628337,0.03738248084442776
0.5,0.625,1.414845887562418,0.9818305654803744,0.1250174335356175,0.07450153654829028
0.5,0.75,1.5485932172078691,0.9670871197724766,0.12124199061754098,0.08079840643085508
0.5,0.875,1.694783515133479,0.9944279946113199,0.10587139371922405,0.14181552252048282
0.5,1.0,1.7784554426738954,1.0065520756292035,0.09988265559625462,0.147975887454255
0.5,1.125,1.8033916758318862,1.0149978975499034,0.09584305127519333,0.17600839881797137
0.5,1.25,1.8392223742586857,0.9996798301767736,0.09805738554735415,0.21656342348420893
0.5,1.375,1.8847224686500053,0.9847539269239295,0.10578430860208828,0.28770941515913007
0.5,1.5,1.895791290547938,0.9962718327318336,0.10677133376315374,0.34019491258357765
0.5,1.625,1.9251961644271105,1.042188952480649,0.08998663049311785,0.33005262650978934
0.5,1.75,1.9406109791340047,1.0019134951840767,0.09640936469670928,0.3823269461283371
0.5,1.875,1.9583169060936922,1.0180501209213648,0.09639638089113875,0.43949185336105023
0.5,2.0,1.9414947504893263,0.9686776482888746,0.12510676555845646,0.48857971555980045
0.75,0.125,1.0562678036758453,1.051293022197927,0.22279576659112352,-0.024401172349934254
0.75,0.25,1.047762909771421,1.0234370694498447,0.2312614258869602,-0.009812712611380005
0.75,0.375,1.034939890400759,1.0205958668222288,0.218202064054781,-0.009421542870013965
0.75,0.5,0.9969953023720252,0.997579076673403,0.20887160465533425,0.015607868388204448
0.75,0.625,1.0679260487853621,1.057704551540167,0.15836748625454453,0.007583237190410324
0.75,0.75,1.1965681370873087,1.0226381702208085,0.16552509180516897,0.0770995100729953
0.75,0.875,1.457136577047085,1.0423436640019201,0.13055399039645607,0.0747444235714703
0.75,1.0,1.6473218430268353,0.9049358875935073,0.21409061386325806,0.12423601069512384
0.75,1.125,1.7881815483015568,1.0417873918411218,0.12068949312347046,0.20006242292589432
0.75,1.25,1.8633429840548579,1.0229738189161512,0.12972781744000905,0.2686427301362908
0.75,1.375,1.9021825822821032,1.0297523158760933,0.11713369731067934,0.34474239511836535
0.75,1.5,1.912617648605186,1.0208679200271709,0.13037587279991433,0.37841672474943583
0.75,1.625,1.9551057850905793,1.0068417445988407,0.1259871801834639,0.46416287324766314
0.75,1.75,1.9520382065313222,0.9550884496131695,0.1560454592748997,0.5622719446339113
0.75,1.875,1.952618814782394,1.0173073031958062,0.12196142086171366,0.5991728520189826
0.75,2.0,1.9697174187906983,0.9580117595607395,0.14659314460943706,0.6978301487683264
1.0,0.125,1.0988460908766078,1.009984955937234,0.44225383817634006,-0.05392457238404144
1.0,0.25,1.2997925093410183,1.024980595744009,0.39688974409819716,-0.08246419043414412
1.0,0.375,1.4168158455450632,1.0465842088810167,0.2942982421702136,-0.09001163771225539
1.0,0.5,1.4360547542972204,0.9911787227152846,0.3203798793850341,-0.08234520559096298
1.0,0.625,1.3601378197401475,0.9844301399538986,0.2529367560183933,-0.07946250612807226
1.0,0.75,1.0909130021367133,1.031735547848156,0.19609733040296803,-0.017428128479075097
1.0,0.875,1.0907182254176526,1.0092077347266628,0.1950719062797723,0.01798708214148759
1.0,1.0,1.5212125115125583,0.985303611020124,0.18935959185633597,0.11154843295122598
1.0,1.125,1.7169095811961634,0.9900943549597989,0.1774613309934558,0.1593335323259529
1.0,1.25,1.8247918447064626,0.9870692358020192,0.17564858533888017,0.31367055602728056
1.0,1.375,1.8887320834796182,0.9894045053192687,0.1677413498918233,0.3769034741374115
1.0,1.5,1.9362020465374201,0.9706439551210718,0.16678928159436077,0.4717333332821331
1.0,1.625,1.9562202388420278,0.996716494054283,0.15885610597936559,0.6167791258003994
1.0,1.75,1.9598820742886591,0.96097317684644,0.17343829361272944,0.6843553955056125
1.0,1.875,1.978275414744002,0.9852272066473869,0.15608646300396578,0.7898703814349165
1.0,2.0,1.985486039076988,1.0006834788307093,0.1394681234683361,0.8983350908381696
1.25,0.125,1.269618003106578,1.0205734729199305,0.6368656557609704,-0.12233800989700117
1.25,0.25,1.5382445577177022,0.974490340798518,0.6452914048396581,-0.20111728215511554
1.25,0.375,1.692940465651118,0.9669014919259871,0.530555935793341,-0.21911212005590164
1.25,0.5,1.7993186686963554,0.9769909577943242,0.3952393396766011,-0.24443961137302314
1.25,0.625,1.7702071244652147,1.0058394535121746,0.271755760010005,-0.2058734558325298
1.25,0.75,1.5597835887316498,0.9825561040037238,0.2726040304658557,-0.10146087064293463
1.25,0.875,1.1883642923561,1.0738817269241279,0.16323310385776746,-0.038820658420425876
1.25,1.0,1.2708403091724554,1.0368460231002015,0.17038174752093738,0.0480115507681694
1.25,1.125,1.7022028006477465,1.000252213366126,0.17734369380620899,0.18732115998440882
1.25,1.25,1.8396485366901525,0.9694557661939244,0.20658428824719782,0.3138288060301435
