# Ps Pf alpha
1.00 6.0 1.9995419573951256
1.00 6.5 1.9995998477295687
1.00 7.0 1.999580808206307
1.00 7.5 1.9995441636391982
1.00 8.0 1.9996743915839135
1.25 0.5 1.977691622757895
1.25 1.0 1.9939877547997924
1.25 1.5 1.9970231223474302
1.25 2.0 1.998205816312687
1.25 2.5 1.998726162349636
1.25 3.0 1.9989864902720118
1.25 3.5 1.9990792106245259
1.25 4.0 1.9993317475279435
1.25 4.5 0.9738048219866285
1.25 5.0 0.9686264374105977
1.25 5.5 1.0299171574922272
1.25 6.0 1.0122166724252706
1.25 6.5 1.0027489564440835
1.25 7.0 1.0320345394507207
1.25 7.5 1.0041810112008163
1.25 8.0 0.9807517718022343
1.50 0.5 1.9619223079560588
1.50 1.0 1.9900674614904326
1.50 1.5 1.9954609660126288
1.50 2.0 1.9972010122222044
1.50 2.5 1.9979928948643848
1.50 3.0 1.9985848715407708
1.50 3.5 1.9989080416318374
1.50 4.0 1.9990244163763249
1.50 4.5 1.9991344449749164
1.50 5.0 1.9993021118598953
1.50 5.5 1.9993305404958368
1.50 6.0 1.9993126314564376
1.50 6.5 1.999416247286734
1.50 7.0 1.9995194338351738
1.50 7.5 1.9994939871977107
1.50 8.0 1.9994293870954194
1.75 0.5 1.9437234772570349
1.75 1.0 1.9841100449785354
1.75 1.5 1.9930066040898435
1.75 2.0 1.995731957707651
1.75 2.5 1.9971365258342042
1.75 3.0 1.9980525857077844
1.75 3.5 1.9983082688353575
1.75 4.0 1.9986415690704007
1.75 4.5 1.9988472658874066
1.75 5.0 1.999040014731067
1.75 5.5 1.9990993612034886
1.75 6.0 1.9991514381450166
1.75 6.5 1.9991956094930905
1.75 7.0 1.9993447294384046
1.75 7.5 1.9993486806496739
1.75 8.0 1.9993348760714729
2.00 0.5 1.9185685390023
2.00 1.0 1.977350276502119
2.00 1.5 1.9897077359535025
2.00 2.0 1.9939944617187857
2.00 2.5 1.9957995169476888
2.00 3.0 1.9969705208631312
2.00 3.5 1.997643796375045
2.00 4.0 1.9981536301214666
2.00 4.5 1.9984354304186576
2.00 5.0 1.9986079674692907
2.00 5.5 1.9987861239962834
2.00 6.0 1.9989858538150396
2.00 6.5 1.9990495687183696
2.00 7.0 1.9990859195474033
2.00 7.5 1.9992083670002851
2.00 8.0 1.9991865511663327
2.25 0.5 1.8868903052201438
2.25 1.0 1.9683331503325594
2.25 1.5 1.9848382205203505
2.25 2.0 1.9919088422128552
2.25 2.5 1.9945266805842257
2.25 3.0 1.9960695015283496
2.25 3.5 1.9968854531507791
2.25 4.0 1.9975750086204438
2.25 4.5 1.9981017451936463
2.25 5.0 1.998158619087257
2.25 5.5 1.9985843372274912
2.25 6.0 1.9986452069096217
2.25 6.5 1.9988597539262885
2.25 7.0 1.9989046460726605
2.25 7.5 1.9990187878139682
2.25 8.0 1.9991113072931266
2.50 0.5 1.85706710974193
2.50 1.0 1.9578673341545976
2.50 1.5 1.9796170462016904
2.50 2.0 1.98832901695268
2.50 2.5 1.992664870193311
2.50 3.0 1.9944694280837256
2.50 3.5 1.9959489600090468
2.50 4.0 1.9966906467124523
2.50 4.5 1.997446521871606
2.50 5.0 1.997797411591868
2.50 5.5 1.998222005045987
2.50 6.0 1.9983455879938021
2.50 6.5 1.9984798304172278
2.50 7.0 1.9987021353692258
2.50 7.5 1.9988954823549516
2.50 8.0 1.9989007629064692
2.75 0.5 1.8200552517196693
2.75 1.0 1.945791815958529
2.75 1.5 1.9745040971186516
2.75 2.0 1.9851074630987346
2.75 2.5 1.9901357656415333
2.75 3.0 1.99341532195867
2.75 3.5 1.9947993586452237
2.75 4.0 1.995976935398052
2.75 4.5 1.9965308472961454
2.75 5.0 1.9973842490895928
2.75 5.5 1.9977736595458253
2.75 6.0 1.9979391775904938
2.75 6.5 1.9981169196612625
2.75 7.0 1.9983984966556274
2.75 7.5 1.9986254379658674
2.75 8.0 1.9987703267272054
3.00 0.5 1.7792316577855836
3.00 1.0 1.931200403258202
3.00 1.5 1.9683902494960914
3.00 2.0 1.981995318192029
3.00 2.5 1.9876168237136653
3.00 3.0 1.9912243841198924
3.00 3.5 1.9935762585878771
3.00 4.0 1.9946678475946749
3.00 4.5 1.9958600123045513
3.00 5.0 1.9965986339153714
3.00 5.5 1.997316198001467
3.00 6.0 1.997341932738544
3.00 6.5 1.9977102879596587
3.00 7.0 1.9980241444217333
3.00 7.5 1.9982179272274483
3.00 8.0 1.998335167570543
3.25 0.5 1.7383583030268281
3.25 1.0 1.9153750920694141
3.25 1.5 1.9590657940043257
3.25 2.0 1.9765880157090836
3.25 2.5 1.98432158395179
3.25 3.0 1.9889362085457372
3.25 3.5 1.991758837053651
3.25 4.0 1.9935360584399215
3.25 4.5 1.9946891961733215
3.25 5.0 1.9956868871513853
3.25 5.5 1.9962627321780144
3.25 6.0 1.9969113880789104
3.25 6.5 1.9973172476448724
3.25 7.0 1.997651753429392
3.25 7.5 1.9978732457336
3.25 8.0 1.9980970694210447
3.50 0.5 1.6959275406634071
3.50 1.0 1.8976098725571755
3.50 1.5 1.9516629523281717
3.50 2.0 1.971783196365192
