# Ps Pf beta Deff
0.25 0.5 1.0180103766992266 0.0679611361998823
0.25 1.0 0.9857877585529585 0.21068766347888201
0.25 1.5 1.0080067538029387 0.3590137217930448
0.25 2.0 0.988269644465595 0.7113394400316608
0.25 2.5 1.0026633457386949 0.9530820872795706
0.25 3.0 1.0166454937813147 1.1923424649587906
0.25 3.5 1.0033862149700645 1.8225211780277224
0.25 4.0 0.990315658098884 2.687654608383736
0.25 4.5 1.0025493180447833 3.0755646052075805
0.25 5.0 1.0066976094154505 3.6219586596368867
0.25 5.5 1.0195284148148271 4.110310280794685
0.25 6.0 1.0113361201139837 5.115040663249559
0.25 6.5 0.9795111198652868 7.319697008220514
0.25 7.0 1.0304769703008785 6.0010298420497135
0.25 7.5 0.9993062003280405 8.388175177690668
0.25 8.0 0.9933788360860131 10.117516524960484
0.50 0.5 1.0023047866006172 0.1590056977692775
0.50 1.0 1.0033713165249063 0.2397490213830776
0.50 1.5 1.0356898088722055 0.282894498991424
0.50 2.0 1.019730937194283 0.47943010088639476
0.50 2.5 1.008102684328552 0.7167800835885708
0.50 3.0 0.9769003932166799 1.260295643743217
0.50 3.5 1.0030167752598853 1.4111466724898099
0.50 4.0 1.0348128644010073 1.397195141142312
0.50 4.5 0.9927873738986099 2.3748729609172847
0.50 5.0 1.0063309892991734 2.6524561529001267
0.50 5.5 1.0195853779914457 2.816124817976054
0.50 6.0 0.990270995999422 4.151791619538794
0.50 6.5 1.0013316994164108 4.603488583943026
0.50 7.0 1.0065325323002043 5.021291904458731
0.50 7.5 0.9905450169142405 6.504731778103179
0.50 8.0 1.0034320206585972 6.43910022511141
0.75 0.5 0.9952823310335507 0.3210121236774802
0.75 1.0 0.991237998070451 0.403861701491274
0.75 1.5 1.0139107336294597 0.42461896892528217
0.75 2.0 0.9896840565396932 0.6363399375582618
0.75 2.5 0.9784497642133007 0.902494002521822
0.75 3.0 1.0058006340524688 0.9725876765473277
0.75 3.5 0.975908029778838 1.487665926826484
0.75 4.0 1.032962532398679 1.2200973941433895
0.75 4.5 0.9665179546910144 2.392730399892301
0.75 5.0 0.9757857926572889 2.731653325684413
0.75 5.5 1.009809212110813 2.412116495571082
0.75 6.0 1.0032870456981724 3.0794290710731413
0.75 6.5 1.0447782051006482 2.616678972466983
0.75 7.0 1.0078284540645879 3.8726198250318276
0.75 7.5 1.011226716009138 4.386042388986681
0.75 8.0 1.0101309845969975 4.901145680232253
1.00 0.5 0.973139021593455 0.6393261657317253
1.00 1.0 0.9937420888686418 0.6012973397665531
1.00 1.5 1.0039235367112598 0.6149195834891829
1.00 2.0 0.9856813308040161 0.8169743125145841
1.00 2.5 1.0090670542204212 0.8401214301615461
1.00 3.0 1.024604885666213 0.8990054611106023
1.00 3.5 0.9885148559481095 1.340172450285739
1.00 4.0 1.0042931379552444 1.3867921898319493
1.00 4.5 0.9752136786921284 2.1560085391414443
1.00 5.0 0.9915349319191965 2.1638668575160933
1.00 5.5 0.9814263786879713 2.8528586448427884
1.00 6.0 0.9936563654718564 2.8998587146892474
1.00 6.5 1.0420118121893998 2.2688713534749385
1.00 7.0 0.9842990171560495 3.9591236166826698
1.00 7.5 0.9878143557860731 4.52646114308822
1.00 8.0 1.0248539422458647 3.816716791245949
1.25 0.5 0.9854112487006972 0.8848859988036984
1.25 1.0 0.9791452581688662 0.9695253425152208
1.25 1.5 1.0324271327311 0.7190969408913489
1.25 2.0 1.0057056751369746 0.9971996844997071
1.25 2.5 0.9875624852116187 1.214205321287755
1.25 3.0 1.0068219008477444 1.2116632853097562
1.25 3.5 0.9878844731800385 1.599197892617972
1.25 4.0 0.9771826917350266 1.8811190696142899
1.25 4.5 0.9738048219866285 2.3320255539834767
1.25 5.0 0.9686264374105977 2.5604616663281554
1.25 5.5 1.0299171574922272 1.905489758414492
1.25 6.0 1.0122166724252706 2.4095900759045223
1.25 6.5 1.0027489564440835 2.910002838300662
1.25 7.0 1.0320345394507207 2.563705627979466
1.25 7.5 1.0041810112008163 3.64810102351965
1.25 8.0 0.9807517718022343 4.724230693301572
1.50 0.5 0.993391193944517 1.216865021398421
1.50 1.0 1.005319778586236 1.097877429708219
1.50 1.5 0.987414217202901 1.3271087459283284
1.50 2.0 0.9928313187265232 1.382460698298485
1.50 2.5 1.0107046261604442 1.288799176071226
1.50 3.0 0.9723433209183829 1.8651038690733348
1.50 3.5 0.9828256033991672 1.8918197566332613
1.50 4.0 1.0075403793187692 1.7576166475471224
1.50 4.5 1.0122889692935397 1.8842134855922223
1.50 5.0 1.0137713554157597 2.005139161950593
1.50 5.5 0.9937732217798991 2.5818900668215905
1.50 6.0 0.9912432096187093 2.9092944876097553
1.50 6.5 0.9967407516356611 3.1135469745526727
1.50 7.0 1.0026788062152998 3.362140781357283
1.50 7.5 1.0061421870918357 3.4630585658674677
1.50 8.0 0.9438483742860295 5.891726145627105
1.75 0.5 0.9977979781105776 1.5377115853622443
1.75 1.0 0.9914171618973514 1.7556847010245629
1.75 1.5 0.9780383321933576 1.8931529569218097
1.75 2.0 1.0026671647558214 1.6629605582257083
1.75 2.5 1.0078543094314085 1.6967942099716247
