# G = 1.0
lp_w,Pf_Ps,alpha,beta,D_eff,mean_vx
1.5,1.875,1.8985733187785596,0.9985184004552299,0.628750025173176,0.6439527158989734
1.5,2.0,1.917203595635825,1.0197695327058587,0.6098320352574524,0.779608378915955
1.75,0.125,1.7346320522120042,0.9714894364873256,1.3416338645764374,-0.44255810752285113
1.75,0.25,1.9908755588454605,1.0389375827324556,0.6405053846470359,-0.6970289152196838
1.75,0.375,2.028418814858524,0.9130843831841555,0.6787180498963953,-0.7786174157981862
1.75,0.5,2.013911455843986,0.9233935968287844,0.499994942363907,-0.7980971809086634
1.75,0.625,2.0263622826472494,0.9372601413224811,0.43481458116927707,-0.7075359818111991
1.75,0.75,2.0172704154854353,0.9543382217929208,0.41035846015810123,-0.6485158345228724
1.75,0.875,1.9986755814201036,0.9888057037136985,0.39171655938047534,-0.5264210831429781
1.75,1.0,1.9522314626949973,0.9514726385475691,0.4761591590626833,-0.4087455658004579
1.75,1.125,1.7970233830983844,1.006401098250172,0.4138101303530097,-0.2783546851891736
1.75,1.25,1.4118628067344683,0.9796218472965337,0.5532717288665986,-0.13997015691068967
1.75,1.375,1.0196895851379177,1.01727801005103,0.5292160876508655,-0.0008639634074165094
1.75,1.5,1.3893238280463531,0.962864273499396,0.7163708763683159,0.18717598160998888
1.75,1.625,1.7157049989228854,0.9909539240398975,0.67683455904516,0.34092824521668835
1.75,1.75,1.8313929155302782,1.0153620715239993,0.6787010841284125,0.4994672212914766
1.75,1.875,1.8791959359560955,0.9540753665980027,0.8789287137763516,0.6613554768980792
1.75,2.0,1.902789959066829,0.9868636401927477,0.876624244830526,0.8234537774231363
2.0,0.125,1.831799715860606,1.0014269265462272,1.3854766144719466,-0.5730962001206469
2.0,0.25,1.988954655163718,0.9497823157916633,1.0717205841562403,-0.8833921676519945
2.0,0.375,2.02852375106884,0.952456102063779,0.5838843771040966,-1.0084748837883972
2.0,0.5,2.0285660606196956,0.9162891738987151,0.5281200295871427,-0.9885567234500118
2.0,0.625,2.0100604167820526,1.0183973857795015,0.3126385374815724,-0.9111124060504773
2.0,0.75,2.013452427295418,0.971998570821041,0.40154571781177834,-0.8115756463683235
2.0,0.875,2.0035005389597833,0.9554630763143909,0.4483713482776391,-0.7005356310289641
2.0,1.0,1.973284988872834,0.9155908990478164,0.5724893531461823,-0.5585500897863566
2.0,1.125,1.89676122204673,0.9653320640013787,0.5430116440785139,-0.38907347123295233
2.0,1.25,1.697228477338927,0.9866064993619027,0.5704478672084707,-0.2334856628155712
2.0,1.375,1.109243751328408,0.9719840516151439,0.6742054692449834,-0.08310751476192915
2.0,1.5,1.2816354652835842,1.070197748038435,0.5082483341256117,0.08913413047775205
2.0,1.625,1.6090218034751163,0.943051053815477,0.8556004110108336,0.2748244164361773
2.0,1.75,1.7802488303167692,0.9974016038841846,0.8082547737371466,0.47592604611563294
2.0,1.875,1.8735277381307451,1.0114506879672072,0.8514639539823045,0.683148305254115
2.0,2.0,1.8748946526825478,0.9596363015228374,1.0520067611514679,0.8552620016517201
2.25,0.125,1.9050737710235324,0.9407590604165929,2.1229326725488225,-0.7286267819200061
2.25,0.25,2.0205091784171114,0.9423254100578567,0.9753976573513792,-1.1220722222109047
2.25,0.375,2.0367765066309627,0.9456526127036959,0.5455551800209717,-1.1962834347178546
2.25,0.5,2.0304681104120657,0.9095209995155678,0.4782069654610296,-1.1664930150241752
2.25,0.625,2.0284792726850127,0.9597907932375577,0.34833504099425133,-1.1006497868453804
2.25,0.75,2.0263076890119365,0.9981150348884537,0.3574209874553241,-0.9971287827857979
2.25,0.875,2.0180543104865194,0.9112527579581547,0.5813199310943125,-0.8200160752924261
2.25,1.0,1.9911654313203235,0.9403556941711545,0.5275447326853981,-0.7100878419387843
2.25,1.125,1.9468809604509711,0.9478189988830757,0.6358659167387752,-0.541974700071855
2.25,1.25,1.8511282450162365,0.9571980729639862,0.6672374701519423,-0.33976273850628297
2.25,1.375,1.4776839270242812,0.9966486695259287,0.6244382714280661,-0.16335881222204546
2.25,1.5,0.9525017452586958,0.9269314953349557,0.9082695260022011,0.02341669476586979
2.25,1.625,1.5399191027299488,1.033272559715054,0.6586514512193422,0.21635703624117317
2.25,1.75,1.7374537702032218,1.0330733428828593,0.8055422991799063,0.48125687227961905
2.25,1.875,1.8566381107861345,0.9786186059090382,1.010124420066515,0.6474980313814059
2.25,2.0,1.8928683177861727,0.9879904407441671,1.0995287413112793,0.8590439448117473
2.5,0.125,1.9421008255575871,1.0099952870152906,1.9527401369417887,-0.9156712026195667
2.5,0.25,2.0255871556241707,0.9124939826842713,1.1386696779562433,-1.3641114121651288
