lp_w,Pf_Ps,alpha,beta,trap_frac,mean_vx
0.25,0.125,1.209647588457569,1.1006840745534987,0.11015555555555556,0.03449054286726279
0.25,0.25,1.3929328283862645,1.082880768556929,0.11048888888888889,0.035568117100215076
0.25,0.375,1.5601891909102883,1.0265524289495476,0.10873333333333333,0.06078139170396004
0.25,0.5,1.6789170672112739,1.0020429101881636,0.10975555555555555,0.0418824056952563
0.25,0.625,1.7463609499416193,1.0533277354089516,0.11177777777777778,0.08798548429157785
0.25,0.75,1.7835521067047857,1.097200437293717,0.10784444444444445,0.11187994402262126
0.25,0.875,1.8357410488121335,0.9979116395565834,0.1146888888888889,0.10918323751932404
0.25,1.0,1.8580639652649187,1.0212041413857702,0.11253333333333333,0.1592775970795083
0.25,1.125,1.8724823349306314,1.0218946501300563,0.11102222222222222,0.16768353549262
0.25,1.25,1.8703182696225296,1.0517772694076934,0.10868888888888889,0.16704956123480263
0.25,1.375,1.917154965486363,1.002751691752055,0.11008888888888889,0.19459825832422498
0.25,1.5,1.9148741155491873,1.056835547666494,0.1088,0.19302633025264868
0.25,1.625,1.9036400561583042,0.9804168431449236,0.1104,0.23427441950373704
0.25,1.75,1.9206870560045715,1.1052925693625242,0.11073333333333334,0.2633783647261003
0.25,1.875,1.9350892442118637,1.0842593100438183,0.10866666666666666,0.2707287958622745
0.25,2.0,1.9501620094625658,1.0647813919127098,0.11126666666666667,0.2864166215602589
0.5,0.125,1.0545598317269353,0.9691961673306186,0.18877777777777777,0.05745067769471794
0.5,0.25,1.3318786977824584,1.0403409672220834,0.187,0.09145402273948565
0.5,0.375,1.5051403327800594,1.0446280089206559,0.18977777777777777,0.12701017327192707
0.5,0.5,1.590199821444789,0.9562945125259302,0.18593333333333334,0.08596008171468171
0.5,0.625,1.7442348582195006,0.9749127013482771,0.18864444444444445,0.13305677669267696
0.5,0.75,1.777515001162874,1.036245107587419,0.18964444444444445,0.1366842344967924
0.5,0.875,1.7819140282965569,1.0099089913530361,0.19175555555555557,0.16391588696850556
0.5,1.0,1.8333884456241554,1.0172835660200026,0.19146666666666667,0.24213882613977694
0.5,1.125,1.8355247303704718,0.9856422435755138,0.1902888888888889,0.24174493566813623
0.5,1.25,1.8804716868442295,1.0432076630105438,0.1890888888888889,0.2709189022249642
0.5,1.375,1.8816064646374349,1.0722908638679434,0.18944444444444444,0.3355600555478727
0.5,1.5,1.8736618748129532,0.9882734759047811,0.18684444444444445,0.29345563873867503
0.5,1.625,1.895776135408731,1.0333357585938754,0.18688888888888888,0.3737251088435464
0.5,1.75,1.89220895469338,1.0255661467839268,0.18986666666666666,0.37910130178641477
0.5,1.875,1.9147359136269282,0.9828955331399962,0.1874,0.4244556955498505
0.5,2.0,1.90616797250983,1.07421989894721,0.18873333333333334,0.4529388844371067
0.75,0.125,1.1386163935845384,1.0793393440490913,0.24173333333333333,0.0398685063426842
0.75,0.25,1.2755047429040889,1.0217059355775269,0.24515555555555554,0.0637559118641702
0.75,0.375,1.3957768543400653,1.004171413269067,0.2464,0.0853583473147073
0.75,0.5,1.567940415082469,1.0315002017533919,0.2406222222222222,0.1672800737610363
0.75,0.625,1.6465184270839737,1.0488976441283928,0.2398888888888889,0.21053184918557769
0.75,0.75,1.6700482265732355,0.9603914442951302,0.23971111111111112,0.20306062770311664
0.75,0.875,1.7566954078032366,1.0395817769825322,0.23884444444444444,0.267162842155768
0.75,1.0,1.792489087457832,1.0317400728809532,0.24293333333333333,0.26952107143795423
0.75,1.125,1.8135789173975583,1.0321854637254615,0.24497777777777777,0.29847285263882156
0.75,1.25,1.8380834082831112,1.00994401138972,0.2436888888888889,0.3389407031030715
0.75,1.375,1.888113957218465,1.0323275063324662,0.23975555555555556,0.39139972391087713
0.75,1.5,1.8387399774699935,1.0335768794874822,0.24184444444444445,0.41363683329177464
0.75,1.625,1.8654025735789932,1.0349824165243033,0.24206666666666668,0.4492548777286421
0.75,1.75,1.87820894041102,1.094197126804467,0.24033333333333334,0.4713823667930985
0.75,1.875,1.8728733556342292,1.0288257347537282,0.24102222222222222,0.4895951499516544
0.75,2.0,1.8906518816286961,0.9517557410743492,0.23564444444444443,0.567725379441817
1.0,0.125,1.1245896107183686,1.0668599573457278,0.2806444444444444,0.019576173859499415
1.0,0.25,1.2867681589794282,1.0461287809251039,0.2771777777777778,0.10333286936920669
1.0,0.375,1.3629921591814338,0.9972095841872972,0.2779111111111111,0.10849152543096997
1.0,0.5,1.516626627941852,1.0676635841939919,0.2763777777777778,0.16598701307006514
1.0,0.625,1.5423557699664863,1.0221623176598462,0.2777777777777778,0.1561832868071443
1.0,0.75,1.697580269517286,1.0134307287161866,0.27642222222222224,0.25433548154396257
1.0,0.875,1.6941480493736973,1.0019992029153038,0.2783333333333333,0.26863898628710964
1.0,1.0,1.7621092910074478,1.0006722176893617,0.2786444444444444,0.32313429991735076
1.0,1.125,1.8031448702414883,1.0725034179129667,0.2750444444444444,0.3712941133711214
1.0,1.25,1.8110460647388347,1.043457236915467,0.2776222222222222,0.3696348729931237
1.0,1.375,1.8684974983501146,1.0943935386641526,0.27857777777777776,0.4255968562818897
1.0,1.5,1.8575079434742174,0.9994091362766856,0.27582222222222225,0.4582960273130514
1.0,1.625,1.869013000941605,1.0484694851696081,0.27997777777777777,0.49471317315288915
1.0,1.75,1.9164574349032368,0.9997211983600556,0.27282222222222224,0.5455725362510716
1.0,1.875,1.841747910665553,0.965365950362611,0.27764444444444447,0.6102360821432018
1.0,2.0,1.8803986848029361,1.0397451106143458,0.27453333333333335,0.6640847626918849
1.25,0.125,1.1189231901705525,1.0561448919938885,0.30504444444444445,0.014400572938884665
1.25,0.25,1.2677212037352914,1.0997661172277093,0.3002888888888889,0.11945610254376324
1.25,0.375,1.2780615691346169,0.9675026010170352,0.3006,0.14762572886978373
1.25,0.5,1.4432129224152406,1.027085844418694,0.3028888888888889,0.16552176141102912
1.25,0.625,1.5560391781357044,1.0170885491560757,0.30086666666666667,0.23011306293948272
1.25,0.75,1.6506528705912098,1.0646663059067005,0.3002,0.2936230741885555
1.25,0.875,1.6547589086379761,0.9936033080561405,0.3004222222222222,0.30512545266605096
1.25,1.0,1.7256362671480308,1.0498650587426102,0.2994222222222222,0.39406113937918075
1.25,1.125,1.784129951773333,1.0835497976937463,0.29831111111111114,0.4376659097970304
1.25,1.25,1.8075007439107813,0.989639566775508,0.30293333333333333,0.45939853564625405
1.25,1.375,1.840848868298698,1.0449569748423442,0.2975555555555556,0.49830254580551847
1.25,1.5,1.8185624115027152,1.0461238036233889,0.3007111111111111,0.5173253629779699
1.25,1.625,1.8231796394561752,1.0097876249944702,0.30006666666666665,0.58981558018163
1.25,1.75,1.8697369220509343,1.0277885611739919,0.3006888888888889,0.6256608535202175
1.25,1.875,1.9061853399575757,1.054563822925107,0.29895555555555553,0.6796755258891303
1.25,2.0,1.8876472430256102,1.0739947929982954,0.2994222222222222,0.6994022013347615
1.5,0.125,1.0614757797905967,1.013289612303037,0.32166666666666666,0.07324119139470697
1.5,0.25,1.2174016418583569,1.0735871090843536,0.32153333333333334,0.09012102976480231
1.5,0.375,1.299626020692316,1.055631184866624,0.3177111111111111,0.16778071292471808
