# G = 0.0
# D = 0.01
Ps,Pf,alpha,beta,D_eff,mean_vx
0.5,5.5,1.9269785992548643,1.0435548267805008,2.7836662860632884,4.8699432723160445
0.5,6.0,1.9240620446383074,0.9966245790702997,3.730983172937346,5.305043447570535
0.5,6.5,1.9204401488341702,0.9784069514495191,4.825697151652698,5.782838311574898
0.5,7.0,1.9304416088960399,1.0443033997799052,4.359112589423951,6.188242623846833
0.5,7.5,1.9272972731361662,1.0360449057546417,5.290212301313969,6.642249024349649
0.5,8.0,1.9293364403269577,1.0342578980667236,5.982701093491206,7.139166483759731
0.75,0.5,1.637639183295981,0.9578974130040749,0.35372799791660614,0.24140868315327624
0.75,1.0,1.8617743706919032,1.0461070545733129,0.2957538607095518,0.5072019486917385
0.75,1.5,1.8850233096586884,1.0633896320633327,0.35022308509981315,0.7597437565067214
0.75,2.0,1.9131631136335718,1.0352888374552012,0.514332278433839,0.9773672199803025
0.75,2.5,1.9016749399516533,1.0553538819779982,0.6541449782417942,1.227512594917185
0.75,3.0,1.9149971714287244,0.9810394323875805,0.992064823220248,1.4991259633177123
0.75,3.5,1.9305767004517054,0.9913340755826708,1.242533906122053,1.7324704142290719
0.75,4.0,1.9163394474893152,0.9791728190249575,1.6010802527330243,2.0443494563630673
0.75,4.5,1.9317172891697374,1.034734543133226,1.6091188449922507,2.254808024181034
0.75,5.0,1.9125734652169084,1.0564877583340626,1.9479928385027903,2.4733070550641503
0.75,5.5,1.9254351633650322,0.9872560776528195,2.7397834887422103,2.773234561067627
0.75,6.0,1.9215822827556837,1.0447299286378307,2.521772964860482,2.9366209077076437
0.75,6.5,1.9036745383155889,1.0340554191104583,3.286105843486056,3.1859281062035225
0.75,7.0,1.917250176726838,1.026233335722063,3.569147770487678,3.4550224503356577
0.75,7.5,1.921396258170474,1.0175861278720584,4.322338568411634,3.6959429634585903
0.75,8.0,1.914985526834512,1.0133515606144885,5.029993088052887,3.968862400001574
1.0,0.5,1.5350796033558844,1.0338268149292515,0.4358914432530336,0.18434716206051982
1.0,1.0,1.7480541785160302,1.0692943856862076,0.451567937331965,0.2884413531179231
1.0,1.5,1.8440810112426715,1.0090570505971341,0.6322279999483565,0.484476176271818
1.0,2.0,1.8652326525585712,1.008824664671496,0.7132834991153556,0.6550402991247618
1.0,2.5,1.881939511056432,1.0160390220737259,0.8195833424258615,0.8050584111345022
1.0,3.0,1.9050172003155739,0.971080005379092,1.1100473459155358,0.9707942278812448
1.0,3.5,1.9238922240269956,1.0566933426440308,1.006945803767254,1.1258091784881652
1.0,4.0,1.917867400619445,1.0713320789921368,1.1452755566900268,1.3031873642050928
1.0,4.5,1.905727086418728,1.0277279929362373,1.5865379162889193,1.452791833029665
1.0,5.0,1.9213736600640736,1.0414272675060614,1.6920983656777744,1.6061422173965136
1.0,5.5,1.9071336517789028,1.0292662393442926,2.156565569428429,1.7970274501523977
1.0,6.0,1.9188246559083124,1.0163386733571558,2.4793863761562784,1.9322730986915324
1.0,6.5,1.9200261093182156,1.0710492958834652,2.360549894914354,2.080587330314108
1.0,7.0,1.9179199029014373,0.9797312115983572,3.6561098391784315,2.2624350643837823
1.0,7.5,1.919486150058193,0.9869783482073146,4.034853949816863,2.407125018488009
1.0,8.0,1.9209914730763447,1.0579923319880469,3.5446966308289873,2.5763350963533123
1.25,0.5,1.358547861502726,1.0003311765620253,0.763093827751471,0.09493468140474973
1.25,1.0,1.6480700149530867,1.049094146225474,0.6630709477656295,0.2457294600766881
1.25,1.5,1.7844934752363173,1.0401853176463611,0.7428957767944719,0.35475681684555105
1.25,2.0,1.8400470618329132,1.060404120945779,0.7576143542026036,0.4437555623463024
1.25,2.5,1.8604401681399474,0.994746706632734,1.1195562331213502,0.5971240830446882
1.25,3.0,1.8916048896033923,1.0357545247884758,1.002943759988176,0.6927621885763516
1.25,3.5,1.9021310293613123,1.017032824719456,1.277895648983119,0.8063218512102397
1.25,4.0,1.9031333250658031,0.9993226303399367,1.5395933290564272,0.911300389106966
1.25,4.5,1.8974093036371371,1.0136020211346712,1.8300000705271395,1.0609287297802115
1.25,5.0,1.8916395144277116,1.0281376893977727,1.9030513798414073,1.1560069547955918
1.25,5.5,1.9014398136518436,1.0018500888535946,2.2968363921619868,1.259704960662346
1.25,6.0,1.9192299112807836,1.043741687338697,2.235912401069698,1.3887807548834756
1.25,6.5,1.90491389770924,1.0658976264387294,2.295930126446751,1.4802663829872347
1.25,7.0,1.918131342454545,1.0271945922362746,2.8677441187865553,1.630390061899752
1.25,7.5,1.930624210404774,0.9806513456645102,3.741159168522621,1.750387939326957
1.25,8.0,1.9115110286252819,1.0008460731244784,4.254568766166812,1.8466450746208547
1.5,0.5,1.2686814165708582,1.0739694202570773,0.8556257697431584,0.0914058748206224
1.5,1.0,1.5426487320430624,1.0376021170401055,0.9560850387819302,0.1792898377865836
1.5,1.5,1.7144747214137128,1.0301760266247335,1.0904416855805235,0.28138018534239023
1.5,2.0,1.7980279059199458,1.0100375508274835,1.2349307816877189,0.3554168470781341
1.5,2.5,1.8263214388959021,0.9701884446806989,1.487711715542195,0.45350847642627407
1.5,3.0,1.8651236421465274,1.0302293563897942,1.327836559048061,0.5328901521577656
1.5,3.5,1.871034794235421,0.9958957575467496,1.6201645480124998,0.6102205409589
1.5,4.0,1.8659384300912574,1.053792320309928,1.4618098002583295,0.7146029941260302
1.5,4.5,1.878346907132369,0.991529582305697,2.10724512420258,0.8074793690420118
1.5,5.0,1.8847157897761515,1.0316443179814927,1.9635878512921385,0.8842674595674197
1.5,5.5,1.8976971931393858,0.9717592008297489,2.7528819200174617,0.9702284406304932
1.5,6.0,1.8944953801057343,1.0312495865348599,2.2933264155891493,1.031941987400813
1.5,6.5,1.9091136177992154,1.0379760607163224,2.628839646482517,1.1392284965954167
1.5,7.0,1.9094845506995977,0.9758782243106684,3.5805082107988957,1.24755021404596
1.5,7.5,1.9085440286390567,1.0119701166384616,3.2833893109198744,1.329234173856658
1.5,8.0,1.9078991991304464,0.994369132053845,4.108698352945337,1.4123024007122167
1.75,0.5,1.173416230671515,1.0269855555900498,1.3238846769908725,0.0706902713381855
1.75,1.0,1.445971043046469,1.0300985210906295,1.4157422354212783,0.13674074805345016
1.75,1.5,1.5902988730172145,1.0293812383207797,1.408293554597608,0.21022838968532517
1.75,2.0,1.7317690459361081,1.0328890298524775,1.4372741487850413,0.27635667734437885
1.75,2.5,1.7603716965635627,1.0716518278375393,1.3191503272830605,0.35185192040105445
1.75,3.0,1.793179444330532,1.0289609812668588,1.6899675314280136,0.42017982920349095
1.75,3.5,1.8446075846578585,1.0309532926649378,1.7248006180444007,0.4919474495251598
1.75,4.0,1.8607296613735673,1.0565181245278037,1.7412831981226813,0.5821474210774175
1.75,4.5,1.8368618785190087,1.0093590602933324,2.254993036380448,0.62113906863125
1.75,5.0,1.8774585383055404,1.041847522514212,2.1319780845544956,0.7034475195405293
1.75,5.5,1.8890551903808355,1.077080634985481,2.0883567139675057,0.780526355531136
1.75,6.0,1.8925721011275556,1.004876586443873,2.84980000478074,0.8333369634887892
1.75,6.5,1.8990625766468479,1.0286742864934733,2.8100384200040613,0.9139551067749406
1.75,7.0,1.9093354180133284,1.0571573810116885,2.8108694537930266,0.9950599064873444
