lp_w,Pf_Ps,alpha,beta,trap_frac,mean_vx
0.25,0.125,1.1177091922338638,1.0046724307819472,0.10964444444444445,0.02494840951678066
0.25,0.25,1.2979053615791483,1.0200066578602183,0.1128,0.027780242860701233
0.25,0.375,1.5074124299527103,1.0557722113209296,0.11075555555555555,0.0783705668637217
0.25,0.5,1.6577866531600767,1.0145195254871386,0.10902222222222223,0.08154650044399323
0.25,0.625,1.6972785914627093,1.0510835098249907,0.10906666666666667,0.08461904217996091
0.25,0.75,1.7875950908505893,1.0432818975508353,0.10762222222222222,0.08104545673098688
0.25,0.875,1.78131884858772,0.9701995118716926,0.10653333333333333,0.14286899899731334
0.25,1.0,1.8276954657414681,0.9913880596643457,0.10333333333333333,0.06893803000606205
0.25,1.125,1.8590599161546304,1.0290747355389294,0.10442222222222222,0.13852499096830684
0.25,1.25,1.8482757359961,0.9967609975722013,0.10075555555555556,0.154311922085911
0.25,1.375,1.9040995395356624,1.0187488203613164,0.10106666666666667,0.16067748709118332
0.25,1.5,1.9170294238695114,1.034306271998731,0.0968,0.20333898631006636
0.25,1.625,1.9274569635119942,0.9752089766432391,0.09731111111111111,0.22233414418051445
0.25,1.75,1.9387579984010943,1.0043955306276164,0.09395555555555556,0.2201272455462251
0.25,1.875,1.9377942842412381,1.0081345457388184,0.09313333333333333,0.22357624561372244
0.25,2.0,1.9396825767505592,0.9336839152642478,0.09333333333333334,0.24882370424792669
0.5,0.125,1.0464025277440052,1.0308776679934508,0.18893333333333334,0.02718840389562479
0.5,0.25,1.1066094133791253,1.0001130830735303,0.18768888888888888,0.04457774757695178
0.5,0.375,1.2589160161165192,1.0803561883328534,0.18597777777777777,0.03753229345234907
0.5,0.5,1.3494892562307397,1.042630458312202,0.18166666666666667,0.0581210429356885
0.5,0.625,1.4596750969809504,0.9861565096475032,0.17506666666666668,0.07794579309606278
0.5,0.75,1.5325692113524467,1.0133720756774343,0.17157777777777777,0.07365820193075681
0.5,0.875,1.6810328363543356,0.9807598517700533,0.15937777777777778,0.10132067387949678
0.5,1.0,1.754560894681535,0.9339530944994597,0.15546666666666667,0.15381423558650698
0.5,1.125,1.8541573710646195,1.0460426508525285,0.15017777777777777,0.17949058137980764
0.5,1.25,1.859509008638298,0.9750250496657363,0.1402,0.24488551304036632
0.5,1.375,1.880253870085947,0.96314285541149,0.13471111111111111,0.22715449635300838
0.5,1.5,1.914895630375226,0.9958490376336112,0.12811111111111112,0.3375320356521486
0.5,1.625,1.9150239969278537,0.9302213567536917,0.12448888888888889,0.32599350776387714
0.5,1.75,1.9477322454943173,0.9910580480155232,0.11617777777777778,0.4185987221817891
0.5,1.875,1.9539907834550103,0.9642252292425103,0.1102888888888889,0.4449105996982634
0.5,2.0,1.9544296501751148,1.0203083274283102,0.10573333333333333,0.5354896159458081
0.75,0.125,1.0121986545028077,1.0050051019362733,0.24413333333333334,-0.07683576712031408
0.75,0.25,1.0779561897864898,1.0707279096296083,0.24208888888888888,-0.0070569006924355564
0.75,0.375,1.1243531088789713,1.0735167369098955,0.2296888888888889,-0.015021482547591964
0.75,0.5,1.000834784295112,1.0026634577729792,0.22293333333333334,-0.04388908993086015
0.75,0.625,1.0122910902210414,0.9791085216758404,0.2101111111111111,0.01839191226981937
0.75,0.75,1.2215412770770253,0.9950398431383123,0.19957777777777777,0.044462006057136655
0.75,0.875,1.512566378146135,1.0015215195502039,0.1821111111111111,0.10817528963356074
0.75,1.0,1.645970758983575,0.9687996669733261,0.1718888888888889,0.17519013573049697
0.75,1.125,1.7858510790174886,0.9930160071786893,0.16173333333333334,0.18820408184384504
0.75,1.25,1.8737261241630172,0.96705311376104,0.1542,0.24647039298242757
0.75,1.375,1.9222002113181202,1.0194536030596404,0.14228888888888888,0.31186637921355864
0.75,1.5,1.9369867272564691,0.9849156280004276,0.13242222222222222,0.39398430423742425
0.75,1.625,1.9536193660511787,1.0758987147128136,0.12775555555555557,0.43276313145297973
0.75,1.75,1.9521117676713435,0.9867613536586515,0.1182,0.5649867554195951
0.75,1.875,1.9718995226494958,0.9289469082633932,0.11437777777777777,0.6272956358006578
0.75,2.0,1.9732742837285941,1.0237724572921396,0.10635555555555555,0.6832608286718757
1.0,0.125,1.126885007286103,1.0241414369834883,0.2805111111111111,-0.05612294185368107
1.0,0.25,1.2949470666435627,0.9638034789697881,0.2722222222222222,-0.1071308520745697
1.0,0.375,1.4200194292385955,0.9995999915507422,0.26253333333333334,-0.10040613363435154
1.0,0.5,1.4282623643045673,1.0460957879754498,0.24451111111111112,-0.10952058348202012
1.0,0.625,1.2897584630733872,0.9375882884148583,0.2278888888888889,-0.10262505999454473
1.0,0.75,1.0645095005209257,1.0154654287812097,0.2112,-0.057555538263180966
1.0,0.875,1.033464149115307,0.9114558274261436,0.19246666666666667,0.07692953081720376
1.0,1.0,1.5493754525693675,1.0321805180885577,0.1809111111111111,0.0977165164210685
1.0,1.125,1.7733066902153374,1.0142317983463647,0.16735555555555556,0.23208182958591186
1.0,1.25,1.8756935765956755,0.9387812424034547,0.15588888888888888,0.2568807511966998
1.0,1.375,1.9290579815815918,1.0373681907016499,0.1416,0.3873240097750258
1.0,1.5,1.9274967196032433,1.0288819232602868,0.13462222222222223,0.4676306186853704
1.0,1.625,1.969649171009849,1.0477214078075596,0.12464444444444445,0.5754681602840721
1.0,1.75,1.9537735434918975,0.9502033577230121,0.11755555555555555,0.7044776028176154
1.0,1.875,1.9832049087257426,0.9438108990585311,0.10913333333333333,0.8112419554386241
1.0,2.0,1.9892373502040068,1.0052052055300462,0.10277777777777777,0.8777450604216123
1.25,0.125,1.2365210160903906,0.9883332629341367,0.30533333333333335,-0.10383482282905372
1.25,0.25,1.5687915250808067,1.0098005266621206,0.2944222222222222,-0.1848290798134339
1.25,0.375,1.655678643274212,0.9778124955000739,0.2783777777777778,-0.24298266900939575
1.25,0.5,1.7907014560600558,1.0137779045682995,0.25335555555555556,-0.2124894366679872
1.25,0.625,1.7347528491664614,0.9235597342503727,0.23753333333333335,-0.18734497762099644
1.25,0.75,1.5645731689858962,0.9591576598158593,0.21555555555555556,-0.15614415154849004
1.25,0.875,1.1385845686877643,0.9961553623735734,0.1991111111111111,-0.010608740647268886
1.25,1.0,1.237494685265722,0.9877622222441343,0.18388888888888888,0.09107219528522335
1.25,1.125,1.7015034212420195,0.9925255592808794,0.16797777777777778,0.1784898348652643
1.25,1.25,1.8643843040938028,1.039069582642721,0.15597777777777777,0.29994967935781486
1.25,1.375,1.9152820554556416,0.9485989616168672,0.14646666666666666,0.3574695890232005
1.25,1.5,1.9481293356611389,0.9905080144794185,0.13264444444444445,0.5444338144681138
1.25,1.625,1.975448664031825,1.0094827169680665,0.12473333333333333,0.6992186517486416
1.25,1.75,1.9912855246102972,1.0243515079756462,0.11651111111111111,0.8365765643012852
1.25,1.875,1.9812647821166949,0.9591459255652923,0.11026666666666667,0.9773761476234901
1.25,2.0,1.9898275179403757,0.9461729737276234,0.1024,1.1433804234537879
1.5,0.125,1.3928664976092726,1.0441858314748669,0.3227555555555556,-0.1598171803573256
1.5,0.25,1.7322468347811948,0.9521788672925056,0.3099777777777778,-0.32195964987457637
1.5,0.375,1.8982226513641964,0.9380223081318292,0.2902,-0.41155337271460807
1.5,0.5,1.919023930783558,0.9775588550406635,0.2686222222222222,-0.39062276310391225
1.5,0.625,1.9110868099954768,0.8623179031985089,0.24186666666666667,-0.33048079439139294
1.5,0.75,1.8504818089052193,0.9854833556632433,0.2196,-0.2312369966091504
1.5,0.875,1.5801332438355002,0.9107839948445059,0.20153333333333334,-0.1487932408939624
1.5,1.0,1.0164282605612394,1.0278431721623835,0.18266666666666667,-0.007028785788800768
1.5,1.125,1.6136363649128753,0.8870086821306171,0.16882222222222223,0.14562556756706274
