# G = 1.0
# D = 0.01
Ps,Pf,alpha,beta,D_eff,mean_vx
0.25,0.5,1.8834245389890998,1.0285749429666333,0.0673887491751592,0.7875151951017914
0.25,1.0,1.9419231801313623,1.078771301446019,0.11375375990308251,2.4025117688486044
0.25,1.5,1.9513494904185384,1.056642455254627,0.23327699789967063,3.69490115611337
0.25,2.0,1.952575945268575,1.0841362141139308,0.3745612320489508,5.022599376903357
0.25,2.5,1.9360914388952872,1.0989753889965785,0.5568413510981136,6.22688596579643
0.25,3.0,1.9363066676095932,1.1000576574999879,0.8216557642792089,7.700130023718548
0.25,3.5,1.9449216774742066,1.1232241461270285,1.093174903817796,9.051636852839508
0.25,4.0,1.9334108103712673,1.1075594283320325,1.469417650422124,10.312720335065418
0.25,4.5,1.9452440022733053,1.0974875551614576,2.044187014703094,11.72863757812935
0.25,5.0,1.9421684854367443,1.1158359893089422,2.253598764825684,13.106038481903793
0.25,5.5,1.9332694100268357,1.0981465098505623,3.2460508912638155,14.283093033136355
0.25,6.0,1.9384863223053315,1.1356513550164102,3.128279952881153,15.848834698032803
0.25,6.5,1.9368104247937397,1.0997053535371462,4.598048219904428,16.983987216677914
0.25,7.0,1.93176140230519,1.1390541883080219,4.645653100002676,18.30508621825262
0.25,7.5,1.9327354606609342,1.137433047827456,5.230579948825365,19.602941007851154
0.25,8.0,1.933815807546005,1.0847370329887296,7.289029258459026,20.831624554530546
0.5,0.5,1.633823532009812,0.9919305986867243,0.1279481692894324,0.22886578323206475
0.5,1.0,1.8939272537199343,1.0485634031832523,0.14379479334082546,0.7437192077651467
0.5,1.5,1.9589436812585466,0.9992819664532687,0.25684329086868085,1.527814866018508
0.5,2.0,1.9748150275966527,1.002404115109286,0.3525315016348079,2.2249427035036313
0.5,2.5,1.9679338301193943,1.0798239889391237,0.39389888820473606,2.9106356578302583
0.5,3.0,1.961800284566909,1.0567152799101285,0.5712929910160596,3.59082676563744
0.5,3.5,1.9660926847771951,1.0322109283507934,0.8913117203013854,4.322776624642568
0.5,4.0,1.9610877064845953,1.0660199248193207,1.0935952560317868,4.877942644095477
0.5,4.5,1.9551177846333117,1.05609314947456,1.5743941754909159,5.613196314225249
0.5,5.0,1.9505389322071751,1.0772411213337518,1.8290575661840542,6.226894398083169
0.5,5.5,1.9589314956304515,1.062596208725049,2.3502455060768277,6.900390480609953
0.5,6.0,1.949002561581015,1.0739941583034502,2.733130816471676,7.551011384554338
0.5,6.5,1.9457527807698851,1.0339157308876519,3.7559378855007086,8.220634280860674
0.5,7.0,1.9552151609380994,1.0874588236959544,3.679934283347819,8.89946271459132
0.5,7.5,1.957551800164225,1.117516478423458,4.105227992457251,9.579203813450807
0.5,8.0,1.9521737584234056,1.0747822598826478,5.611285712947255,10.165645545455087
0.75,0.5,1.279081266704067,1.061779935000447,0.16906351033110067,-0.05047499708003245
0.75,1.0,1.7157566322126703,0.9906919527575292,0.2593502307651162,0.26465661634068927
0.75,1.5,1.9081061631859308,0.9520895913492056,0.36598092565340784,0.7268442716658439
0.75,2.0,1.9721276126409968,1.0890367387900153,0.2697202767012366,1.2211594919683029
0.75,2.5,1.9775976466374734,0.965544911466067,0.4903815403628712,1.683008083149886
0.75,3.0,1.9709378425421555,0.966570708722299,0.6261727629885765,2.1891145031260995
0.75,3.5,1.970698209372419,1.0214639446228997,0.7185864444940935,2.6440124380551384
0.75,4.0,1.9658481486592934,1.0120528441713406,0.9499513892360018,3.0887674910502
0.75,4.5,1.9773095986538873,1.046769330623481,1.0430594041769234,3.5565375853371193
0.75,5.0,1.9740525295463889,1.0192902824259011,1.48561814253497,4.005769454495059
0.75,5.5,1.9792192835427271,1.037887575496334,1.5933730550897034,4.403928469096779
0.75,6.0,1.9714742116896353,1.1214098684437455,1.585789309935188,4.901501297897743
0.75,6.5,1.9680310984081129,1.0575417152714681,2.3575069012900682,5.374456449113613
0.75,7.0,1.9692246806957017,1.0705893264540276,3.0023374610653564,5.75074189114067
0.75,7.5,1.959402730131081,1.0486582764671621,3.6713967879254947,6.206517159176578
0.75,8.0,1.9551056030869332,1.0356701870944096,4.355517117557752,6.606062600264004
1.0,0.5,1.7962956188003447,0.9680160642781391,0.35657543424328253,-0.21668002317684046
1.0,1.0,1.11325597691294,0.9960321588640021,0.2759962352966939,-0.05096953613823311
1.0,1.5,1.7738846086585869,1.036522221366085,0.2903013278847027,0.29278862518692145
