# G = 1.0
# D = 0.01
lp_w,U_v,alpha,beta,D_eff,mean_vx
0.25,0.125,1.0714621467016119,0.9912294801560143,0.03942087665683777,0.08382116796871032
0.25,0.25,1.2640265061052491,1.009651380979354,0.0389114747612068,0.19037290805617893
0.25,0.375,1.4158997504263808,0.976009288931955,0.04450442468203352,0.16679368767941738
0.25,0.5,1.541876537739719,0.9927395372344276,0.04193158977225575,0.1431929488278252
0.25,0.625,1.6311533629197854,1.0324720454124685,0.039992219494042136,0.41704114414937526
0.25,0.75,1.7092645549814913,1.02059611944147,0.043201560145572464,0.38130637300929204
0.25,0.875,1.7514103374210048,1.001363692349738,0.04754441903350735,0.4597948058865732
0.25,1.0,1.7785120122625686,1.0555587420313484,0.04032189285620115,0.46521293760251364
0.25,1.125,1.8167425580106513,1.0632526181581852,0.042160236393558224,0.5474595785488484
0.25,1.25,1.808467589788116,0.9835997580139026,0.05902569810053606,0.4666978394362769
0.25,1.375,1.8637968118626216,1.0407989915425973,0.047964077528844976,0.7323537580763773
0.25,1.5,1.8609361768130122,0.998435512506602,0.060626832262928684,0.6136653461627903
0.25,1.625,1.8885120874257428,1.065629850719128,0.04820399585806797,0.7629216042398055
0.25,1.75,1.8813760926164613,1.0100599161999582,0.061662285771395105,0.8201532554714371
0.25,1.875,1.8955338589555701,1.0439119189753086,0.060714531555604426,0.9244613653854037
0.25,2.0,1.88430757989775,1.0178200903371546,0.07191624273437389,1.0253242556402609
0.25,2.125,1.9218562170324267,1.0753757509564368,0.05906058580976804,1.1493341573997335
0.25,2.25,1.895848897002309,0.9823061352959225,0.08794738737101611,1.1354987566876278
0.25,2.375,1.9152267468406947,1.034352758786368,0.07416547630028944,1.269797147455982
0.25,2.5,1.914426805908158,1.0534598067325283,0.07707897072213396,1.3205021357248925
0.25,2.625,1.9238316527591648,1.0691461357122294,0.0734009212929673,1.4385150557325834
0.25,2.75,1.9264727436824371,1.0024232469207939,0.09318134603985523,1.461387148649675
0.25,2.875,1.9290231662402433,1.0497294124052998,0.0843179936587524,1.5978880978956618
0.25,3.0,1.9327497145372965,1.0117702432357496,0.10456016588105212,1.7147765425429566
0.25,3.125,1.9267666543333892,0.9963973828903754,0.11490257036773843,1.7896116442538905
0.25,3.25,1.931935024570845,1.042326979734703,0.10110651234992513,1.8054828836279653
0.25,3.375,1.9355892639338415,1.0387777965201976,0.10985088635723515,1.867051596111911
0.25,3.5,1.9436021859483859,1.0163509906178294,0.12679690272983524,2.006080997910315
0.25,3.625,1.9439000049886133,1.0363941212807546,0.11835215146531866,2.0528305972657566
0.25,3.75,1.9354879190750491,1.0797730562242027,0.09951543497557587,2.1505651285484984
0.25,3.875,1.9558383753411752,1.0264924035966136,0.1387576344150937,2.2129015135261927
0.25,4.0,1.9454319441188679,1.069629273910718,0.12278030180030099,2.411715537025891
0.5,0.125,1.0836170665083102,1.0861070640361963,0.09297184563862847,0.04028480712286554
0.5,0.25,1.0691270890835989,1.058190881358557,0.10489392678717621,-0.012153339419682475
0.5,0.375,1.1019977536685468,1.064428067609427,0.10262856572971904,0.035669646825728284
0.5,0.5,1.0638318310517627,0.9716877385797958,0.14024785716274119,0.034971370160363884
0.5,0.625,1.193558574770141,1.0533988237803154,0.10907051645825508,0.07399205960406814
0.5,0.75,1.352172061509207,1.0573668654412742,0.10644309428318036,0.18572319302601176
0.5,0.875,1.4629721476195063,1.0587524466388651,0.10529657619206745,0.16932208741167704
0.5,1.0,1.5787460540760512,1.0191516797571571,0.12874065222473086,0.2057795980439464
0.5,1.125,1.6657679778670609,0.9763435895542131,0.14265413445048913,0.2962560838068864
0.5,1.25,1.7552571204794585,1.0671770669718181,0.11283527414682647,0.360397243254893
0.5,1.375,1.798693595691339,1.0536272022314723,0.12135670368638107,0.4322547794548833
0.5,1.5,1.8361115989824879,1.0342503391236384,0.133156829812256,0.5256536633957642
0.5,1.625,1.8698017230283737,1.0163260056559622,0.1434374459266371,0.5670407154249683
0.5,1.75,1.8809116093694072,0.9825906040100955,0.16933407698091135,0.6818937715162265
0.5,1.875,1.9123390715131936,1.0736093804466404,0.1319297080247661,0.7398540405236317
0.5,2.0,1.9072289015255073,0.9721762922661014,0.19807152688946147,0.8245417121978228
0.5,2.125,1.920774797088025,1.0186516946524562,0.18440413790087673,0.9297518263177011
0.5,2.25,1.9278674830796545,1.0023417679831164,0.1899846013619396,0.9918723182943181
0.5,2.375,1.941800032246393,0.9948078442647156,0.1948846118173578,1.0935251479968393
0.5,2.5,1.9471780544631332,1.0532318969031105,0.1759460974717551,1.1880531176966305
0.5,2.625,1.955134863540361,0.9757614694909074,0.24617797883990353,1.2540277826144681
0.5,2.75,1.9675915259922645,1.0634369530703462,0.17285345302849853,1.3717124282099533
0.5,2.875,1.959657567335591,1.0305416816578123,0.22754071388347769,1.3797539083718846
0.5,3.0,1.9517184322269738,1.0154309880344208,0.229001478100473,1.50895698371976
0.5,3.125,1.9608912038610662,1.043023281431402,0.22987361738165035,1.6484094144017623
0.5,3.25,1.9657708962427238,0.9942997103405766,0.2671852407878296,1.72929583986878
0.5,3.375,1.9568664678588703,1.0556786913170533,0.22498377519501658,1.835721078892862
0.5,3.5,1.9642561962882192,1.046899190419684,0.2692974871762844,1.8703578912145415
0.5,3.625,1.9621691452917716,0.9880032979779831,0.3335234465445643,2.0063771541467363
0.5,3.75,1.964941902632933,1.0825695273870677,0.2599261052033552,2.0349251322541626
0.5,3.875,1.964456075044318,1.0339565270503657,0.29953267621213453,2.1518510180960244
0.5,4.0,1.9668054533796866,1.045516436421656,0.3297661894955941,2.190606933232659
0.75,0.125,1.1016414239144683,1.0356821103917366,0.23766244969354788,-0.03886241061992706
0.75,0.25,1.2558579174481377,1.0202475194782816,0.24012361253423767,-0.09838319735912972
0.75,0.375,1.3791041770024965,1.0484072861896294,0.20272527349469005,-0.1285699950496877
0.75,0.5,1.3385891970725268,1.0035014771573911,0.22716255231239185,-0.1240167611156272
0.75,0.625,1.2292209616443348,0.9464200323238752,0.2560881598200432,-0.07278361374798255
0.75,0.75,1.089154103903215,1.0058234037897613,0.20769289487152276,-0.057873370235100974
0.75,0.875,1.0242663650424733,1.0212372791291295,0.1978805433096435,0.03512868457591045
0.75,1.0,1.1823014833764576,1.0022391780051683,0.2118638185900021,0.009153125213957471
0.75,1.125,1.5130744757144654,1.068271034744024,0.16694699566460236,0.11976432990830044
0.75,1.25,1.623431666446285,1.0016386994629793,0.21719911823924837,0.21652536692805133
0.75,1.375,1.7143336674639018,0.9504073852349518,0.26988932249081543,0.29328335525816945
0.75,1.5,1.8238819263052195,0.9757666762828692,0.27837772852093023,0.40823151437709065
0.75,1.625,1.864236291226185,0.9951775197463565,0.27669806435938044,0.43539000120301724
0.75,1.75,1.8927280405297406,0.9616859621310063,0.30657864516030403,0.5564991716030444
0.75,1.875,1.9102442931409793,1.0135363709291,0.2772260976780214,0.6354354990942951
0.75,2.0,1.9147117788779842,1.0108168048265052,0.29784912356209814,0.7694944133145231
0.75,2.125,1.910989122046408,0.9957345825015972,0.31735668196461564,0.822751619998264
0.75,2.25,1.9384620822524428,1.0269457799172086,0.2824062811423346,0.8914172229038632
0.75,2.375,1.9487821632995508,1.0105283442810409,0.3191599466894066,1.0004651931694237
0.75,2.5,1.9536862533045927,0.9825324296645211,0.38316596384841073,1.06049382457337
0.75,2.625,1.9713639898610482,1.029359374387171,0.33294010790013007,1.1874407051685179
0.75,2.75,1.9559933189132566,0.9933754083428913,0.3971822139778452,1.2461325725902241
0.75,2.875,1.9711673058885804,1.0020855551962748,0.40063235688916804,1.373786967025162
0.75,3.0,1.9838405535787906,0.9908737488792153,0.40401362430248283,1.4430740927350934
0.75,3.125,1.965994867243725,1.0006722305016507,0.41567577568058006,1.5489355046946365
0.75,3.25,1.97429801276743,0.9883179183486285,0.45924968773278,1.650011916970259
0.75,3.375,1.9686018099629707,0.9756307983040176,0.5032781315156499,1.7077319850245736
0.75,3.5,1.9734181518417764,1.037856624044393,0.42300163778092975,1.8304116057159432
0.75,3.625,1.97586958776782,1.0102485258969627,0.5083237714795841,1.9128763920323617
0.75,3.75,1.9794160665515428,1.0018715807603709,0.5037564604569373,1.990841855566403
0.75,3.875,1.9800821883804882,1.008428172452663,0.5354663311027769,2.1099910743153543
0.75,4.0,1.9750477063771672,1.0734104867209235,0.4484510264729218,2.1867948232239427
