# Ps Pf beta Deff
1.00 5.5 0.9603421695823952 1.9479545050501663
1.00 6.0 0.9898251740397931 1.9529449300754973
1.00 6.5 0.9611616196802971 2.8707472192484906
1.00 7.0 0.9897698448407712 2.8252409721361995
1.00 7.5 1.0204099946646672 2.6435545959541167
1.00 8.0 1.010362420788614 3.507357847554418
1.25 0.5 0.9952437965849854 0.43742322421787405
1.25 1.0 0.9923849173485976 0.33557109754861614
1.25 1.5 0.9777097400692725 0.4448584458134012
1.25 2.0 1.0415882526360187 0.33825906363019526
1.25 2.5 1.0252165260335429 0.45731186280973446
1.25 3.0 1.0058096882642622 0.6210238666676592
1.25 3.5 1.0033336527536836 0.6914798055955618
1.25 4.0 1.0054434490878976 0.8053608068060422
1.25 4.5 1.013969944277384 0.8436804559726397
1.25 5.0 0.9943741740022662 1.149123672036482
1.25 5.5 1.020284254849563 1.0310569003749988
1.25 6.0 1.0200412338411262 1.226451670201356
1.25 6.5 1.0018565265236017 1.6229826563196708
1.25 7.0 1.0001687852885186 1.9585069845792948
1.25 7.5 1.0117444558426787 2.153515917241031
1.25 8.0 1.0047525405576216 2.615473195246447
1.50 0.5 0.9897775841780257 0.5683595693377905
1.50 1.0 0.9903825716474451 0.35830600012339986
1.50 1.5 0.9970095078151571 0.3867151054669916
1.50 2.0 1.0170925737188758 0.4279589269766313
1.50 2.5 0.9841421241686171 0.6493218032144037
1.50 3.0 0.9651848508590994 0.8844198509287036
1.50 3.5 1.0162869804424628 0.6726798036696328
1.50 4.0 1.0120748091167355 0.8279464823578375
1.50 4.5 0.9839973949581275 1.0772579463256635
1.50 5.0 1.010590898636316 0.9879472128212738
1.50 5.5 1.0151803989050807 1.1121657675902568
1.50 6.0 0.9961823269747024 1.4428443646156333
1.50 6.5 0.9773765158150888 1.7643247204994599
1.50 7.0 0.9987233319297533 1.7604206366638722
1.50 7.5 1.019124196040039 1.6487733261767796
1.50 8.0 0.9900170981430849 2.2445512317211826
1.75 0.5 0.98053425598895 0.7654488198292524
1.75 1.0 1.0096708058405035 0.3278742558985655
1.75 1.5 0.9643294296321571 0.4631002864137821
1.75 2.0 1.003046979117805 0.44426373548441084
1.75 2.5 0.9814269836286744 0.6571789725582913
1.75 3.0 1.0080340073090068 0.6541852432314537
1.75 3.5 0.9673995750058669 1.045432385412698
1.75 4.0 1.0246159260585204 0.7559031071405476
1.75 4.5 0.9681893504173017 1.3363627914580418
1.75 5.0 0.9705997750083578 1.439240501789976
1.75 5.5 0.9659700114308494 1.6325260239028927
1.75 6.0 0.9699597883204885 1.7272629712372176
1.75 6.5 0.9943488616895305 1.4928996671003218
1.75 7.0 1.0062546606194356 1.5947746902859221
1.75 7.5 0.9968280255642747 1.7867720797666395
1.75 8.0 0.9765936085968485 2.37766718466865
2.00 0.5 0.9921020373450835 0.8349709391744976
2.00 1.0 1.0106341530166378 0.3193848355289489
2.00 1.5 1.002755902284424 0.3304266376401632
2.00 2.0 1.006825070616768 0.3906144873734329
2.00 2.5 1.0321388252499855 0.4193763781017845
2.00 3.0 0.9994293149899361 0.6553874227997392
2.00 3.5 0.9701940803150461 1.0016289426713387
2.00 4.0 1.0035584599476528 0.9082803248773721
2.00 4.5 1.0393633094976322 0.819784757311211
2.00 5.0 1.013558293235113 1.1348370428573251
2.00 5.5 0.9996789198419491 1.2750260381533016
2.00 6.0 0.9889476212512133 1.5648693552322264
2.00 6.5 0.9869430009292358 1.6528599600727965
2.00 7.0 0.9950068209556899 1.7633396493014162
2.00 7.5 0.9516388300063002 2.596979698322286
2.00 8.0 0.9702372378158265 2.4566866121338893
2.25 0.5 1.0016484649777104 0.9230210793792423
2.25 1.0 0.9610708639705718 0.46707897373240426
2.25 1.5 0.9690162888734927 0.397568056163528
2.25 2.0 0.9978968475811436 0.387428763509599
2.25 2.5 0.999116645431448 0.4974459785815322
2.25 3.0 0.9873909146054269 0.6673870048543964
2.25 3.5 1.0048537773801067 0.7260019023797738
