# time variance
1.000000000000000021e-03 2.325613879640862024e-05
2.000000000000000042e-03 5.348094079504622653e-05
3.000000000000000062e-03 9.030678537695104036e-05
4.000000000000000083e-03 1.342019012377872232e-04
6.000000000000000125e-03 2.412364131637234274e-04
7.000000000000000146e-03 3.050401956770298299e-04
8.000000000000000167e-03 3.746858371870951288e-04
1.200000000000000025e-02 7.234033220765539703e-04
1.400000000000000029e-02 9.371247012082060913e-04
1.499999999999999944e-02 1.053641461080677020e-03
1.600000000000000033e-02 1.175037487139477931e-03
2.400000000000000050e-02 2.397799141374981971e-03
2.800000000000000058e-02 3.169415043108202851e-03
2.999999999999999889e-02 3.595217272509215658e-03
3.099999999999999978e-02 3.816588628724932458e-03
3.200000000000000067e-02 4.030802891154211184e-03
4.800000000000000100e-02 8.560715534971174989e-03
5.600000000000000117e-02 1.143826017326535736e-02
5.999999999999999778e-02 1.303444198919019061e-02
6.199999999999999956e-02 1.387245422042654962e-02
6.300000000000000044e-02 1.429754523736031548e-02
6.400000000000000133e-02 1.474695917464929722e-02
9.600000000000000200e-02 3.188038286144233985e-02
1.120000000000000023e-01 4.280787532948047286e-02
1.199999999999999956e-01 4.883338210929632356e-02
1.239999999999999991e-01 5.199830784111425519e-02
1.260000000000000009e-01 5.361952874567534055e-02
1.270000000000000018e-01 5.443310479283673675e-02
1.280000000000000027e-01 5.504581203289573427e-02
1.920000000000000040e-01 1.194989438266352566e-01
2.240000000000000047e-01 1.601996096678428849e-01
2.399999999999999911e-01 1.825892450671189049e-01
2.479999999999999982e-01 1.942470080992199088e-01
2.520000000000000018e-01 2.002273092952463196e-01
2.540000000000000036e-01 2.032436131686170544e-01
2.550000000000000044e-01 2.047531064012805269e-01
2.560000000000000053e-01 2.057843135597254847e-01
3.840000000000000080e-01 4.391675155913747908e-01
4.480000000000000093e-01 5.836492495836058669e-01
4.799999999999999822e-01 6.621970819252562812e-01
4.959999999999999964e-01 7.029969301195080345e-01
5.040000000000000036e-01 7.237198881278151807e-01
5.080000000000000071e-01 7.342324654447308641e-01
5.100000000000000089e-01 7.394641772150083447e-01
5.110000000000000098e-01 7.420925763337500314e-01
5.120000000000000107e-01 7.472864824942306861e-01
7.680000000000000160e-01 1.537638063802549082e+00
8.960000000000000187e-01 2.006506086078122308e+00
9.599999999999999645e-01 2.257391055836181160e+00
9.919999999999999929e-01 2.386550205072347275e+00
1.008000000000000007e+00 2.451984591388189916e+00
1.016000000000000014e+00 2.484894488873547580e+00
1.020000000000000018e+00 2.501458111833782638e+00
1.022000000000000020e+00 2.509657790767681806e+00
1.023000000000000131e+00 2.513783069704920603e+00
1.024000000000000021e+00 2.529671384671836609e+00
1.536000000000000032e+00 4.913386683976366243e+00
1.792000000000000037e+00 6.243009037955183693e+00
1.919999999999999929e+00 6.933154519455660747e+00
1.983999999999999986e+00 7.284146171975773854e+00
2.016000000000000014e+00 7.461072431578608999e+00
2.032000000000000028e+00 7.549855490110027212e+00
2.040000000000000036e+00 7.594323596130204024e+00
2.044000000000000039e+00 7.616689359654072788e+00
2.046000000000000263e+00 7.627709726749870356e+00
2.047000000000000153e+00 7.633237607272619130e+00
2.048000000000000043e+00 7.641430684219108649e+00
3.072000000000000064e+00 1.368887265420301524e+01
3.584000000000000075e+00 1.684624631146227713e+01
3.839999999999999858e+00 1.842490513574458078e+01
3.967999999999999972e+00 1.921868952947300002e+01
4.032000000000000028e+00 1.961628758846199361e+01
4.064000000000000057e+00 1.981503301238865689e+01
4.080000000000000071e+00 1.991470627424655859e+01
4.088000000000000078e+00 1.996446130237205097e+01
4.092000000000000526e+00 1.998934115666737910e+01
4.094000000000000306e+00 2.000173946301529071e+01
4.094999999999999751e+00 2.000796238055423970e+01
4.096000000000000085e+00 2.013440281415499200e+01
6.144000000000000128e+00 3.327404924076917325e+01
7.168000000000000149e+00 3.986745983894494572e+01
7.679999999999999716e+00 4.315338064697297682e+01
7.935999999999999943e+00 4.477108884118644738e+01
8.064000000000000057e+00 4.557954327697736119e+01
8.128000000000000114e+00 4.598403781629284737e+01
8.160000000000000142e+00 4.618696437930947951e+01
8.176000000000000156e+00 4.628832515814057302e+01
8.184000000000001052e+00 4.633931183803917264e+01
8.188000000000000611e+00 4.636454028743789024e+01
8.189999999999999503e+00 4.637702424084356778e+01
8.191000000000000725e+00 4.638325044095248018e+01
8.192000000000000171e+00 4.612753448443447724e+01
1.228800000000000026e+01 7.264789071420388211e+01
1.433600000000000030e+01 8.596110955551057486e+01
1.446499999999999986e+01 8.669817915944437914e+01
1.446600000000000108e+01 8.670484781284652342e+01
1.446799999999999997e+01 8.671753375962452992e+01
1.447199999999999953e+01 8.674418049789230167e+01
1.448000000000000043e+01 8.679533729920395047e+01
1.449600000000000044e+01 8.690117776035116037e+01
1.452800000000000047e+01 8.711288622294739525e+01
1.459200000000000053e+01 8.753348446171649755e+01
1.472000000000000064e+01 8.835793146127247155e+01
1.497600000000000087e+01 9.000921002451511299e+01
1.535999999999999943e+01 9.259496177043402554e+01
1.548799999999999955e+01 9.332710427496050443e+01
1.587199999999999989e+01 9.592495462480351875e+01
1.612800000000000011e+01 9.756058742737577916e+01
1.625600000000000023e+01 9.837832473445115511e+01
1.632000000000000028e+01 9.878213746739464796e+01
1.635200000000000031e+01 9.898463583771996355e+01
1.636800000000000210e+01 9.908630851673365214e+01
1.637600000000000122e+01 9.913743504374947690e+01
1.637999999999999901e+01 9.916291380534151756e+01
1.638200000000000145e+01 9.917550992073373095e+01
1.638299999999999912e+01 9.918162284852341770e+01
1.638400000000000034e+01 9.896966389996681812e+01
1.651200000000000045e+01 9.990629658777899635e+01
1.855999999999999872e+01 1.128613734786111280e+02
2.265599999999999881e+01 1.397189796006533697e+02
2.457600000000000051e+01 1.509362449118856659e+02
2.867200000000000060e+01 1.775662619717193706e+02
3.071999999999999886e+01 1.910415913307942901e+02
3.084799999999999898e+01 1.927834333086033780e+02
3.174399999999999977e+01 1.975465179860563012e+02
3.225600000000000023e+01 2.008274133560074972e+02
3.251200000000000045e+01 2.023973555575165619e+02
3.264000000000000057e+01 2.031870283325899891e+02
3.270400000000000063e+01 2.035756988615183047e+02
3.273600000000000421e+01 2.037696973229688524e+02
3.275200000000000244e+01 2.038672407864396519e+02
3.275999999999999801e+01 2.039172540680101520e+02
3.276400000000000290e+01 2.039423503396988622e+02
3.276599999999999824e+01 2.039544308369724774e+02
3.276700000000000301e+01 2.039604187798270232e+02
3.276800000000000068e+01 2.050308343261322079e+02
4.723199999999999932e+01 2.981916510343290838e+02
4.723300000000000409e+01 2.982335685782514929e+02
4.723400000000000176e+01 2.982403924064824992e+02
4.723600000000000421e+01 2.982548875963579462e+02
4.724000000000000199e+01 2.982829191195148724e+02
4.724799999999999756e+01 2.983389967266473377e+02
4.726400000000000290e+01 2.984492947571037575e+02
4.729599999999999937e+01 2.986720896242129584e+02
4.735999999999999943e+01 2.991142745132666505e+02
4.748799999999999955e+01 2.999685358721137618e+02
4.774399999999999977e+01 3.016589384984505386e+02
4.825600000000000023e+01 3.050229644331294026e+02
4.915200000000000102e+01 3.105523357306856269e+02
4.928000000000000114e+01 3.116933886826741400e+02
5.132800000000000296e+01 3.249043635100433676e+02
5.542399999999999949e+01 3.523224964719076979e+02
5.734400000000000119e+01 3.623569659109039094e+02
6.143999999999999773e+01 3.893153193144830766e+02
6.348799999999999955e+01 4.028714039997331042e+02
6.361599999999999966e+01 4.055164737119569054e+02
6.361700000000000443e+01 4.037300687975446749e+02
6.361800000000000210e+01 4.037369841261905208e+02
6.362000000000000455e+01 4.037514774519004845e+02
6.362400000000000233e+01 4.037796363927271273e+02
6.363199999999999790e+01 4.038347625081640899e+02
6.364800000000000324e+01 4.039452812510123749e+02
6.367999999999999972e+01 4.041697828171929814e+02
6.374399999999999977e+01 4.046152583299449930e+02
6.387199999999999989e+01 4.054758463469450476e+02
6.412800000000000011e+01 4.071786652382116358e+02
6.451200000000000045e+01 4.093385727853837466e+02
6.464000000000000057e+01 4.105551330610907712e+02
6.502400000000000091e+01 4.125909842577465838e+02
6.528000000000000114e+01 4.141155404153786890e+02
6.540800000000000125e+01 4.148945660026458881e+02
6.547200000000000841e+01 4.152761367881584533e+02
6.550400000000000489e+01 4.154702450663961599e+02
6.551999999999999602e+01 4.155651657267879955e+02
6.552800000000000580e+01 4.156139717824010518e+02
6.553199999999999648e+01 4.156379554153321010e+02
6.553400000000000603e+01 4.156497520279423838e+02
6.553499999999999659e+01 4.156556701779763330e+02
6.566400000000000148e+01 4.172819415540768659e+02
6.771200000000000330e+01 4.306578213220965381e+02
7.180800000000000693e+01 4.580141198406011540e+02
7.180899999999999750e+01 4.564706238562982321e+02
7.181000000000000227e+01 4.564773901417848379e+02
7.181199999999999761e+01 4.564917248687232245e+02
7.181600000000000250e+01 4.565208136857411887e+02
7.182399999999999807e+01 4.565758139803202766e+02
7.184000000000000341e+01 4.566886404762161078e+02
7.187199999999999989e+01 4.569130690528759260e+02
7.193600000000000705e+01 4.573583362622978825e+02
7.206400000000000716e+01 4.582172145551008384e+02
7.232000000000000739e+01 4.599152149531180385e+02
7.283200000000000784e+01 4.632700882385699970e+02
7.385599999999999454e+01 4.698774002778125123e+02
7.590399999999999636e+01 4.831309458726719868e+02
7.590500000000000114e+01 4.833985177680725656e+02
7.590600000000000591e+01 4.834052869833084287e+02
7.590800000000000125e+01 4.834195532915841795e+02
7.591200000000000614e+01 4.834483885850248726e+02
7.592000000000000171e+01 4.835034669712521236e+02
7.593600000000000705e+01 4.836162267834507702e+02
7.596800000000000352e+01 4.838403701155223189e+02
7.603199999999999648e+01 4.842859587013545024e+02
7.615999999999999659e+01 4.851457997447574826e+02
7.641599999999999682e+01 4.868503045291574836e+02
7.692799999999999727e+01 4.902007216762660846e+02
7.795199999999999818e+01 4.967957591919532661e+02
7.795300000000000296e+01 4.969411759809387377e+02
7.795400000000000773e+01 4.969479021469196596e+02
7.795600000000000307e+01 4.969622233486721825e+02
7.796000000000000796e+01 4.969907125972371205e+02
7.796800000000000352e+01 4.970459006595975779e+02
7.798399999999999466e+01 4.971578938338827811e+02
7.801600000000000534e+01 4.973808964610778958e+02
7.807999999999999829e+01 4.978250454215124137e+02
7.820799999999999841e+01 4.986819747282900153e+02
7.846399999999999864e+01 5.003807402574720982e+02
7.897599999999999909e+01 5.037214039472493141e+02
7.897700000000000387e+01 5.033597175081883961e+02
7.897800000000000864e+01 5.033664534698098123e+02
7.898000000000000398e+01 5.033807741626113739e+02
7.898399999999999466e+01 5.034093325132249674e+02
7.899200000000000443e+01 5.034648047401442454e+02
7.900799999999999557e+01 5.035769182356569900e+02
7.904000000000000625e+01 5.037997042315696490e+02
7.910399999999999920e+01 5.042443836669942812e+02
7.923199999999999932e+01 5.051032349538239714e+02
7.948799999999999955e+01 5.068040902591957320e+02
7.948900000000000432e+01 5.065834662188714219e+02
7.948999999999999488e+01 5.065902188051194344e+02
7.949200000000000443e+01 5.066045449207240381e+02
7.949599999999999511e+01 5.066331059303053053e+02
7.950400000000000489e+01 5.066886847345321030e+02
7.951999999999999602e+01 5.068008702838806130e+02
7.955200000000000671e+01 5.070236156474289828e+02
7.961599999999999966e+01 5.074683321470470219e+02
7.974399999999999977e+01 5.083288173232959934e+02
7.974500000000000455e+01 5.081265468515802013e+02
7.974599999999999511e+01 5.081333057559742201e+02
7.974800000000000466e+01 5.081476403055152105e+02
7.975199999999999534e+01 5.081762365412705549e+02
7.976000000000000512e+01 5.082319026578115881e+02
7.977599999999999625e+01 5.083441309642608985e+02
7.980800000000000693e+01 5.085669848170942942e+02
7.987199999999999989e+01 5.090120625664104637e+02
7.987300000000000466e+01 5.089105143075288424e+02
7.987399999999999523e+01 5.089172764008442300e+02
7.987600000000000477e+01 5.089316187543207661e+02
7.987999999999999545e+01 5.089602484134051110e+02
7.988800000000000523e+01 5.090159751891288806e+02
7.990399999999999636e+01 5.091282565312526458e+02
7.993600000000000705e+01 5.093512434736494470e+02
7.993699999999999761e+01 5.092952389101614017e+02
7.993800000000000239e+01 5.093020017966830437e+02
7.993999999999999773e+01 5.093163526116172761e+02
7.994400000000000261e+01 5.093450035612146394e+02
7.995199999999999818e+01 5.094007609173039555e+02
7.996800000000000352e+01 5.095130761428757751e+02
7.996900000000000830e+01 5.094910200198304437e+02
7.996999999999999886e+01 5.094977835216838002e+02
7.997200000000000841e+01 5.095121380884643258e+02
7.997599999999999909e+01 5.095407972619079828e+02
7.998399999999999466e+01 5.095965671731472639e+02
7.998499999999999943e+01 5.095865115832721131e+02
7.998600000000000421e+01 5.095932755077747061e+02
7.998799999999999955e+01 5.096076304938975454e+02
7.999200000000000443e+01 5.096362927586825435e+02
7.999299999999999500e+01 5.096351376333664120e+02
7.999399999999999977e+01 5.096419018609710747e+02
7.999599999999999511e+01 5.096562574426767469e+02
7.999699999999999989e+01 5.096598086361625519e+02
7.999800000000000466e+01 5.096665729998101142e+02
7.999899999999999523e+01 5.096714876250376847e+02
8.000000000000000000e+01 5.100225480133644851e+02
8.000100000000000477e+01 5.096842999427550467e+02
8.000199999999999534e+01 5.096926075183439480e+02
8.000300000000000011e+01 5.096986558502522939e+02
8.000400000000000489e+01 5.097095936276180055e+02
8.000600000000000023e+01 5.097212728949820075e+02
8.000700000000000500e+01 5.097273217165193273e+02
8.000799999999999557e+01 5.097406979547067749e+02
8.001200000000000045e+01 5.097653726205896874e+02
8.001399999999999579e+01 5.097770524771987084e+02
