# time variance
1.000000000000000021e-03 2.310296718605451578e-05
2.000000000000000042e-03 5.250144225358339565e-05
3.000000000000000062e-03 8.784915064595026884e-05
4.000000000000000083e-03 1.290836994922378383e-04
6.000000000000000125e-03 2.309146937146649547e-04
7.000000000000000146e-03 2.910469800948955869e-04
8.000000000000000167e-03 3.558159807050609909e-04
1.200000000000000025e-02 6.791536767803554387e-04
1.400000000000000029e-02 8.793882814640109971e-04
1.499999999999999944e-02 9.886873793969704668e-04
1.600000000000000033e-02 1.105761466329885758e-03
2.400000000000000050e-02 2.241626145967598287e-03
2.800000000000000058e-02 2.954881060339565289e-03
2.999999999999999889e-02 3.350246682777242597e-03
3.099999999999999978e-02 3.556480031682461226e-03
3.200000000000000067e-02 3.762199477732665418e-03
4.800000000000000100e-02 7.970060013259658294e-03
5.600000000000000117e-02 1.064147932632406729e-02
5.999999999999999778e-02 1.211827799936150002e-02
6.199999999999999956e-02 1.289731497339486298e-02
6.300000000000000044e-02 1.329439663245431114e-02
6.400000000000000133e-02 1.362764587377238851e-02
9.600000000000000200e-02 2.955691767541332796e-02
1.120000000000000023e-01 3.975056529811955147e-02
1.199999999999999956e-01 4.537590290119006969e-02
1.239999999999999991e-01 4.832264142045329669e-02
1.260000000000000009e-01 4.984316030671191722e-02
1.270000000000000018e-01 5.060537495810013553e-02
1.280000000000000027e-01 5.126168439550244510e-02
1.920000000000000040e-01 1.116713736245153327e-01
2.240000000000000047e-01 1.500113462721786028e-01
2.399999999999999911e-01 1.711397146713153627e-01
2.479999999999999982e-01 1.821434933749769003e-01
2.520000000000000018e-01 1.877560303790597185e-01
2.540000000000000036e-01 1.906148603424682730e-01
2.550000000000000044e-01 1.920393741334515125e-01
2.560000000000000053e-01 1.917220570235363963e-01
3.840000000000000080e-01 4.108050386045730695e-01
4.480000000000000093e-01 5.450606825072964456e-01
4.799999999999999822e-01 6.176985332368010173e-01
4.959999999999999964e-01 6.553212257376960226e-01
5.040000000000000036e-01 6.743847108393903333e-01
5.080000000000000071e-01 6.839927691471594517e-01
5.100000000000000089e-01 6.888402124699724016e-01
5.110000000000000098e-01 6.912518395909633684e-01
5.120000000000000107e-01 6.828351019705759528e-01
7.680000000000000160e-01 1.370629422966682442e+00
8.960000000000000187e-01 1.760281467860426829e+00
9.599999999999999645e-01 1.962589403448889325e+00
9.919999999999999929e-01 2.065502754009140407e+00
1.008000000000000007e+00 2.117260955574859160e+00
1.016000000000000014e+00 2.143190904819298748e+00
1.020000000000000018e+00 2.156221831595794836e+00
1.022000000000000020e+00 2.162748729084587485e+00
1.023000000000000131e+00 2.165983640773369245e+00
1.024000000000000021e+00 2.171871573818673351e+00
1.536000000000000032e+00 3.868280033303058474e+00
