Pe_w,Pf_Pe,alpha,xspeed
0.0,0.0,0.9724301552215449,0.08349931107552633
0.22,0.0,1.0493865053864735,0.18101289747816351
0.44,0.0,1.0700036743546701,0.26894026788167963
0.67,0.0,0.9533186391037335,0.4146729808994775
0.89,0.0,1.199156927586752,0.5948752472597444
1.11,0.0,1.2231326441727255,0.8941595349262842
1.33,0.0,1.2385349681012694,1.077734618038202
1.56,0.0,1.2970218682940091,1.1099725975861128
1.78,0.0,1.291999173273478,1.3565579371352434
2.0,0.0,1.408276684259639,1.632106884622326
0.0,0.22,0.8162631409183811,0.10013100614433375
0.22,0.22,1.3726666739552897,0.42170259955060574
0.44,0.22,1.348870233443956,0.6177018991374585
0.67,0.22,1.397896547836342,0.6623774948089819
0.89,0.22,1.0355478363057853,0.6230525516728231
1.11,0.22,1.1698983139632244,0.7187312049875108
1.33,0.22,1.0312843809987084,0.5353972147525172
1.56,0.22,0.7516323581178834,0.41851482882819047
1.78,0.22,0.5297361380421627,0.34335768645870046
2.0,0.22,0.45488193661221116,0.30944706797183186
0.0,0.44,0.864609613224959,0.08583368574278566
0.22,0.44,1.662991504270511,0.709167209548085
0.44,0.44,1.6455386978640438,0.9922789274697251
0.67,0.44,1.5834569967976218,0.9839506262557994
0.89,0.44,1.2750604762508915,0.7617202133375417
1.11,0.44,0.9415863385038779,0.5088729164967998
1.33,0.44,0.7404562184597816,0.3869456100138839
1.56,0.44,0.32055105901526815,0.17879757196564594
1.78,0.44,0.3730226655320238,0.14019774292168674
2.0,0.44,0.28961511661106965,0.11744145816730807
0.0,0.67,1.1024532914442409,0.09829391442520423
0.22,0.67,1.8330403177008194,0.9983265576588372
0.44,0.67,1.7905497294564279,1.5141072606703987
0.67,0.67,1.6473957637872008,1.449764953209859
0.89,0.67,1.5223301750772118,1.2432984821872963
1.11,0.67,1.1539212984430818,0.8201591326265785
1.33,0.67,0.7253923534034752,0.352499558689679
1.56,0.67,0.30973878819762424,0.1520860008714136
1.78,0.67,0.2707902752328706,0.06601988517060593
2.0,0.67,-0.1111023382679266,0.07041752303496734
0.0,0.89,1.0239653142635763,0.09895855752955784
0.22,0.89,1.8751298560302554,1.3741626456513345
0.44,0.89,1.888664089377136,2.038287613329439
0.67,0.89,1.752962881579115,2.0984550559520194
0.89,0.89,1.7105514522630174,1.941107453579467
1.11,0.89,1.4779390766918667,1.6115131171106833
1.33,0.89,1.225721853212882,0.9810722653731534
1.56,0.89,1.259567025046074,0.6541768373454233
1.78,0.89,0.821999061823415,0.2907045210411029
2.0,0.89,0.4711371403514674,0.17099979746778587
0.0,1.11,0.892994990446656,0.08219037127557119
0.22,1.11,1.9600805304909767,1.6520067591960617
0.44,1.11,1.9376870734844642,2.5581448240929596
0.67,1.11,1.8970963941742236,2.912479630361054
0.89,1.11,1.9296252935192193,3.06075446505026
1.11,1.11,1.8369221552072483,2.9914616945883887
1.33,1.11,1.8057420217195312,2.83876435151188
1.56,1.11,1.7535521401890215,2.5779649277522423
1.78,1.11,1.8288156521308219,2.481001167735563
2.0,1.11,1.7901905451811837,2.2876098900213635
0.0,1.33,0.7649012242651264,0.09397338962504419
0.22,1.33,1.8991210605287678,1.9818252803339411
0.44,1.33,1.916120709720791,3.1848320600797164
0.67,1.33,1.9059624987260984,3.9137845283222443
0.89,1.33,1.9354842441279707,4.325321350843892
1.11,1.33,1.919707597035878,4.68175497433145
1.33,1.33,1.8799701376425058,5.003493074395055
1.56,1.33,1.9400359791792068,5.372420727690744
1.78,1.33,1.955443946129281,5.4951713422735295
2.0,1.33,1.9357246757070672,5.95121736616859
0.0,1.56,0.9489546880326526,0.10293871970835176
0.22,1.56,1.9872267985337007,2.3683669512840435
0.44,1.56,1.9693583106394368,3.8521736835244003
0.67,1.56,1.932949233937663,4.966349921029581
0.89,1.56,1.9611317559371761,5.903766640335514
1.11,1.56,1.9248424960484753,6.736413355441176
1.33,1.56,1.9440250984974703,7.498333019883964
1.56,1.56,1.9710463947243069,8.266630103290872
1.78,1.56,1.9516426859733926,9.04075035154674
2.0,1.56,1.965712413859061,9.756297770227837
0.0,1.78,0.7934116360108525,0.09214652882519375
0.22,1.78,1.9548177670942457,2.7064962612516275
0.44,1.78,1.9799427602825412,4.546172292370274
0.67,1.78,1.9294843471835217,6.199921517449106
0.89,1.78,1.9880222701904504,7.4053920948016865
1.11,1.78,1.9934266994337932,8.703205983889294
1.33,1.78,1.9909871314167829,10.050731949510181
1.56,1.78,1.9837555727166993,11.162259173537539
1.78,1.78,1.9794326836322917,12.416300320406823
2.0,1.78,1.9812094431878264,13.70781216064788
0.0,2.0,0.8961134106539146,0.07624816847109042
0.22,2.0,1.9829622591163276,3.0714452055102903
0.44,2.0,1.9679542087848356,5.3081208169976595
0.67,2.0,1.9351905656588786,7.292562643823772
0.89,2.0,1.98281088332896,9.00710607422176
1.11,2.0,1.9925764657249339,10.817177798685943
1.33,2.0,1.984079795623109,12.536805748246579
1.56,2.0,1.983632029246368,14.262916171548339
1.78,2.0,1.9905666958016246,16.02856460437166
2.0,2.0,1.9801504225361086,17.760977525910516
