# G = 0.0
# D = 0.01
lp_w,Pf_Ps,alpha,beta,D_eff,mean_vx
0.25,0.125,1.1676348292138148,1.0198599634650447,0.03622262613553103,0.0254649135799273
0.25,0.25,1.3740193657534243,1.060821683847762,0.03366446289662675,0.012710165517932167
0.25,0.375,1.5258833132616818,1.0277573102443318,0.037387616696842464,0.054648259764270825
0.25,0.5,1.6652651238971985,1.0122409585327543,0.04093887554641441,0.03506915210638337
0.25,0.625,1.7357152279561832,1.0374896108027487,0.038682274496203276,0.07755266388656754
0.25,0.75,1.782038087424588,1.040326817321715,0.03729578817604155,0.09250812397439745
0.25,0.875,1.8246223684850496,1.0709322382540802,0.03723262826345013,0.11143177860000116
0.25,1.0,1.8381455523966463,1.0064596217873807,0.04862335228868722,0.11605345781324246
0.25,1.125,1.8528425679194072,1.067600098231472,0.040597779608817955,0.15800215670356826
0.25,1.25,1.848488178288326,1.0265916666547008,0.05069268850729322,0.19423614733854452
0.25,1.375,1.8653523147568791,0.9635306890256112,0.06518641147510025,0.15056394075940288
0.25,1.5,1.9016812706147788,1.0834232695730817,0.046187901002731444,0.2192514081422982
0.25,1.625,1.8880697107221533,1.0484409691263668,0.053078111301682766,0.22816261074186853
0.25,1.75,1.9058791851364008,1.0506004315378208,0.055956872875804205,0.22667610651101242
0.25,1.875,1.8952868250241914,1.0845472756576229,0.05044803030501147,0.2589899384076738
0.25,2.0,1.9138574370929924,1.0634578743677299,0.06422574042123377,0.2845125056852055
0.5,0.125,1.1496638994922188,1.0503154012444966,0.11235526848469446,0.021334096690248123
0.5,0.25,1.3196246392700595,1.008257258238841,0.12375689159815531,0.06719521598734067
0.5,0.375,1.5189709451820619,1.065486012271554,0.10380268440630876,0.07690001607770813
0.5,0.5,1.6557006168865607,1.01599099429725,0.12800473362326753,0.09431174455046724
0.5,0.625,1.693986941515027,1.0181986375497785,0.12848624188084037,0.15583641454184052
0.5,0.75,1.7473208657671708,1.0141406958429315,0.14236863040029188,0.1769323961784483
0.5,0.875,1.8031587609246587,1.0100883870577229,0.14157861997250676,0.19037575882002702
0.5,1.0,1.8237157598273952,1.0497672228471957,0.1332006634444784,0.2262743399270175
0.5,1.125,1.8593710205719514,1.0278010846781047,0.1446080758287849,0.26591049444755205
0.5,1.25,1.840499505176033,0.9924215137147091,0.17512451287114034,0.2894207402819893
0.5,1.375,1.856041454963919,1.0201804824213976,0.16476592693494546,0.2841364751589296
0.5,1.5,1.8775595503544296,1.0093496751134519,0.17676172678728744,0.34514862821989534
0.5,1.625,1.8852952542178751,0.9858822476377413,0.21118956532743485,0.36078684300629077
0.5,1.75,1.8954714753948745,1.047844000358734,0.16379418697836626,0.38757374874671885
0.5,1.875,1.9065137777296968,1.0400996945605816,0.1848021271203492,0.4041316866034425
0.5,2.0,1.899363187845493,1.075764587312658,0.16973833000589608,0.4747202490683931
0.75,0.125,1.1271933221266222,1.053675870263558,0.22538385012669296,0.05325145179603632
0.75,0.25,1.337587814380939,1.1084684372734317,0.18938628807707,0.07501155228655547
