# Ps Pf alpha
0.25 0.5 1.9992298844306728
0.25 1.0 1.999151950012727
0.25 1.5 1.9996130586260779
0.25 2.0 2.00065292635353
0.25 2.5 2.0003696794442507
0.25 3.0 2.0005725094618914
0.25 3.5 1.998879153775694
0.25 4.0 2.0003046169305327
0.25 4.5 2.0001959962276037
0.25 5.0 1.9998467522342698
0.25 5.5 1.9998076269599994
0.25 6.0 2.0003181659987304
0.25 6.5 2.000348155342026
0.25 7.0 2.0003147182037315
0.25 7.5 1.9995139534866966
0.25 8.0 2.0010324484483055
0.50 0.5 1.9961645345277168
0.50 1.0 2.0002581259194763
0.50 1.5 1.9993103106494319
0.50 2.0 2.00025856628379
0.50 2.5 2.00054028339842
0.50 3.0 2.000253705915036
0.50 3.5 2.000003531876443
0.50 4.0 2.000657166291838
0.50 4.5 2.0001460002003024
0.50 5.0 1.9996687604191887
0.50 5.5 2.0000796702015413
0.50 6.0 2.000966688985012
0.50 6.5 1.9998276486097157
0.50 7.0 1.9995934583125332
0.50 7.5 1.999813967666503
0.50 8.0 1.9997616678897288
0.75 0.5 1.9822270700615687
0.75 1.0 1.9977792779413814
0.75 1.5 2.001425138348538
0.75 2.0 1.9998773683984439
0.75 2.5 1.9996816999776479
0.75 3.0 1.9994192373718978
0.75 3.5 2.0010941263973616
0.75 4.0 2.000064421293853
0.75 4.5 2.000387299620705
0.75 5.0 1.99956255694541
0.75 5.5 2.000239068815247
0.75 6.0 2.0000866887448474
0.75 6.5 2.000039986659843
0.75 7.0 1.9999998073808076
0.75 7.5 1.999778684129385
0.75 8.0 1.9997975592746977
1.00 0.5 1.9989594381600517
1.00 1.0 1.9538490104660797
1.00 1.5 1.9990030397129546
1.00 2.0 1.999674780762366
1.00 2.5 1.999431663333137
1.00 3.0 2.000706195394445
1.00 3.5 2.000048994617799
1.00 4.0 1.9996601735290833
1.00 4.5 1.9998849922835702
1.00 5.0 2.0002094635319754
1.00 5.5 1.99993242049979
1.00 6.0 1.9997276123031713
1.00 6.5 1.9998178335897885
1.00 7.0 2.000289891583874
1.00 7.5 2.000449599633524
1.00 8.0 1.9997455642816833
1.25 0.5 1.9963150887012198
1.25 1.0 2.0011113213273393
1.25 1.5 1.43566915903848
1.25 2.0 1.9991206126658936
1.25 2.5 2.0002602697101026
1.25 3.0 1.999248391093044
1.25 3.5 1.9990904254411745
1.25 4.0 1.9995914598576707
1.25 4.5 2.000354963844696
1.25 5.0 1.9999757574304846
1.25 5.5 1.999932456792548
1.25 6.0 2.000168873297395
1.25 6.5 2.0000697755342194
1.25 7.0 1.9996791105780454
1.25 7.5 1.9996323522278086
1.25 8.0 2.0000128762159606
1.50 0.5 1.9979281661033728
1.50 1.0 1.998459522764186
1.50 1.5 1.99653815023867
1.50 2.0 1.9391676851531225
1.50 2.5 1.9994721477959772
1.50 3.0 2.00028089581082
1.50 3.5 1.9997292371576239
1.50 4.0 2.000382244558302
1.50 4.5 1.9996028682175178
1.50 5.0 2.0000211878543808
1.50 5.5 1.999841254332287
1.50 6.0 2.0004124441414373
1.50 6.5 2.000280076873177
1.50 7.0 2.0000811448545166
1.50 7.5 2.000924889580152
1.50 8.0 1.9999382301742539
1.75 0.5 1.99899071473167
1.75 1.0 1.9995450705716333
1.75 1.5 1.999749257421068
1.75 2.0 1.996345588889535
1.75 2.5 1.9810051944579945
1.75 3.0 1.999365894922467
1.75 3.5 1.999833920581297
1.75 4.0 1.9996431903288734
1.75 4.5 1.9998187859445464
1.75 5.0 1.9999452736381769
1.75 5.5 2.0000182077116695
1.75 6.0 1.9999269279201255
1.75 6.5 2.0000968893250795
1.75 7.0 1.9997340469341571
1.75 7.5 2.0006352862796377
1.75 8.0 1.9995996601479673
2.00 0.5 1.9997999591323647
2.00 1.0 1.9993034927898408
2.00 1.5 2.0004137768165626
2.00 2.0 1.9998742448249525
2.00 2.5 1.9984523439104775
2.00 3.0 1.989053940692522
2.00 3.5 2.0000100226481177
2.00 4.0 1.9993744272899674
2.00 4.5 1.999487064180765
2.00 5.0 2.0003824960268872
2.00 5.5 2.0004295893526924
2.00 6.0 2.0001273178590857
2.00 6.5 2.000124764254687
2.00 7.0 1.9995139175581877
2.00 7.5 2.0000287709701547
2.00 8.0 1.9997743082172472
2.25 0.5 1.9997045526520167
2.25 1.0 2.000043519559806
2.25 1.5 1.9988871387936455
2.25 2.0 1.9986697617607734
2.25 2.5 2.0004239897716247
2.25 3.0 1.99837833844728
2.25 3.5 1.9808405546890235
2.25 4.0 2.0001428991794694
2.25 4.5 1.9987226260131192
2.25 5.0 2.0001155099278574
2.25 5.5 1.999736955381173
2.25 6.0 1.999437901709349
2.25 6.5 1.9994017860250077
2.25 7.0 2.0002140030930247
2.25 7.5 2.000107378414339
2.25 8.0 2.0003992997149873
2.50 0.5 1.9995601784009929
2.50 1.0 1.999720856154516
2.50 1.5 1.9995511013925962
2.50 2.0 2.000420676596175
2.50 2.5 2.000103317087808
2.50 3.0 2.0017043262183423
2.50 3.5 1.993331789917108
2.50 4.0 1.976979456746892
2.50 4.5 1.9984006930336702
2.50 5.0 2.000592022622892
2.50 5.5 1.9992895094881087
2.50 6.0 2.0005927096080938
2.50 6.5 1.9995882206552873
2.50 7.0 1.9999565494440537
2.50 7.5 2.000112219922415
2.50 8.0 2.000482732588242
2.75 0.5 2.0003588202901503
2.75 1.0 1.999701365967389
2.75 1.5 2.000060539444274
2.75 2.0 1.9994387777244933
