Pe_w,Pf_Pe,alpha,xspeed
0.0,0.0,0.8041286551333581,0.08997863350033007
1.0,0.0,1.2374253564504127,0.7130971294060291
2.0,0.0,1.0044052911930754,1.370387736513028
3.0,0.0,1.1618784477670436,1.9224496140241483
4.0,0.0,1.2952460231173624,3.5240924138351244
5.0,0.0,1.1127091985198279,3.4315709184270746
6.0,0.0,0.9533971675853289,4.2253469676000535
7.0,0.0,1.2332510155733805,5.620407841687819
8.0,0.0,1.240510726205429,6.281054675302731
9.0,0.0,4.620026626137895,6.937334024737076
10.0,0.0,1.0031182938949663,6.831047396665717
0.0,1.0,0.9000635496851481,0.0998996979646739
1.0,1.0,1.859326129149288,2.4190924705365653
2.0,1.0,1.3276192526804411,0.7650061460589115
3.0,1.0,-0.09035778729508297,0.057835906003955814
4.0,1.0,-0.07395350548704228,0.014461812882462937
5.0,1.0,0.045298672185657904,0.0013985980657654584
6.0,1.0,-0.0038373427136822904,-0.007687270221270816
7.0,1.0,-0.012294160732018283,-0.006079922646938506
8.0,1.0,0.005243789643424896,-0.008497879527729313
9.0,1.0,0.004605831998209539,-0.010660172916163392
10.0,1.0,0.00020047443508296547,-0.009191372591785705
0.0,2.0,0.9264761650601471,0.09051375451232314
1.0,2.0,1.9911081719176706,9.96060830437624
2.0,2.0,1.9873689036828766,17.733061808762116
3.0,2.0,1.996241033559772,25.50249972912655
4.0,2.0,1.9885821785993971,33.46625691705551
5.0,2.0,1.9959696612648476,41.54214077483448
6.0,2.0,1.9961293364042567,49.63837356429702
7.0,2.0,1.997302424546784,57.694219329619166
8.0,2.0,1.998842236620043,65.84362295346756
9.0,2.0,1.996617122997906,73.78177766078032
10.0,2.0,1.9970608824997025,81.78245123649953
0.0,3.0,1.07226174002616,0.10419456563872044
1.0,3.0,1.9994755562070876,18.989002312211905
2.0,3.0,1.9947785224660486,36.637613681020795
3.0,3.0,1.9971334213106262,54.02875215566227
4.0,3.0,1.9998056230135433,71.3637628377407
5.0,3.0,2.0010197399337053,88.73102724377999
6.0,3.0,1.998225460829991,106.05350717111642
7.0,3.0,2.001000997741547,123.47259759428871
8.0,3.0,1.997942733082497,140.4874807995817
9.0,3.0,2.0007144271303385,157.5159356316919
10.0,3.0,1.9990185185078093,174.54995924990098
0.0,4.0,0.9196610374391259,0.1055998194828915
1.0,4.0,1.9960906340092932,28.228973209499838
2.0,4.0,2.004322218940226,56.002503557403806
3.0,4.0,1.997968675657142,83.37746494132821
4.0,4.0,2.0007736299948444,110.49897386043875
5.0,4.0,2.001167958515593,137.47134876957364
6.0,4.0,2.000348561343325,164.4085170090237
7.0,4.0,1.9991007063507162,191.11790588450648
8.0,4.0,2.0004432776798406,217.62571346544112
9.0,4.0,2.000224978913136,244.08296124848314
10.0,4.0,1.999249718310265,270.43504750413683
0.0,5.0,0.9776798196625683,0.09473338600359112
1.0,5.0,1.9995581979819599,37.57775771274938
2.0,5.0,1.9979217157842952,75.31903031519973
3.0,5.0,2.002064475404758,113.14241100969677
4.0,5.0,1.997830705190475,150.51111122722062
5.0,5.0,2.0006495843759686,187.93023912985586
6.0,5.0,1.9995602004900173,225.21542287600488
7.0,5.0,1.9993352475355017,262.34549737952966
8.0,5.0,1.999542157590172,299.5292218195087
9.0,5.0,2.001283461668472,336.5006921853684
10.0,5.0,2.0004035334392314,373.74145876522675
0.0,6.0,0.8765930883970953,0.07894847477912138
1.0,6.0,2.0011025943621257,46.634574940382784
2.0,6.0,2.0007691436265334,94.25644644442323
3.0,6.0,2.0007451206907447,142.1121702845346
4.0,6.0,2.0002568041376816,189.72689667411873
5.0,6.0,2.0005051495955186,237.7315891792518
6.0,6.0,2.001048478912658,285.5549798778169
7.0,6.0,2.000790819853308,334.13852785560556
8.0,6.0,1.999993739718072,382.57770622333715
9.0,6.0,1.9999272538949895,431.39737472061256
10.0,6.0,2.001036741430184,480.83332587283746
0.0,7.0,0.8645469742618382,0.07994754610884452
1.0,7.0,2.0048557204469746,55.50638158893962
2.0,7.0,2.0026288910803194,112.3516768624534
3.0,7.0,1.998583934031069,169.61187585566802
4.0,7.0,1.9995659901410534,226.87963721880752
5.0,7.0,2.0005120697944623,284.2167948949317
6.0,7.0,1.9999419691450342,341.4941017945051
7.0,7.0,2.001054728918268,398.96217169337433
8.0,7.0,2.000388273524869,456.2189304147455
9.0,7.0,1.9984948884273512,513.8733029891501
10.0,7.0,1.9996218547812585,571.7313085874416
0.0,8.0,0.8614713556969728,0.09158992804955338
1.0,8.0,2.0040488244319414,64.08408001864149
2.0,8.0,2.0000492874399893,129.79537289710507
3.0,8.0,1.9994588584038349,195.7391615099775
4.0,8.0,1.9992857365725545,261.15596020836097
5.0,8.0,1.9997214141601525,326.0598878464377
6.0,8.0,1.9987169444541035,390.4016354986419
7.0,8.0,1.9979331588749518,454.36928940840306
8.0,8.0,1.9992444907021143,517.116846540053
9.0,8.0,2.0004832796509975,579.328418749145
10.0,8.0,1.9985904501676306,640.7340814081664
0.0,9.0,0.8959165985170351,0.0861477397001073
1.0,9.0,2.0014909440516893,73.00274434357219
2.0,9.0,2.004820114403389,146.65589970741303
3.0,9.0,2.0042321689329112,220.45355180660783
4.0,9.0,2.0044860097802624,293.45402348594257
5.0,9.0,2.000814785834854,364.16340355237435
6.0,9.0,1.997434532140018,434.33362416603666
7.0,9.0,1.9962367295494985,503.23395619504527
8.0,9.0,1.9977388468214659,569.6127663014404
9.0,9.0,1.99741539959151,633.8741255591216
10.0,9.0,2.0021925436927757,696.7575686449712
0.0,10.0,0.983636064267611,0.09041696297531797
1.0,10.0,1.998441670874194,81.0619481505864
2.0,10.0,1.9988249827143914,163.25884413399098
3.0,10.0,1.9968353679840678,244.65565985288586
4.0,10.0,2.0029233951813157,323.93455304893916
5.0,10.0,2.0011014303768317,400.61972569148236
6.0,10.0,1.9976739403832642,475.9168790321424
7.0,10.0,1.9989230089200105,549.4025568112897
8.0,10.0,1.99459822348909,616.567776226254
9.0,10.0,1.997479643215391,685.8361959415113
10.0,10.0,2.000957224838213,748.2501203052249
