x,y,theta
-0.013976959452160567,0.3613400984733055,-1.2419935827657302
-0.002607222541028258,0.36000633003176497,-1.2589818966455826
0.011094993998561646,0.3657129444174194,-1.1596732709731181
0.024121905301426372,0.3606442472534562,-1.2232052891220937
0.03231586465562829,0.3475296647750412,-1.0607288915556454
0.11536831393105784,0.3354084705002935,-1.3895807270338085
0.22329133070822668,0.2594031462165546,-1.390336707236801
0.3683864130428635,0.058921381580844784,-1.8980718526189309
0.2179206068769899,0.0032434487725874145,-2.9895291282294445
-0.5605479018359592,0.10440425817233331,2.7462802892031757
-0.799755871031016,0.2864646991091913,-3.120958399596266
-1.1312650370687338,0.6595072195940217,-2.325924351846535
-3.2720195667637393,0.2581469543250502,-1.517943407542145
-4.849284910936447,0.5942385132817751,-2.253390120700179
-16.21543728397604,0.9949478248063713,3.0007191203307784
-36.95919588377815,0.17813258285386194,-2.6578312389390026
-81.2184742914698,0.04141326722651208,-2.940578753577356
-97.13249585989689,0.3006602194033879,-1.2975448998443535
-97.13111442857833,0.2946663972723257,-1.3275196627410568
-97.12643476384864,0.28456169566709166,-1.4162634285275066
-97.13172650559395,0.2720202116928547,-1.2779361523928001
-97.09239315843162,0.25343423970365947,-1.349602297288615
-97.05499227435664,0.19312142620202793,-1.5246847817103066
-97.0062974886285,0.1138008161018615,-2.021488295843814
-97.00877473379764,0.0010425060475674234,-1.9253581989351798
-97.30449758674958,0.013174673914391559,3.0854817602761795
-97.8868132109611,0.18846394283069903,2.079055315977959
-98.20787900048806,0.9924422547548507,2.792640223685801
-100.0045059283891,0.9917738759314495,2.6125983344884007
-103.31525993037707,0.9978048205445941,2.72136832428194
-110.0331358184435,0.058847802025227214,2.518232364022735
-120.76203094246607,0.6982320035316743,-1.5729771556182477
-142.95295201208714,0.02604932659937256,-2.825835265779142
-190.3739541717047,0.9374921543068979,-3.129489530010886
-209.3568373796036,0.9973476753845123,3.019321955368092
-209.35785535674995,0.9989130602352632,2.9881610320348413
-209.37126319560488,0.9963227152282744,2.962044824588631
-209.3838687953466,0.9976322886381352,2.915604592923655
-209.40476724105687,0.9977642939200266,2.9000689818450587
-209.429128011338,0.987856514100099,3.084905514478959
-209.55011436091576,0.9882490056139747,-3.0565364526435506
-209.62160700846567,0.956976745169039,-2.622006369766579
-209.46474277342674,0.6805933318858703,-1.736558823936166
-209.16871240146088,0.020422209934919576,-2.628365845438426
-210.2440318386955,0.23199191043196793,2.4393552402643213
-211.27991047518117,0.5582509233622803,-1.2897504737937229
-214.20910716197207,0.978681250067782,2.9789930825689126
-219.45561031616873,0.9978267336685386,2.4155327040573233
-228.9329145133922,0.1965187692405832,-1.378037081753368
-246.43597389155235,0.14588082817573633,-3.0804887742236366
-274.7962028340075,0.06259288700915079,-2.9612237568137543
-291.0082444847492,0.25087490822694336,2.9347349486534817
-290.9976952568556,0.24705196085518585,2.8756679840834654
-291.0042333511815,0.2490831506962325,2.8529268477032534
-291.0044352675837,0.25035097513147014,2.7452449931321716
-291.01438403296254,0.28299965630129814,2.776784195110121
-291.0149786622454,0.3028147229457034,3.0315949526720773
-290.9913993899274,0.32657144821264766,-2.9429680303974735
-290.9807708159075,0.22379381710822815,-2.486401910467995
-291.18178266149977,0.10740778964400138,-2.5392763034325037
-291.7279529919391,0.004707995544490104,-2.9554101382016387
-291.95614758247467,0.5476193649481341,-3.080800972242303
-292.23116781095916,0.6456412483873755,2.8259228086693646
-296.1938738336649,0.6650852738332984,-2.457638374901628
-299.71713710981146,0.001720905721186848,-2.641618233487879
-305.39778503659096,0.8610274942917341,1.8286826551993656
-328.3582160462774,0.003525185633676342,-2.3741681647371182
-365.12137402284435,0.7203608533254239,2.4906823470640482
-373.76056356819436,0.1813846128968092,-2.3942195084764353
-373.771953467897,0.17556761167083995,-2.370112662588796
-373.7746347872972,0.1697595014239268,-2.1859638192420747
-373.7832184416112,0.16525281199910605,-2.130900909277167
-373.78412415839927,0.15703958245794225,-2.2631422481225005
-373.8030321243575,0.15438388008397036,-2.3143373318402443
-373.7880922274093,0.10082290427594164,-2.702269970895614
-373.8735222221956,0.004809116146257483,-2.590063658721561
-374.19293645657626,0.012574519395472716,3.080613218604401
-374.7923698041408,0.07740205715277831,2.0728871837850855
-374.67134216882295,0.9898871738374447,2.271435774217723
-375.8650806172359,0.2765416330714349,-1.1980551121934997
-379.6445325161465,0.9824797378195933,-3.0929188058542674
-384.1190248726342,0.8965018332886717,-2.8242170947067935
-391.9839220545261,0.9861006691990352,2.567783961733933
-407.3593533066988,0.9984886371512398,2.3883519543558194
-451.1550130838712,0.31547903257842463,3.1236256350344993
-464.95722420650964,0.7597267640400733,-0.24696935069862036
-464.9504124284514,0.7565816958187609,-0.23665795418717872
-464.9386149094341,0.756676383000837,-0.17282525904574486
-464.9204150952554,0.7656793728964097,-0.18620666994216872
-464.8895228230784,0.7639380508427611,-0.2503559714272434
-464.83696753972754,0.7813164139481537,-0.42972196772928584
-464.69666514222195,0.7425103463676672,-0.1615712265468079
-464.3203848990894,0.7090803852544729,-0.3920697881315043
-463.64508673000404,0.6075268730708974,-0.26397661743485124
-462.25421026336863,0.2252032715112852,-1.2606533085003662
-462.9271490806748,0.009126666175520033,-2.3504006758346283
-465.2162563699452,0.005423785430188867,3.0276736169964824
-467.3858045652601,0.5536003062249915,2.4613199136536767
-470.11801003504024,0.9116187199902573,2.3613655968539256
-480.02260182237944,0.04132122364560824,2.9941274321445883
-497.72417702784026,0.009052794490257912,3.034801211984421
-529.4302441755456,0.9882074179262438,2.7105953536567853
-546.3292133935806,0.4501522004513521,-0.14586510811737652
-546.3262082368876,0.45078378379824774,-0.15432332228757462
-546.3151281595574,0.44106501053789504,-0.09956921122357487
-546.2952209855457,0.45097445909903405,-0.16914416008007827
-546.2288708009689,0.44327825905470924,-0.2922991079896331
-546.1438857368561,0.40795921207287766,-0.5005179184169579
-545.9728245059778,0.3518598525043583,-0.15699485339452757
